NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD45_F3 2021-11-02 16-09-42.nano,
Operator Name,Eddie,
Time Captured,16:09:42  02/11/2021,
Sample Description,AD45_F3,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,AD45_F3 2021-11-02 16-10-07,AD45_F3 2021-11-02 16-11-16,AD45_F3 2021-11-02 16-12-25,AD45_F3 2021-11-02 16-13-34,AD45_F3 2021-11-02 16-14-43,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,23.629,23.669,23.654,23.666,23.708,
Viscosity/cP,0.917166,0.916315,0.916634,0.916379,0.915486,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.8262,14.0506,14.8635,13.2829,15.3079,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.22e+08,1.95e+08,2.07e+08,1.90e+08,1.96e+08,2.02e+08,5.59e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,22.1,19.2,20.3,19.6,19.3,20.1,0.5,
Centres per frame,32.5,29.4,35.0,28.1,28.8,30.8,1.3,
Completed tracks,5225,4340,4715,4010,4100,,,
X-Drift (pix/frame),-5.2,-5.4,-4.5,-3.6,-5.4,,,
Y-Drift (pix/frame),-0.3,-0.2,0.2,0.8,-0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Unreliable,Unreliable,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,High noise,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
