NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_F3 2021-11-02 16-36-00.nano,
Operator Name,Eddie,
Time Captured,16:36:00  02/11/2021,
Sample Description,ATCC_F3,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,ATCC_F3 2021-11-02 16-36-26,ATCC_F3 2021-11-02 16-37-35,ATCC_F3 2021-11-02 16-38-44,ATCC_F3 2021-11-02 16-39-53,ATCC_F3 2021-11-02 16-41-02,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,23.758,23.744,23.756,23.795,23.779,
Viscosity/cP,0.914425,0.914722,0.914467,0.913641,0.913980,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.2270,12.7543,11.2601,11.5181,10.6620,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),5.90e+08,6.69e+08,7.14e+08,6.86e+08,5.45e+08,6.41e+08,3.15e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,71.5,81.2,85.7,80.6,65.4,76.9,3.7,
Centres per frame,103.7,111.4,116.4,109.2,91.6,106.5,4.2,
Completed tracks,15860,16035,17894,17220,14460,,,
X-Drift (pix/frame),-4.8,-4.9,-4.2,-3.9,-5.2,,,
Y-Drift (pix/frame),-0.1,-0.1,0.2,0.6,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,Noise detected,Noise detected,Noise detected,High noise,
Vibration detected,No,No,Minor vibration,No,No,
Vibration correction applied,No,No,Yes,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
