NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS11_F3 2021-11-02 17-25-33.nano,
Operator Name,Eddie,
Time Captured,17:25:33  02/11/2021,
Sample Description,BS11_F3,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,BS11_F3 2021-11-02 17-26-06,BS11_F3 2021-11-02 17-27-15,BS11_F3 2021-11-02 17-28-24,BS11_F3 2021-11-02 17-29-33,BS11_F3 2021-11-02 17-30-42,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,23.803,23.848,23.834,23.847,23.887,
Viscosity/cP,0.913472,0.912521,0.912816,0.912542,0.911697,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,14.7257,14.3905,16.9910,14.7496,15.8186,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.96e+08,2.61e+08,2.89e+08,3.57e+08,2.87e+08,2.98e+08,1.57e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,34.1,30.8,35.1,41.4,33.2,34.9,1.8,
Centres per frame,65.6,62.6,86.4,89.8,70.4,75.0,5.5,
Completed tracks,9474,9303,11146,12726,9817,,,
X-Drift (pix/frame),-4.8,-4.9,-2.4,-2.7,-5.4,,,
Y-Drift (pix/frame),-0.1,-0.0,0.4,0.3,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,High noise,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,High noise,
Vibration detected,Minor vibration,Minor vibration,Moderate vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
