NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_F3 2021-11-02 14-09-41.nano,
Operator Name,Eddie,
Time Captured,14:09:41  02/11/2021,
Sample Description,HOT1A3_F3,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,HOT1A3_F3 2021-11-02 14-10-07,HOT1A3_F3 2021-11-02 14-11-16,HOT1A3_F3 2021-11-02 14-12-25,HOT1A3_F3 2021-11-02 14-13-34,HOT1A3_F3 2021-11-02 14-14-43,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,23.579,23.596,23.638,23.625,23.639,
Viscosity/cP,0.918232,0.917869,0.916974,0.917251,0.916953,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,14.0334,14.0406,11.9123,13.3116,11.0364,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.87e+08,2.27e+08,2.05e+08,3.36e+08,2.16e+08,2.34e+08,2.64e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,19.3,21.1,20.1,32.9,22.7,23.2,2.5,
Centres per frame,30.6,26.8,26.4,59.3,32.8,35.2,6.2,
Completed tracks,4443,4204,3605,10384,5538,,,
X-Drift (pix/frame),-4.7,-4.8,-5.0,-5.1,-4.9,,,
Y-Drift (pix/frame),0.1,0.1,0.1,0.0,0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Be cautious of data due to noise,Be cautious of data due to noise,Unreliable,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,High noise,Noise detected,Noise detected,High noise,Noise detected,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,Noise detected,Noise detected,High noise,High noise,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,Moderate vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
