NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_F3 2021-11-02 18-19-49.nano,
Operator Name,Eddie,
Time Captured,18:19:49  02/11/2021,
Sample Description,MIT_F3,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,,
Filename:,MIT_F3 2021-11-02 18-20-34,MIT_F3 2021-11-02 18-21-43,MIT_F3 2021-11-02 18-22-52,MIT_F3 2021-11-02 18-24-01,MIT_F3 2021-11-02 18-25-10,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,23.850,23.842,23.858,23.900,23.884,
Viscosity/cP,0.912478,0.912647,0.912309,0.911423,0.911760,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,Red,
Camera Level,9,9,9,9,9,
Slider Shutter,607,607,607,607,607,
Slider Gain,15,15,15,15,15,
Shutter/ms,15.180000,15.180000,15.180000,15.180000,15.180000,
Camera Histogram Upper Limit,16380,16380,16380,16380,16380,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,14,14,14,14,14,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,17.1185,13.4111,16.2663,14.9981,13.0282,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),5.36e+08,6.40e+08,5.43e+08,6.09e+08,6.42e+08,5.94e+08,2.29e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,59.3,68.6,59.1,66.7,67.6,64.2,2.1,
Centres per frame,124.5,130.2,126.5,135.2,127.9,128.9,1.8,
Completed tracks,14860,17272,15349,17273,17721,,,
X-Drift (pix/frame),-4.9,-5.4,-5.1,-3.6,-4.1,,,
Y-Drift (pix/frame),-0.0,-0.1,-0.0,0.4,0.6,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,High noise,
Brightness,Too bright,OK,OK,Too bright,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,High noise,
Vibration detected,Minor vibration,No,No,Minor vibration,Minor vibration,
Vibration correction applied,Yes,No,No,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MIT_F3 2021-11-02 18-20-34,MIT_F3 2021-11-02 18-21-43,MIT_F3 2021-11-02 18-22-52,MIT_F3 2021-11-02 18-24-01,MIT_F3 2021-11-02 18-25-10,Average,Standard Error,
Mean,247.8,255.2,239.9,251.2,268.3,252.5,4.7,
Mode,215.4,168.1,78.1,84.2,114.3,132.0,26.2,
SD,156.8,153.6,153.1,148.7,153.8,153.2,1.3,
D10,79.7,103.6,79.6,86.1,106.0,91.0,5.8,
D50,217.7,235.0,206.0,209.2,232.5,220.1,5.9,
D90,467.9,455.2,489.1,485.3,486.1,476.7,6.5,
Valid Tracks,1568.0,2207.0,1702.0,1898.0,2142.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,3,0,0,0,0,0,0,
12.5,20,0,0,0,0,4,4,
13.5,115,0,0,0,0,23,23,
14.5,506,0,0,0,0,101,101,
15.5,1781,0,0,0,0,356,356,
16.5,5177,0,0,0,0,1035,1035,
17.5,12755,0,0,0,0,2551,2551,
18.5,27219,0,0,0,0,5444,5444,
19.5,51224,0,0,0,0,10245,10245,
20.5,86334,0,0,0,0,17267,17267,
21.5,132091,0,0,0,0,26418,26418,
22.5,185711,0,7,0,0,37144,37142,
23.5,242620,0,85,0,0,48541,48520,
24.5,297615,0,591,0,0,59641,59493,
25.5,346146,0,2690,0,0,69767,69097,
26.5,385225,0,8830,0,0,78811,76623,
27.5,413729,0,22628,0,0,87272,81732,
28.5,432179,0,48275,0,0,96091,84540,
29.5,442209,0,90101,6,0,106463,85731,
30.5,445994,0,152627,42,1,119733,86754,
31.5,445783,0,240800,222,6,137362,90101,
32.5,443602,0,359935,966,22,160905,99218,
33.5,441131,0,515001,3490,72,191939,117395,
34.5,439680,0,709188,10712,213,231959,146177,
35.5,440239,2,941906,28451,567,282233,184869,
36.5,443547,16,1206725,66402,1368,343612,230975,
37.5,450173,87,1490017,137906,3021,416241,280673,
38.5,460573,377,1771120,257550,6148,499154,329362,
39.5,475140,1367,2024547,436383,11613,589810,372541,
40.5,494231,4199,2224035,676017,20499,683796,406826,
41.5,518185,11105,2347499,964190,34027,775001,430527,
42.5,547316,25696,2381467,1274490,53421,856478,443340,
43.5,581897,52767,2323702,1571282,79741,921878,445363,
44.5,622135,97467,2183295,1818347,113730,966995,436306,
45.5,668125,163976,1978378,1987812,155681,990794,415603,
46.5,719809,254160,1732274,2065989,205383,995523,383318,
47.5,776921,366788,1469195,2054443,262119,985893,341042,
48.5,838942,497572,1210551,1966857,324743,967733,292257,
