NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_T0_LS 2020-10-27 14-26-23.nano,
Operator Name,jenH,
Time Captured,14:26:23  27/10/2020,
Sample Description,AD_T0_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_T0_LS 2020-10-27 14-26-55,AD_T0_LS 2020-10-27 14-28-04,AD_T0_LS 2020-10-27 14-29-13,AD_T0_LS 2020-10-27 14-30-22,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.143,24.135,24.154,24.172,
Viscosity/cP,0.906322,0.906489,0.906092,0.905716,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,15.4699,17.2094,16.5826,13.6991,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.29e+08,3.83e+08,3.49e+08,3.35e+08,3.49e+08,1.22e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,29.3,32.1,30.1,29.2,30.2,0.7,
Centres per frame,36.5,39.4,34.8,33.6,36.1,1.3,
Completed tracks,5120,5941,4814,4192,,,
X-Drift (pix/frame),-10.1,-10.0,-10.5,-10.4,,,
Y-Drift (pix/frame),-0.5,-0.3,-0.1,-0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
