NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_12h_A_LS 2020-10-27 11-15-54.nano,
Operator Name,jenH,
Time Captured,11:15:54  27/10/2020,
Sample Description,AD_12h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_12h_A_LS 2020-10-27 11-16-29,AD_12h_A_LS 2020-10-27 11-17-38,AD_12h_A_LS 2020-10-27 11-18-47,AD_12h_A_LS 2020-10-27 11-19-56,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,21.298,22.000,22.000,22.000,
Viscosity/cP,0.969049,0.952941,0.952941,0.952941,
Camera Type,sCMOS,Unknown,Unknown,Unknown,
Laser Type,Red,Unknown,Unknown,Unknown,
Camera Level,16,Manual settings used,Manual settings used,Manual settings used,
Slider Shutter,1300,0,0,0,
Slider Gain,512,0,0,0,
Shutter/ms,32.500000,0.000000,0.000000,0.000000,
Camera Histogram Upper Limit,2470,0,0,0,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,29.999998,29.999998,29.999998,
Syringe Pump Speed/AU,100,Unknown,Unknown,Unknown,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,24.1150,12.0000,22.3702,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.83e+07,4.63e+07,4.23e+07,3.85e+07,4.13e+07,1.88e+06,
Concentration Upgrade?,Yes,No,No,No,,,
Particles per frame,3.8,2.5,2.3,2.1,2.7,0.4,
Centres per frame,4.8,3.6,3.3,3.3,3.8,0.3,
Completed tracks,526,316,453,271,,,
X-Drift (pix/frame),-10.3,-10.3,-10.0,-10.9,,,
Y-Drift (pix/frame),0.2,0.3,0.3,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Not Calibrated,Not Calibrated,Not Calibrated,
Completed Tracks,OK,N/A,N/A,N/A,
Particles per frame,OK,N/A,N/A,N/A,
Noise level,Noise detected,N/A,N/A,N/A,
Brightness,OK,N/A,N/A,N/A,
Detection Threshold,OK,N/A,N/A,N/A,
Camera Histogram Lower Limit,OK,N/A,N/A,N/A,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,High noise,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,No,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,AD_12h_A_LS 2020-10-27 11-16-29,AD_12h_A_LS 2020-10-27 11-17-38,AD_12h_A_LS 2020-10-27 11-18-47,AD_12h_A_LS 2020-10-27 11-19-56,Average,Standard Error,
Mean,128.9,119.0,122.5,144.4,128.7,5.6,
Mode,101.9,80.3,112.7,158.7,113.4,16.5,
SD,47.6,51.3,50.4,89.9,59.8,10.1,
D10,86.5,60.3,65.9,74.0,71.7,5.7,
D50,116.7,111.8,109.5,118.5,114.1,2.1,
D90,206.1,194.0,209.7,167.2,194.3,9.6,
Valid Tracks,196.0,161.0,162.0,119.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,3,0,0,0,0,
7.5,0,158,0,0,40,40,
8.5,0,2158,0,0,539,539,
9.5,0,10515,0,0,2629,2629,
10.5,0,23274,0,0,5819,5819,
11.5,0,28175,0,0,7044,7044,
12.5,0,21733,0,0,5433,5433,
13.5,0,12194,0,0,3049,3049,
14.5,0,5605,0,0,1401,1401,
15.5,0,2350,0,0,588,588,
16.5,0,990,0,0,248,248,
17.5,0,454,0,0,114,114,
18.5,0,241,0,0,60,60,
19.5,0,153,0,0,38,38,
20.5,0,117,0,12,32,29,
21.5,0,108,0,497,151,118,
22.5,0,117,0,7365,1871,1832,
23.5,0,147,0,44058,11051,11002,
24.5,0,210,0,118584,29699,29629,
25.5,0,335,0,158661,39749,39637,
26.5,0,591,0,115717,29077,28880,
27.5,0,1135,0,50146,12820,12445,
28.5,0,2316,0,14005,4080,3353,
29.5,0,4871,0,2723,1899,1181,
30.5,0,10201,0,397,2649,2519,
31.5,1,20541,0,47,5147,5131,
32.5,5,38565,0,5,9644,9641,
33.5,19,65917,0,0,16484,16478,
34.5,66,101056,0,0,25281,25259,
35.5,214,138233,0,0,34612,34540,
36.5,641,169375,0,0,42504,42291,
37.5,1750,188152,0,0,47475,46894,
38.5,4316,193033,0,0,49337,47909,
39.5,9543,187134,0,0,49169,46043,
40.5,18849,175713,0,0,48641,42590,
41.5,33235,163656,0,0,49223,38940,
42.5,52445,154277,0,0,51680,36364,
43.5,74436,149331,0,0,55942,35733,
44.5,95706,149485,0,0,61298,37054,
45.5,112471,154731,2,0,66801,39520,
46.5,122048,164540,10,0,71650,42264,
47.5,123671,177794,44,0,75377,44887,
48.5,118400,192654,179,0,77808,47362,
49.5,108384,206581,660,0,78906,49597,
50.5,95989,216690,2176,0,78714,51145,
51.5,83171,220438,6394,0,77501,51256,
52.5,71238,216410,16648,0,76074,49190,
53.5,60873,204796,38275,0,75986,44737,
54.5,52299,187303,77637,0,79310,39460,
55.5,45463,166532,139140,0,87784,39089,
56.5,40177,145176,221172,0,101631,50242,
57.5,36212,125390,313756,0,118840,70110,
58.5,33348,108538,400554,3,135611,91184,
