NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_144h_A_LS 2020-10-27 13-04-21.nano,
Operator Name,jenH,
Time Captured,13:04:21  27/10/2020,
Sample Description,AD_144h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_144h_A_LS 2020-10-27 13-04-54,AD_144h_A_LS 2020-10-27 13-06-03,AD_144h_A_LS 2020-10-27 13-07-12,AD_144h_A_LS 2020-10-27 13-08-21,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.827,23.875,23.865,23.883,
Viscosity/cP,0.912964,0.911950,0.912161,0.911782,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,10.5644,12.7882,16.6067,16.5220,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),6.76e+08,7.32e+08,8.45e+08,7.82e+08,7.59e+08,3.60e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,60.3,64.4,73.1,67.6,66.3,2.7,
Centres per frame,77.5,75.1,81.1,76.6,77.6,1.3,
Completed tracks,10026,10011,13250,12627,,,
X-Drift (pix/frame),-8.5,-10.0,-9.9,-10.6,,,
Y-Drift (pix/frame),-0.2,-0.3,0.4,0.4,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,
Vibration detected,High vibration,Moderate vibration,Minor vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,AD_144h_A_LS 2020-10-27 13-04-54,AD_144h_A_LS 2020-10-27 13-06-03,AD_144h_A_LS 2020-10-27 13-07-12,AD_144h_A_LS 2020-10-27 13-08-21,Average,Standard Error,
