NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_24h_B_LS 2020-10-27 12-05-56.nano,
Operator Name,jenH,
Time Captured,12:05:56  27/10/2020,
Sample Description,AD_24h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_24h_B_LS 2020-10-27 12-06-22,AD_24h_B_LS 2020-10-27 12-07-31,AD_24h_B_LS 2020-10-27 12-08-40,AD_24h_B_LS 2020-10-27 12-09-49,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,22.870,22.908,22.971,22.974,
Viscosity/cP,0.933563,0.932731,0.931354,0.931289,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1277,17.9364,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.49e+07,2.90e+07,2.94e+07,2.56e+07,2.72e+07,1.15e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,2.1,2.4,2.5,2.2,2.3,0.1,
Centres per frame,2.7,3.1,3.0,3.7,3.1,0.2,
Completed tracks,342,468,413,257,,,
X-Drift (pix/frame),-9.4,-10.2,-10.2,-10.1,,,
Y-Drift (pix/frame),-0.8,-0.4,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,High noise,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,High noise,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,No,No,No,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,AD_24h_B_LS 2020-10-27 12-06-22,AD_24h_B_LS 2020-10-27 12-07-31,AD_24h_B_LS 2020-10-27 12-08-40,AD_24h_B_LS 2020-10-27 12-09-49,Average,Standard Error,
Mean,174.3,180.1,191.4,178.4,181.0,3.7,
Mode,206.4,186.0,229.4,154.5,194.1,15.9,
SD,43.5,56.0,43.9,52.9,49.1,3.2,
D10,126.2,76.9,144.4,76.6,106.1,17.3,
D50,184.5,185.0,210.9,179.3,189.9,7.1,
D90,220.9,229.3,237.5,232.2,230.0,3.5,
Valid Tracks,101.0,122.0,109.0,111.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,4,1,1,
17.5,0,0,0,123,31,31,
18.5,0,0,0,1531,383,383,
19.5,0,0,0,8709,2177,2177,
20.5,0,0,0,24421,6105,6105,
21.5,0,0,0,36324,9081,9081,
22.5,0,0,0,30711,7678,7678,
23.5,0,0,0,15772,3943,3943,
24.5,1,0,0,5246,1312,1311,
25.5,6,18,0,1204,307,299,
26.5,23,738,0,203,241,172,
27.5,75,11143,0,27,2811,2777,
28.5,212,62406,0,3,15655,15584,
29.5,518,134120,0,0,33660,33487,
30.5,1103,116053,0,0,29289,28922,
31.5,2064,42865,0,0,11232,10555,
32.5,3432,7231,0,0,2666,1723,
33.5,5113,602,0,0,1429,1236,
34.5,6887,27,0,0,1729,1720,
35.5,8456,0,0,0,2114,2114,
36.5,9546,0,0,0,2386,2386,
37.5,9989,0,0,0,2497,2497,
38.5,9773,0,0,0,2443,2443,
39.5,9015,0,0,0,2254,2254,
40.5,7912,0,0,0,1978,1978,
41.5,6664,0,0,0,1666,1666,
42.5,5439,0,0,0,1360,1360,
43.5,4341,0,0,0,1085,1085,
44.5,3422,0,0,0,855,855,
45.5,2690,0,0,0,672,672,
46.5,2129,0,0,0,532,532,
47.5,1712,0,0,0,428,428,
48.5,1411,0,0,0,353,353,
49.5,1201,0,0,0,300,300,
50.5,1064,0,0,0,266,266,
51.5,986,0,0,0,247,246,
52.5,958,0,0,3,240,239,
53.5,980,0,0,17,249,244,
54.5,1056,0,0,71,282,259,
55.5,1194,0,0,263,364,284,
56.5,1416,0,0,846,565,347,
57.5,1751,2,0,2376,1032,609,
58.5,2247,18,0,5843,2027,1377,
