NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,AD_72h_C_LS 2020-10-27 12-49-31.nano,
Operator Name,jenH,
Time Captured,12:49:31  27/10/2020,
Sample Description,AD_72h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,AD_72h_C_LS 2020-10-27 12-49-56,AD_72h_C_LS 2020-10-27 12-51-05,AD_72h_C_LS 2020-10-27 12-52-14,AD_72h_C_LS 2020-10-27 12-53-23,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.703,23.752,23.745,23.766,
Viscosity/cP,0.915592,0.914552,0.914701,0.914256,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,18.8210,17.7794,17.3188,14.5013,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.71e+08,9.09e+08,9.08e+08,7.91e+08,8.70e+08,2.77e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,64.1,67.2,68.0,60.0,64.8,1.8,
Centres per frame,74.6,76.8,76.5,70.3,74.5,1.5,
Completed tracks,13690,14337,13994,11839,,,
X-Drift (pix/frame),-10.4,-11.3,-10.9,-10.9,,,
Y-Drift (pix/frame),0.6,0.1,0.0,0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Minor vibration,Moderate vibration,Minor vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,AD_72h_C_LS 2020-10-27 12-49-56,AD_72h_C_LS 2020-10-27 12-51-05,AD_72h_C_LS 2020-10-27 12-52-14,AD_72h_C_LS 2020-10-27 12-53-23,Average,Standard Error,
Mean,170.4,174.9,173.8,179.5,174.6,1.9,
Mode,174.4,171.2,162.1,175.2,170.7,3.0,
SD,57.9,56.3,54.5,46.3,53.8,2.6,
D10,82.2,108.8,106.9,122.4,105.1,8.4,
D50,172.8,173.7,174.3,179.2,175.0,1.4,
D90,244.7,243.4,233.9,238.3,240.1,2.5,
Valid Tracks,2900.0,3119.0,3202.0,3009.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,6,0,0,0,2,2,
14.5,66,2,0,0,17,16,
15.5,461,13,6,0,120,114,
16.5,2291,62,36,0,597,565,
17.5,8554,231,175,0,2240,2105,
18.5,25056,691,676,0,6606,6152,
19.5,59772,1720,2149,0,15910,14628,
20.5,119780,3704,5793,0,32319,29178,
21.5,207019,7097,13545,1,56916,50111,
22.5,315631,12394,27997,3,89006,75758,
23.5,432923,20109,51965,6,126251,102782,
24.5,543505,30771,87775,11,165515,127301,
25.5,634242,44932,136497,20,203923,146223,
26.5,697621,63167,197434,36,239564,158135,
27.5,732514,86056,268078,64,271678,163456,
28.5,742856,114155,344561,114,300421,163955,
29.5,735391,147950,422418,201,326490,161953,
30.5,717584,187809,497408,351,350788,159532,
31.5,696213,233940,566151,610,374229,158056,
32.5,676739,286376,626466,1048,397657,158093,
33.5,663245,344983,677409,1781,421855,159674,
34.5,658697,409497,719101,2988,447571,162636,
35.5,665303,479582,752431,4947,475566,166871,
36.5,684854,554900,778755,8078,506647,172409,
37.5,718975,635153,799625,13005,541689,179398,
38.5,769257,720116,816596,20641,581653,188038,
39.5,837266,809623,831092,32289,627568,198514,
40.5,924430,903513,844342,49747,680508,210937,
41.5,1031826,1001551,857347,75372,741524,225289,
42.5,1159871,1103318,870879,112057,811531,241396,
43.5,1308003,1208101,885498,162985,891147,258921,
44.5,1474393,1314791,901559,231096,980460,277417,
45.5,1655798,1421816,919238,318199,1078763,296446,
46.5,1847589,1527124,938539,423868,1184280,315718,
47.5,2044001,1628235,959308,544435,1293995,335172,
48.5,2238553,1722361,981241,672597,1403688,354907,
49.5,2424560,1806601,1003891,798061,1508278,374987,
50.5,2595632,1878175,1026684,909310,1602450,395220,
51.5,2746064,1934683,1048928,996035,1681428,415071,
52.5,2871095,1974335,1069843,1051390,1741666,433741,
53.5,2967013,1996127,1088592,1073250,1781246,450300,
54.5,3031178,1999927,1104321,1064123,1799887,463794,
55.5,3062004,1986466,1116211,1029932,1798653,473285,
56.5,3058952,1957238,1123536,978261,1779497,477917,
57.5,3022547,1914329,1125719,916726,1744830,477000,
58.5,2954407,1860212,1122383,851843,1697211,470123,
59.5,2857248,1797525,1113397,788497,1639167,457245,
60.5,2734813,1728886,1098899,729905,1573126,438719,
61.5,2591719,1656734,1079300,677862,1501404,415262,
62.5,2433192,1583221,1055274,633099,1426197,387866,
63.5,2264732,1510156,1027713,595638,1349560,357691,
64.5,2091749,1438984,997680,565076,1273372,325942,
65.5,1919221,1370799,966346,540798,1199291,293767,
66.5,1751426,1306378,934924,522111,1128710,262179,
67.5,1591769,1246226,904613,508335,1062736,232004,
68.5,1442728,1190627,876551,498844,1002188,203864,
69.5,1305882,1139689,851778,493093,947611,178191,
70.5,1182019,1093392,831226,490625,899315,155255,
71.5,1071280,1051619,815716,491068,857421,135217,
72.5,973321,1014197,805962,494134,821904,118178,
73.5,887462,980910,802595,499607,792644,104245,
74.5,812821,951527,806174,507335,769464,93580,
75.5,748418,925810,817202,517219,752162,86408,
76.5,693257,903526,836132,529202,740529,82967,
77.5,646380,884454,863355,543259,734362,83381,
78.5,606903,868388,899180,559387,733464,87553,
79.5,574030,855141,943786,577593,737638,95169,
80.5,547072,844545,997172,597888,746669,105793,
81.5,525440,836451,1059074,620278,760311,118965,
82.5,508642,830732,1128899,644755,778257,134232,
83.5,496283,827280,1205645,671292,800125,151135,
84.5,488053,826003,1287860,699838,825439,169174,
85.5,483721,826831,1373629,730315,853624,187784,
86.5,483128,829709,1460620,762612,884017,206331,
87.5,486179,834599,1546190,796587,915889,224123,
88.5,492843,841480,1627547,832068,948484,240440,
89.5,503140,850346,1701957,868852,981074,254587,
90.5,517142,861205,1766971,906715,1013009,265939,
91.5,534967,874083,1820631,945412,1043773,273992,
92.5,556772,889018,1861633,984686,1073027,278400,
93.5,582753,906063,1889420,1024278,1100628,278997,
94.5,613137,925284,1904192,1063931,1126636,275794,
95.5,648175,946762,1906836,1103402,1151294,268964,
96.5,688139,970591,1898801,1142472,1175001,258805,
97.5,733308,996877,1881935,1180946,1198267,245704,
98.5,783967,1025740,1858310,1218667,1221671,230089,
99.5,840387,1057312,1830061,1255515,1245819,212396,
100.5,902820,1091734,1799254,1291415,1271306,193037,
101.5,971484,1129160,1767790,1326335,1298692,172391,
102.5,1046546,1169752,1737345,1360284,1328482,150793,
103.5,1128116,1213681,1709346,1393318,1361115,128558,
104.5,1216226,1261125,1684967,1425529,1396962,106019,
105.5,1310823,1312267,1665154,1457046,1436322,83633,
106.5,1411758,1367293,1650646,1488031,1479432,62278,
107.5,1518780,1426392,1642020,1518670,1526466,44241,
108.5,1631530,1489751,1639717,1549175,1577543,35698,
109.5,1749546,1557552,1644082,1579773,1632738,43042,
110.5,1872267,1629972,1655387,1610705,1692083,60754,
111.5,1999043,1707177,1673862,1642222,1755576,82232,
112.5,2129150,1789323,1699708,1674581,1823191,104917,
113.5,2261810,1876545,1733116,1708042,1894878,127818,
114.5,2396208,1968960,1774273,1742867,1970577,150430,
115.5,2531524,2066662,1823375,1779316,2050219,172427,
116.5,2666946,2169716,1880621,1817647,2133733,193560,
117.5,2801704,2278157,1946224,1858114,2221050,213633,
118.5,2935083,2391986,2020400,1900970,2312110,232488,
119.5,3066449,2511167,2103367,1946459,2406860,250002,
120.5,3195257,2635626,2195339,1994824,2505262,266096,
121.5,3321069,2765248,2296520,2046301,2607285,280731,
122.5,3443553,2899876,2407088,2101123,2712910,293911,
123.5,3562490,3039311,2527193,2159514,2822127,305689,
124.5,3677769,3183313,2656938,2221697,2934929,316160,
125.5,3789380,3331602,2796370,2287884,3051309,325464,
126.5,3897408,3483859,2945470,2358285,3171256,333781,
127.5,4002018,3639732,3104136,2433100,3294746,341323,
128.5,4103444,3798835,3272176,2512519,3421743,348326,
129.5,4201976,3960756,3449292,2596726,3552188,355041,
130.5,4297943,4125062,3635078,2685889,3685993,361716,
131.5,4391702,4291303,3829008,2780166,3823045,368586,
132.5,4483624,4459015,4030433,2879697,3963192,375852,
133.5,4574082,4627732,4238583,2984604,4106250,383668,
134.5,4663443,4796987,4452563,3094989,4251995,392131,
135.5,4752056,4966316,4671367,3210929,4400167,401267,
136.5,4840246,5135270,4893879,3332475,4550467,411036,
137.5,4928308,5303411,5118892,3459645,4702564,421323,
138.5,5016504,5470323,5345120,3592424,4856093,431955,
139.5,5105055,5635609,5571222,3730761,5010662,442704,
140.5,5194143,5798900,5795818,3874561,5165855,453306,
141.5,5283907,5959852,6017514,4023685,5321240,463471,
142.5,5374446,6118147,6234929,4177948,5476368,472897,
143.5,5465815,6273495,6446717,4337113,5630785,481285,
144.5,5558026,6425633,6651588,4500889,5784034,488351,
145.5,5651052,6574323,6848337,4668932,5935661,493835,
146.5,5744827,6719349,7035858,4840841,6085219,497509,
147.5,5839247,6860517,7213164,5016158,6232272,499186,
148.5,5934174,6997651,7379403,5194370,6376399,498726,
149.5,6029433,7130588,7533867,5374907,6517199,496035,
150.5,6124823,7259180,7675998,5557149,6654288,491073,
151.5,6220111,7383283,7805395,5740424,6787303,483853,
152.5,6315039,7502762,7921810,5924016,6915907,474441,
153.5,6409325,7617483,8025146,6107170,7039781,462955,
154.5,6502665,7727310,8115451,6289096,7158631,449563,
155.5,6594738,7832107,8192906,6468979,7272183,434484,
156.5,6685206,7931731,8257816,6645984,7380185,417980,
157.5,6773718,8026033,8310596,6819269,7482404,400356,
158.5,6859912,8114857,8351754,6987990,7578628,381955,
159.5,6943418,8198039,8381879,7151311,7668662,363152,
160.5,7023862,8275407,8401625,7308416,7752328,344349,
161.5,7100869,8346782,8411694,7458517,7829466,325968,
162.5,7174064,8411979,8412823,7600865,7899933,308434,
163.5,7243076,8470810,8405767,7734754,7963601,292161,
164.5,7307542,8523081,8391291,7859535,8020362,277533,
165.5,7367110,8568603,8370155,7974622,8070122,264866,
166.5,7421443,8607187,8343105,8079493,8112807,254385,
167.5,7470218,8638651,8310863,8173705,8148359,246189,
168.5,7513136,8662824,8274120,8256889,8176742,240235,
169.5,7549919,8679548,8233531,8328757,8197939,236336,
170.5,7580314,8688680,8189708,8389104,8211952,234185,
171.5,7604101,8690101,8143217,8437808,8218807,233391,
172.5,7621088,8683712,8094578,8474827,8218551,233521,
173.5,7631116,8669445,8044259,8500199,8211255,234143,
174.5,7634064,8647260,7992678,8514038,8197010,234857,
175.5,7629846,8617150,7940202,8516531,8175932,235312,
176.5,7618415,8579145,7887148,8507931,8148160,235220,
177.5,7599760,8533308,7833786,8488555,8113852,234356,
178.5,7573913,8479743,7780336,8458773,8073191,232558,
179.5,7540942,8418592,7726975,8419005,8026378,229724,
180.5,7500952,8350035,7673837,8369714,7973634,225807,
181.5,7454087,8274290,7621013,8311398,7915197,220811,
182.5,7400527,8191613,7568559,8244584,7851320,214791,
183.5,7340482,8102293,7516495,8169819,7782272,207851,
184.5,7274196,8006654,7464808,8087670,7708332,200140,
185.5,7201941,7905051,7413455,7998708,7629789,191860,
186.5,7124014,7797865,7362369,7903511,7546940,183266,
187.5,7040737,7685500,7311457,7802655,7460087,174669,
188.5,6952449,7568383,7260606,7696710,7369537,166436,
189.5,6859506,7446956,7209685,7586234,7275595,158990,
190.5,6762278,7321672,7158547,7471772,7178567,152792,
191.5,6661144,7192994,7107035,7353850,7078756,148303,
192.5,6556488,7061389,7054980,7232975,6976458,145932,
193.5,6448699,6927322,7002207,7109632,6871965,145964,
194.5,6338164,6791257,6948538,6984280,6765560,148506,
195.5,6225269,6653650,6893792,6857354,6657516,153464,
196.5,6110393,6514943,6837790,6729261,6548097,160579,
197.5,5993910,6375569,6780355,6600384,6437555,169482,
198.5,5876179,6235941,6721319,6471076,6326129,179762,
199.5,5757552,6096453,6660519,6341665,6214047,191015,
200.5,5638363,5957479,6597802,6212450,6101524,202868,
201.5,5518935,5819370,6533030,6083707,5988760,214995,
202.5,5399572,5682451,6466076,5955684,5875946,227117,
203.5,5280561,5547023,6396831,5828607,5763256,238998,
204.5,5162174,5413362,6325200,5702676,5650853,250439,
205.5,5044661,5281716,6251109,5578072,5538890,261278,
206.5,4928256,5152308,6174502,5454951,5427504,271376,
207.5,4813176,5025334,6095342,5333453,5316826,280624,
208.5,4699616,4900964,6013614,5213696,5206972,288930,
209.5,4587755,4779345,5929322,5095784,5098052,296225,
210.5,4477756,4660598,5842492,4979802,4990162,302455,
211.5,4369763,4544823,5753171,4865821,4883394,307580,
212.5,4263904,4432096,5661423,4753898,4777830,311577,
213.5,4160290,4322474,5567335,4644080,4673545,314432,
214.5,4059020,4215993,5471009,4536398,4570605,316144,
215.5,3960177,4112673,5372567,4430876,4469073,316722,
216.5,3863829,4012516,5272144,4327527,4369004,316184,
217.5,3770034,3915510,5169892,4226357,4270448,314555,
218.5,3678837,3821626,5065974,4127363,4173450,311869,
219.5,3590271,3730826,4960565,4030535,4078049,308164,
220.5,3504360,3643060,4853850,3935858,3984282,303487,
221.5,3421118,3558266,4746021,3843312,3892179,297886,
222.5,3340550,3476374,4637274,3752870,3801767,291414,
223.5,3262653,3397307,4527811,3664505,3713069,284128,
224.5,3187417,3320981,4417836,3578182,3626104,276086,
225.5,3114824,3247306,4307552,3493866,3540887,267349,
226.5,3044850,3176187,4197162,3411519,3457430,257978,
227.5,2977467,3107526,4086864,3331100,3375739,248034,
228.5,2912641,3041221,3976853,3252567,3295820,237579,
229.5,2850331,2977168,3867320,3175876,3217674,226674,
230.5,2790494,2915262,3758444,3100982,3141296,215378,
231.5,2733084,2855396,3650402,3027840,3066680,203750,
232.5,2678049,2797464,3543358,2956403,2993818,191846,
233.5,2625335,2741358,3437467,2886625,2922696,179721,
234.5,2574885,2686973,3332874,2818458,2853297,167428,
235.5,2526639,2634204,3229714,2751856,2785603,155015,
236.5,2480536,2582947,3128110,2686772,2719591,142532,
237.5,2436510,2533103,3028174,2623159,2655237,130022,
238.5,2394494,2484570,2930007,2560971,2592511,117530,
239.5,2354420,2437255,2833699,2500162,2531384,105097,
240.5,2316217,2391063,2739326,2440687,2471823,92764,
241.5,2279813,2345904,2646957,2382500,2413793,80573,
242.5,2245131,2301693,2556649,2325558,2357258,68570,
243.5,2212097,2258348,2468448,2269816,2302177,56810,
244.5,2180632,2215789,2382391,2215234,2248512,45378,
245.5,2150656,2173945,2298506,2161768,2196219,34426,
246.5,2122086,2132744,2216812,2109378,2145255,24326,
247.5,2094840,2092122,2137320,2058024,2095577,16241,
248.5,2068831,2052021,2060034,2007667,2047138,13597,
249.5,2043971,2012383,1984951,1958269,1999893,18382,
250.5,2020172,1973161,1912060,1909793,1953796,26550,
251.5,1997342,1934308,1841346,1862203,1908800,35604,
252.5,1975387,1895785,1772788,1815466,1864856,44805,
253.5,1954212,1857557,1706363,1769547,1821919,53904,
254.5,1933720,1819594,1642039,1724415,1779942,62796,
255.5,1913812,1781873,1579784,1680038,1738877,71428,
256.5,1894388,1744373,1519563,1636387,1698678,79767,
257.5,1875345,1707079,1461336,1593435,1659299,87791,
258.5,1856581,1669981,1405063,1551155,1620695,95483,
259.5,1837991,1633073,1350701,1509521,1582821,102831,
260.5,1819471,1596354,1298206,1468510,1545635,109821,
261.5,1800915,1559826,1247533,1428101,1509094,116443,
262.5,1782218,1523496,1198635,1388272,1473155,122685,
263.5,1763276,1487373,1151468,1349006,1437781,128538,
264.5,1743986,1451470,1105982,1310285,1402931,133989,
265.5,1724247,1415803,1062132,1272095,1368569,139029,
266.5,1703960,1380391,1019870,1234421,1334661,143647,
267.5,1683029,1345255,979150,1197253,1301172,147833,
268.5,1661365,1310416,939927,1160581,1268072,151577,
269.5,1638880,1275898,902153,1124396,1235332,154869,
270.5,1615494,1241728,865784,1088693,1202925,157700,
271.5,1591134,1207931,830776,1053467,1170827,160063,
272.5,1565734,1174533,797085,1018716,1139017,161951,
273.5,1539238,1141562,764670,984439,1107477,163359,
274.5,1511597,1109043,733487,950638,1076191,164283,
275.5,1482775,1077004,703496,917314,1045148,164722,
276.5,1452746,1045470,674658,884473,1014337,164676,
277.5,1421497,1014466,646934,852120,983754,164149,
278.5,1389025,984015,620285,820262,953397,163145,
279.5,1355342,954139,594676,788908,923266,161675,
280.5,1320474,924859,570070,758068,893368,159750,
281.5,1284459,896194,546431,727753,863709,157383,
282.5,1247348,868161,523728,697976,834303,154595,
283.5,1209208,840777,501925,668748,805164,151405,
284.5,1170117,814053,480992,640083,776311,147840,
285.5,1130166,788003,460898,611996,747765,143926,
286.5,1089456,762634,441611,584500,719551,139695,
287.5,1048102,737956,423103,557611,691693,135181,
288.5,1006226,713973,405346,531343,664222,130421,
289.5,963958,690689,388311,505710,637167,125455,
290.5,921437,668105,371973,480727,610560,120325,
291.5,878805,646221,356304,456406,584434,115075,
292.5,836208,625036,341280,432762,558821,109751,
293.5,793794,604545,326876,409805,533755,104401,
294.5,751711,584744,313069,387546,509268,99073,
295.5,710105,565626,299835,365995,485390,93817,
296.5,669117,547182,287153,345161,462153,88683,
297.5,628885,529404,275001,325051,439585,83720,
298.5,589537,512281,263358,305669,417711,78976,
299.5,551196,495801,252203,287019,396555,74498,
300.5,513973,479952,241518,269104,376137,70329,
301.5,477968,464721,231283,251924,356474,66509,
302.5,443271,450094,221480,235476,337580,63070,
303.5,409958,436057,212092,219757,319466,60037,
304.5,378093,422594,203100,204763,302137,57423,
305.5,347725,409690,194490,190485,285598,55231,
306.5,318892,397330,186244,176915,269845,53450,
307.5,291618,385498,178348,164041,254876,52057,
308.5,265914,374177,170787,151852,240682,51018,
309.5,241779,363352,163545,140333,227252,50289,
310.5,219202,353006,156611,129468,214572,49823,
311.5,198159,343124,149970,119241,202623,49569,
312.5,178618,333689,143610,109634,191387,49480,
313.5,160537,324685,137518,100626,180842,49510,
314.5,143870,316097,131683,92198,170962,49619,
315.5,128559,307909,126093,84329,161723,49774,
316.5,114547,300107,120738,76996,153097,49947,
317.5,101767,292675,115607,70177,145056,50116,
318.5,90153,285599,110690,63848,137573,50265,
319.5,79636,278864,105978,57988,130617,50380,
320.5,70146,272456,101461,52573,124159,50456,
321.5,61611,266363,97131,47578,118171,50486,
322.5,53962,260569,92980,42982,112623,50469,
323.5,47130,255064,88999,38761,107488,50404,
324.5,41048,249833,85181,34892,102738,50294,
325.5,35652,244864,81519,31354,98347,50141,
326.5,30881,240146,78005,28126,94289,49948,
327.5,26675,235667,74633,25185,90540,49720,
328.5,22980,231415,71397,22512,87076,49461,
329.5,19744,227379,68291,20088,83876,49175,
330.5,16919,223549,65308,17894,80918,48866,
331.5,14460,219914,62445,15913,78183,48540,
332.5,12326,216463,59695,14126,75653,48199,
333.5,10481,213187,57053,12519,73310,47848,
334.5,8889,210075,54516,11076,71139,47489,
335.5,7520,207118,52077,9783,69125,47125,
336.5,6346,204307,49735,8627,67254,46759,
337.5,5342,201631,47483,7595,65513,46393,
338.5,4487,199082,45320,6676,63891,46029,
339.5,3759,196651,43240,5858,62377,45668,
340.5,3142,194329,41242,5133,60961,45310,
341.5,2620,192106,39320,4490,59634,44956,
342.5,2180,189974,37474,3922,58388,44608,
343.5,1810,187925,35699,3421,57214,44264,
344.5,1499,185949,33993,2979,56105,43925,
345.5,1239,184038,32353,2591,55055,43590,
346.5,1022,182184,30778,2250,54058,43258,
347.5,841,180378,29264,1951,53109,42929,
348.5,691,178612,27810,1689,52200,42602,
349.5,566,176876,26413,1461,51329,42276,
350.5,463,175164,25072,1262,50490,41948,
351.5,378,173466,23784,1089,49679,41619,
352.5,308,171775,22549,938,48892,41286,
353.5,250,170083,21363,807,48126,40948,
354.5,203,168380,20226,694,47376,40604,
355.5,164,166661,19136,595,46639,40251,
356.5,133,164916,18091,511,45913,39888,
357.5,107,163139,17091,437,45194,39515,
358.5,86,161323,16133,374,44479,39128,
359.5,69,159459,15217,320,43766,38727,
360.5,56,157542,14341,273,43053,38309,
361.5,45,155566,13504,233,42337,37874,
362.5,36,153523,12705,199,41616,37420,
363.5,29,151409,11942,169,40887,36946,
364.5,23,149219,11215,144,40150,36451,
365.5,18,146948,10522,123,39402,35933,
366.5,14,144591,9862,104,38643,35392,
367.5,11,142147,9234,88,37870,34826,
368.5,9,139611,8638,75,37083,34236,
369.5,7,136982,8072,64,36281,33620,
370.5,6,134258,7534,54,35463,32979,
371.5,4,131439,7025,46,34629,32312,
372.5,3,128526,6543,39,33778,31620,
373.5,3,125519,6088,33,32911,30903,
374.5,2,122421,5657,28,32027,30161,
375.5,2,119234,5251,23,31128,29395,
376.5,1,115962,4868,20,30213,28606,
377.5,1,112610,4508,17,29284,27796,
378.5,0,109183,4169,14,28342,26965,
379.5,0,105688,3851,12,27388,26116,
380.5,0,102131,3553,10,26424,25250,
381.5,0,98520,3273,9,25451,24369,
382.5,0,94865,3012,7,24471,23475,
383.5,0,91173,2767,6,23487,22572,
384.5,0,87456,2539,5,22500,21660,
385.5,0,83722,2327,4,21513,20743,
386.5,0,79982,2130,4,20529,19824,
387.5,0,76248,1946,3,19549,18905,
388.5,0,72530,1776,3,18577,17989,
389.5,0,68839,1618,2,17615,17079,
390.5,0,65186,1473,2,16665,16177,
391.5,0,61581,1338,2,15730,15287,
392.5,0,58037,1214,1,14813,14411,
393.5,0,54561,1100,1,13916,13551,
394.5,0,51165,995,0,13040,12710,
395.5,0,47857,898,0,12189,11891,
396.5,0,44645,810,0,11364,11095,
397.5,0,41538,729,0,10567,10325,
398.5,0,38541,656,0,9799,9582,
399.5,0,35662,588,0,9063,8867,
400.5,0,32904,527,0,8358,8183,
401.5,0,30272,472,0,7686,7530,
402.5,0,27769,421,0,7048,6908,
403.5,0,25398,376,0,6444,6319,
404.5,0,23159,335,0,5873,5762,
405.5,0,21053,297,0,5338,5239,
406.5,0,19079,264,0,4836,4748,
407.5,0,17235,234,0,4367,4290,
408.5,0,15520,207,0,3932,3863,
409.5,0,13931,182,0,3528,3468,
410.5,0,12463,161,0,3156,3103,
411.5,0,11113,141,0,2814,2767,
412.5,0,9876,124,0,2500,2459,
413.5,0,8748,109,0,2214,2178,
414.5,0,7721,95,0,1954,1922,
415.5,0,6792,83,0,1719,1691,
416.5,0,5953,73,0,1506,1482,
417.5,0,5200,63,0,1316,1295,
418.5,0,4525,55,0,1145,1127,
419.5,0,3925,48,0,993,977,
420.5,0,3391,41,0,858,844,
421.5,0,2919,36,0,739,727,
422.5,0,2504,31,0,634,624,
423.5,0,2140,26,0,542,533,
424.5,0,1822,23,0,461,454,
425.5,0,1545,20,0,391,385,
426.5,0,1306,17,0,331,325,
427.5,0,1099,14,0,278,274,
428.5,0,922,12,0,233,229,
429.5,0,770,10,0,195,192,
430.5,0,641,9,0,162,159,
431.5,0,531,7,0,135,132,
432.5,0,438,6,0,111,109,
433.5,0,361,5,0,91,90,
434.5,0,295,5,0,75,73,
435.5,0,241,4,0,61,60,
436.5,0,196,3,0,50,49,
437.5,0,158,3,0,40,39,
438.5,0,128,2,0,32,32,
