NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_24h_A_LS 2020-09-18 11-09-17.nano,
Operator Name,Jen,
Time Captured,11:09:17  18/09/2020,
Sample Description,ATCC_24h_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,ATCC_24h_A_LS 2020-09-18 11-09-47,ATCC_24h_A_LS 2020-09-18 11-10-56,ATCC_24h_A_LS 2020-09-18 11-12-05,ATCC_24h_A_LS 2020-09-18 11-13-14,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.275,24.274,24.300,24.352,
Viscosity/cP,0.903570,0.903591,0.903051,0.901971,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1168,10.8028,13.1575,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.50e+07,4.04e+07,3.06e+07,2.50e+07,3.28e+07,3.26e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,3.1,3.0,2.6,2.1,2.7,0.2,
Centres per frame,4.4,4.3,3.8,3.1,3.9,0.3,
Completed tracks,565,532,286,227,,,
X-Drift (pix/frame),-9.1,-9.5,-10.2,-10.7,,,
Y-Drift (pix/frame),-0.3,0.1,-0.0,-0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,ATCC_24h_A_LS 2020-09-18 11-09-47,ATCC_24h_A_LS 2020-09-18 11-10-56,ATCC_24h_A_LS 2020-09-18 11-12-05,ATCC_24h_A_LS 2020-09-18 11-13-14,Average,Standard Error,
Mean,175.7,167.4,176.4,169.3,172.2,2.3,
Mode,174.9,154.7,152.2,188.5,167.6,8.6,
SD,39.9,46.1,47.1,29.9,40.8,4.0,
D10,102.2,130.4,130.1,122.7,121.3,6.6,
D50,179.3,157.0,165.7,180.7,170.7,5.7,
D90,223.3,232.3,237.5,200.4,223.4,8.2,
Valid Tracks,183.0,201.0,146.0,113.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,
29.5,0,3,0,0,0,0,
30.5,0,38,0,0,9,9,
31.5,0,336,0,0,84,84,
32.5,0,1852,0,0,463,463,
33.5,0,6603,0,0,1651,1651,
34.5,0,15844,0,0,3961,3961,
35.5,0,26550,0,0,6637,6637,
36.5,0,32168,0,0,8042,8042,
37.5,0,29128,0,0,7282,7282,
38.5,0,20344,0,0,5086,5086,
39.5,0,11296,0,0,2824,2824,
40.5,0,5133,0,0,1283,1283,
41.5,1,1964,0,0,491,491,
42.5,3,650,0,0,163,162,
43.5,7,191,0,0,50,47,
44.5,15,51,0,0,17,12,
45.5,33,13,0,0,12,8,
46.5,70,3,1,0,19,17,
47.5,139,0,2,0,36,35,
48.5,261,0,5,0,67,65,
49.5,461,0,10,0,118,115,
50.5,765,0,18,0,196,190,
51.5,1193,0,34,0,307,296,
52.5,1748,0,59,0,452,432,
53.5,2406,0,101,0,627,594,
54.5,3120,0,167,0,822,767,
55.5,3818,0,266,0,1021,934,
56.5,4421,0,411,0,1208,1075,
57.5,4862,0,614,0,1369,1173,
58.5,5100,0,889,0,1497,1219,
