NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_24h_B_LS 2020-09-18 11-20-44.nano,
Operator Name,Jen,
Time Captured,11:20:44  18/09/2020,
Sample Description,ATCC_24h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,ATCC_24h_B_LS 2020-09-18 11-25-39,ATCC_24h_B_LS 2020-09-18 11-26-48,ATCC_24h_B_LS 2020-09-18 11-27-57,ATCC_24h_B_LS 2020-09-18 11-29-06,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.477,24.497,24.542,24.534,
Viscosity/cP,0.899385,0.898972,0.898045,0.898210,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,7,7,7,7,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.6411,12.1518,14.1277,18.3124,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),6.76e+07,6.67e+07,7.40e+07,7.89e+07,7.18e+07,2.88e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,4.5,4.7,4.8,5.8,4.9,0.3,
Centres per frame,5.2,5.5,5.5,6.3,5.6,0.2,
Completed tracks,581,554,658,718,,,
X-Drift (pix/frame),-10.4,-10.3,-11.1,-10.8,,,
Y-Drift (pix/frame),0.1,-0.0,0.2,-0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,ATCC_24h_B_LS 2020-09-18 11-25-39,ATCC_24h_B_LS 2020-09-18 11-26-48,ATCC_24h_B_LS 2020-09-18 11-27-57,ATCC_24h_B_LS 2020-09-18 11-29-06,Average,Standard Error,
Mean,160.9,164.8,167.6,164.1,164.4,1.4,
Mode,153.1,159.9,187.1,192.2,173.1,9.7,
SD,30.7,25.5,44.1,37.7,34.5,4.1,
D10,128.0,136.2,112.1,112.0,122.1,6.0,
D50,157.1,163.2,173.5,169.2,165.8,3.6,
D90,200.8,198.3,208.4,211.2,204.7,3.1,
Valid Tracks,253.0,252.0,268.0,320.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,
