NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_72h_C_LS 2020-09-18 12-34-09.nano,
Operator Name,Jen,
Time Captured,12:34:09  18/09/2020,
Sample Description,ATCC_72h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,ATCC_72h_C_LS 2020-09-18 12-34-35,ATCC_72h_C_LS 2020-09-18 12-35-44,ATCC_72h_C_LS 2020-09-18 12-36-53,ATCC_72h_C_LS 2020-09-18 12-38-02,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.424,24.459,24.512,24.587,
Viscosity/cP,0.900480,0.899757,0.898663,0.897119,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,12.6630,16.5441,16.1044,13.0581,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.70e+08,2.23e+08,2.26e+08,2.33e+08,2.38e+08,1.09e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,15.9,14.0,13.8,14.2,14.5,0.5,
Centres per frame,19.0,15.9,15.1,16.0,16.5,0.9,
Completed tracks,3238,2413,2240,2358,,,
X-Drift (pix/frame),-8.3,-9.8,-10.0,-10.0,,,
Y-Drift (pix/frame),-0.4,-0.2,-0.1,0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,High vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,ATCC_72h_C_LS 2020-09-18 12-34-35,ATCC_72h_C_LS 2020-09-18 12-35-44,ATCC_72h_C_LS 2020-09-18 12-36-53,ATCC_72h_C_LS 2020-09-18 12-38-02,Average,Standard Error,
Mean,164.8,164.5,161.1,161.4,162.9,1.0,
