NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,ATCC_T0_A_LS 2020-09-24 16-33-33.nano,
Operator Name,Eddie,
Time Captured,16:33:33  24/09/2020,
Sample Description,ATCC_T0_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,ATCC_T0_A_LS 2020-09-24 16-33-54,ATCC_T0_A_LS 2020-09-24 16-35-03,ATCC_T0_A_LS 2020-09-24 16-36-12,ATCC_T0_A_LS 2020-09-24 16-37-21,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.649,25.661,25.645,25.652,
Viscosity/cP,0.875704,0.875467,0.875783,0.875645,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,13,13,13,13,
Slider Shutter,1232,1232,1232,1232,
Slider Gain,219,219,219,219,
Shutter/ms,30.800000,30.800000,30.800000,30.800000,
Camera Histogram Upper Limit,8235,8235,8235,8235,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,9,9,9,9,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,11.7398,15.4436,14.6021,16.0348,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.80e+09,4.49e+09,4.13e+09,4.57e+09,4.24e+09,1.78e+08,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,238.7,276.2,255.7,282.0,263.1,9.9,
Centres per frame,215.9,205.8,204.3,207.4,208.4,2.6,
Completed tracks,32913,36321,35472,36904,,,
X-Drift (pix/frame),-9.6,-10.1,-10.8,-10.7,,,
Y-Drift (pix/frame),0.1,0.4,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,ATCC_T0_A_LS 2020-09-24 16-33-54,ATCC_T0_A_LS 2020-09-24 16-35-03,ATCC_T0_A_LS 2020-09-24 16-36-12,ATCC_T0_A_LS 2020-09-24 16-37-21,Average,Standard Error,
Mean,201.9,180.0,179.3,170.8,183.0,6.6,
Mode,201.6,195.4,181.9,192.8,192.9,4.1,
SD,46.9,54.8,52.9,55.1,52.4,1.9,
D10,141.1,97.1,108.2,86.1,108.1,11.9,
D50,201.6,185.6,179.9,179.5,186.6,5.2,
D90,261.1,244.2,246.3,228.3,245.0,6.7,
Valid Tracks,9278.0,7477.0,8250.0,7065.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,
23.5,0,0,0,2,0,0,
24.5,0,0,0,20,5,5,
25.5,0,0,0,173,43,43,
26.5,0,2,1,1040,261,260,
27.5,0,21,4,4556,1145,1137,
28.5,0,154,13,15229,3849,3794,
29.5,0,848,37,40450,10334,10041,
30.5,0,3584,96,88560,23060,21849,
31.5,0,12041,234,165195,44367,40374,
32.5,0,33133,536,270391,76015,65253,
33.5,0,76693,1158,398569,119105,94867,
34.5,0,152966,2372,541174,174128,127473,
35.5,0,268602,4614,690043,240815,162368,
36.5,0,423273,8555,839754,317896,200040,
37.5,0,608858,15158,988410,403107,241163,
38.5,0,811563,25731,1137232,493631,285468,
39.5,0,1015727,41948,1289655,586833,331560,
40.5,0,1207541,65840,1450414,680949,377649,
41.5,1,1377415,99730,1624850,775499,422469,
42.5,3,1520704,146135,1818462,871326,465820,
43.5,6,1637151,207630,2036638,970356,508667,
44.5,11,1729694,286700,2284471,1075219,552906,
45.5,23,1803157,385594,2566618,1188848,600982,
46.5,43,1863165,506199,2887136,1314136,655449,
47.5,79,1915390,649949,3249298,1453679,718584,
48.5,140,1965126,817758,3655386,1609603,792097,
49.5,241,2017108,1010003,4106480,1783458,876980,
50.5,404,2075496,1226515,4602268,1976171,973477,
51.5,660,2143958,1466601,5140908,2188032,1081144,
52.5,1054,2225784,1729066,5718952,2418714,1198940,
53.5,1647,2324015,2012251,6331379,2667323,1325334,
54.5,2519,2441550,2314065,6971704,2932460,1458408,
55.5,3778,2581241,2632021,7632197,3212309,1595960,
56.5,5562,2745950,2963281,8304163,3504739,1735599,
57.5,8043,2938569,3304704,8978291,3807402,1874851,
58.5,11435,3162019,3652905,9645015,4117843,2011260,
59.5,15993,3419193,4004330,10294882,4433600,2142490,
60.5,22021,3712871,4355338,10918889,4752280,2266428,
61.5,29863,4045594,4702291,11508776,5071631,2381271,
62.5,39907,4419489,5041658,12057265,5389580,2485611,
63.5,52574,4836066,5370110,12558229,5704245,2578499,
64.5,68311,5295991,5684620,13006807,6013932,2659489,
65.5,87576,5798836,5982545,13399457,6317104,2728664,
66.5,110822,6342848,6261694,13733960,6612331,2786617,
67.5,138481,6924735,6520377,14009383,6898244,2834404,
68.5,170947,7539526,6757437,14226004,7173478,2873451,
69.5,208556,8180502,6972246,14385213,7436629,2905409,
70.5,251576,8839249,7164692,14489395,7686228,2931987,
71.5,300193,9505829,7335142,14541794,7920739,2954749,
72.5,354504,10169087,7484392,14546369,8138588,2974930,
73.5,414520,10817084,7613600,14507647,8338213,2993280,
74.5,480170,11437616,7724217,14430570,8518143,3009976,
75.5,551305,12018810,7817920,14320350,8677096,3024622,
76.5,627718,12549713,7896539,14182332,8814075,3036328,
77.5,709157,13020859,7961990,14021859,8928466,3043866,
78.5,795344,13424732,8016221,13844163,9020115,3045854,
79.5,885991,13756109,8061160,13654259,9089380,3040961,
80.5,980819,14012243,8098676,13456868,9137151,3028072,
81.5,1079574,14192888,8130546,13256349,9164839,3006424,
82.5,1182038,14300164,8158433,13056657,9174323,2975671,
83.5,1288036,14338294,8183875,12861314,9167880,2935911,
84.5,1397448,14313244,8208272,12673392,9148089,2887650,
85.5,1510205,14232299,8232888,12495522,9117728,2831750,
86.5,1626294,14103624,8258852,12329896,9079666,2769336,
87.5,1745752,13935838,8287166,12178296,9036763,2701711,
88.5,1868661,13737625,8318714,12042116,8991779,2630264,
89.5,1995142,13517415,8354272,11922394,8947306,2556386,
90.5,2125350,13283124,8394519,11819846,8905709,2481407,
91.5,2259458,13041970,8440052,11734897,8869094,2406538,
92.5,2397656,12800364,8491395,11667717,8839283,2332841,
93.5,2540138,12563846,8549013,11618253,8817812,2261207,
94.5,2687093,12337080,8613319,11586253,8805936,2192344,
95.5,2838699,12123889,8684688,11571302,8804644,2126787,
96.5,2995113,11927303,8763466,11572840,8814680,2064902,
97.5,3156466,11749635,8849972,11590189,8836565,2006907,
98.5,3322858,11592564,8944510,11622574,8870626,1952890,
99.5,3494348,11457212,9047372,11669143,8917019,1902829,
100.5,3670959,11344228,9158844,11728980,8975753,1856616,
101.5,3852666,11253859,9279206,11801130,9046715,1814077,
102.5,4039402,11186023,9408735,11884606,9129692,1774988,
103.5,4231054,11140358,9547709,11978413,9224384,1739097,
104.5,4427465,11116283,9696404,12081553,9330426,1706140,
105.5,4628436,11113039,9855094,12193043,9447403,1675846,
106.5,4833731,11129722,10024051,12311926,9574858,1647959,
107.5,5043076,11165326,10203544,12437282,9712307,1622236,
108.5,5256170,11218760,10393833,12568237,9859250,1598463,
109.5,5472690,11288881,10595170,12703973,10015179,1576455,
110.5,5692295,11374513,10807796,12843736,10179585,1556063,
111.5,5914631,11474470,11031933,12986841,10351969,1537175,
112.5,6139346,11587572,11267786,13132676,10531845,1519719,
113.5,6366089,11712669,11515537,13280709,10718751,1503663,
114.5,6594521,11848649,11775338,13430488,10912249,1489017,
115.5,6824321,11994464,12047312,13581643,11111935,1475830,
116.5,7055190,12149138,12331547,13733883,11317440,1464187,
117.5,7286862,12311782,12628090,13887002,11528434,1454208,
118.5,7519101,12481606,12936946,14040869,11744631,1446045,
119.5,7751713,12657926,13258075,14195433,11965787,1439873,
120.5,7984543,12840173,13591384,14350714,12191704,1435884,
121.5,8217480,13027897,13936730,14506805,12422228,1434280,
122.5,8450460,13220766,14293912,14663863,12657250,1435264,
123.5,8683464,13418568,14662671,14822111,12896704,1439026,
124.5,8916519,13621206,15042691,14981832,13140562,1445739,
125.5,9149697,13828693,15433591,15143363,13388836,1455540,
126.5,9383114,14041142,15834933,15307096,13641571,1468529,
127.5,9616929,14258758,16246213,15473471,13898843,1484754,
128.5,9851341,14481826,16666868,15642975,14160752,1504208,
129.5,10086585,14710700,17096276,15816138,14427424,1526828,
130.5,10322931,14945788,17533755,15993530,14699001,1552485,
131.5,10560682,15187539,17978571,16175761,14975638,1580998,
132.5,10800167,15436429,18429938,16363473,15257502,1612125,
133.5,11041742,15692951,18887021,16557341,15544764,1645579,
134.5,11285783,15957597,19348945,16758072,15837599,1681028,
135.5,11532687,16230850,19814797,16966397,16136183,1718104,
136.5,11782864,16513169,20283635,17183071,16440685,1756415,
137.5,12036740,16804982,20754490,17408873,16751271,1795547,
138.5,12294746,17106672,21226378,17644597,17068098,1835075,
139.5,12557323,17418575,21698304,17891052,17391314,1874569,
140.5,12824914,17740964,22169272,18149059,17721052,1913601,
141.5,13097964,18074049,22638288,18419446,18057437,1951749,
142.5,13376914,18417970,23104371,18703041,18400574,1988606,
