NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BGP6_12h_B_LS 2020-11-03 10-37-55.nano,
Operator Name,EF,
Time Captured,10:37:55  03/11/2020,
Sample Description,BGP6_12h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BGP6_12h_B_LS 2020-11-03 10-38-18,BGP6_12h_B_LS 2020-11-03 10-39-27,BGP6_12h_B_LS 2020-11-03 10-40-36,BGP6_12h_B_LS 2020-11-03 10-41-45,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,21.657,21.683,21.740,21.798,
Viscosity/cP,0.960758,0.960162,0.958857,0.957532,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1277,14.1277,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.36e+06,7.69e+06,5.23e+06,9.22e+06,7.62e+06,8.58e+05,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,0.9,0.9,0.5,0.9,0.8,0.1,
Centres per frame,1.4,1.2,0.7,1.3,1.1,0.2,
Completed tracks,223,123,83,190,,,
X-Drift (pix/frame),-10.4,-10.6,-11.7,-12.4,,,
Y-Drift (pix/frame),-0.4,0.1,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,Too Low,Too Low,Too Low,Too Low,
Noise level,High noise,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,<200,<100,<200,
Concentration,Very low concentration,Very low concentration,Very low concentration,Very low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,Noise detected,Noise detected,High noise,
Vibration detected,No,No,No,No,
Vibration correction applied,No,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BGP6_12h_B_LS 2020-11-03 10-38-18,BGP6_12h_B_LS 2020-11-03 10-39-27,BGP6_12h_B_LS 2020-11-03 10-40-36,BGP6_12h_B_LS 2020-11-03 10-41-45,Average,Standard Error,
Mean,134.4,254.1,215.5,179.2,195.8,25.6,
Mode,66.2,194.6,112.9,73.5,111.8,29.4,
SD,91.6,178.8,145.0,121.4,134.2,18.5,
D10,64.2,77.3,106.0,73.1,80.2,9.1,
D50,118.0,195.3,170.8,145.3,157.3,16.6,
D90,210.1,487.7,299.5,427.9,356.3,62.6,
Valid Tracks,49.0,47.0,29.0,53.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,2,2,0,0,0,0,
15.5,4,7,0,0,3,2,
16.5,9,23,0,0,8,5,
17.5,19,66,0,0,21,16,
18.5,35,171,0,0,52,41,
19.5,62,396,0,0,114,95,
20.5,101,820,0,0,230,198,
21.5,157,1526,0,0,421,370,
22.5,232,2568,0,0,700,625,
23.5,328,3931,0,0,1065,959,
24.5,445,5505,0,0,1488,1343,
25.5,582,7095,2,0,1920,1731,
26.5,737,8469,4,0,2302,2063,
27.5,905,9419,9,0,2583,2288,
28.5,1083,9821,18,0,2731,2377,
29.5,1265,9662,34,0,2740,2326,
30.5,1444,9024,60,0,2632,2156,
31.5,1617,8052,100,0,2442,1906,
32.5,1779,6909,158,0,2211,1617,
33.5,1926,5740,236,0,1975,1326,
34.5,2058,4648,335,0,1760,1063,
35.5,2173,3696,454,0,1581,846,
36.5,2274,2906,590,0,1443,686,
37.5,2363,2278,735,0,1344,584,
38.5,2444,1792,881,0,1279,533,
39.5,2522,1428,1019,0,1242,522,
40.5,2605,1160,1140,0,1226,534,
41.5,2701,968,1236,0,1226,559,
42.5,2821,835,1301,0,1239,592,
43.5,2978,749,1333,0,1265,633,
44.5,3192,701,1332,0,1306,685,
45.5,3484,687,1301,0,1368,754,
46.5,3886,707,1244,0,1459,848,
47.5,4441,760,1168,0,1592,980,
48.5,5210,855,1077,0,1786,1165,
49.5,6274,999,980,0,2063,1423,
50.5,7747,1209,880,0,2459,1781,
51.5,9781,1505,782,0,3017,2275,
52.5,12572,1914,689,0,3794,2953,
53.5,16367,2471,603,0,4860,3871,
54.5,21444,3220,526,0,6297,5098,
55.5,28091,4208,459,0,8190,6701,
56.5,36555,5490,400,0,10611,8738,
57.5,46962,7115,350,0,13607,11238,
58.5,59239,9127,307,3,17169,14182,
59.5,73036,11552,272,14,21218,17481,
60.5,87694,14390,244,60,25597,20969,
61.5,102285,17610,220,231,30087,24412,
62.5,115715,21142,202,785,34461,27519,
63.5,126906,24879,188,2341,38578,29967,
64.5,134969,28682,178,6137,42492,31431,
65.5,139368,32392,172,14172,46526,31642,
66.5,139983,35842,169,28943,51234,30575,
67.5,137099,38875,170,52533,57169,28859,
68.5,131313,41359,174,85232,64520,28236,
69.5,123398,43198,182,124428,72801,30789,
70.5,114165,44342,194,164631,80833,36478,
71.5,104357,44782,212,198943,87073,42960,
72.5,94578,44554,235,221337,90176,47778,
73.5,85270,43727,266,228592,89464,49516,
74.5,76714,42392,307,220982,85099,47913,
75.5,69059,40655,360,201621,77924,43574,
76.5,62352,38625,427,175041,69111,37543,
77.5,56572,36405,514,145750,59810,30903,
78.5,51654,34089,625,117289,50915,24526,
79.5,47513,31756,768,91886,42981,18974,
80.5,44058,29469,949,70559,36259,14521,
81.5,41197,27274,1180,53451,30775,11221,
82.5,38847,25207,1471,40181,26427,8980,
83.5,36935,23288,1838,30137,23049,7599,
84.5,35397,21527,2297,22662,20471,6825,
85.5,34180,19930,2867,17160,18534,6417,
86.5,33241,18492,3569,13134,17109,6200,
87.5,32545,17208,4425,10195,16094,6075,
88.5,32065,16069,5460,8049,15411,5993,
89.5,31778,15065,6697,6478,15005,5938,
90.5,31670,14185,8159,5325,14835,5908,
91.5,31730,13418,9866,4477,14873,5912,
92.5,31951,12754,11834,3854,15098,5962,
93.5,32329,12184,14073,3399,15496,6074,
94.5,32863,11698,16586,3072,16055,6260,
95.5,33555,11288,19366,2846,16764,6534,
96.5,34407,10949,22397,2702,17614,6902,
97.5,35423,10674,25653,2626,18594,7364,
98.5,36608,10457,29097,2612,19693,7914,
99.5,37966,10295,32681,2655,20899,8541,
100.5,39504,10183,36351,2755,22198,9229,
101.5,41225,10118,40043,2916,23575,9961,
102.5,43132,10099,43692,3141,25016,10716,
103.5,45227,10123,47229,3439,26504,11476,
104.5,47510,10187,50586,3820,28026,12223,
105.5,49977,10292,53699,4298,29567,12939,
106.5,52623,10435,56512,4890,31115,13611,
107.5,55436,10617,58975,5615,32661,14226,
108.5,58404,10835,61049,6496,34196,14776,
109.5,61506,11090,62706,7557,35715,15256,
110.5,64719,11381,63930,8825,37214,15662,
111.5,68012,11706,64716,10330,38691,15994,
112.5,71352,12066,65071,12098,40147,16254,
113.5,74697,12458,65010,14157,41581,16447,
114.5,78004,12882,64559,16529,42993,16578,
115.5,81222,13335,63748,19230,44384,16655,
116.5,84300,13817,62615,22269,45750,16687,
117.5,87183,14324,61199,25642,47087,16684,
118.5,89816,14854,59543,29333,48386,16654,
119.5,92144,15403,57689,33314,49638,16608,
120.5,94115,15968,55680,37542,50826,16556,
121.5,95681,16544,53556,41959,51935,16503,
122.5,96801,17129,51353,46501,52946,16457,
123.5,97440,17717,49105,51093,53839,16421,
124.5,97574,18303,46844,55657,54595,16395,
125.5,97189,18882,44596,60120,55197,16378,
126.5,96282,19451,42383,64410,55631,16366,
127.5,94860,20003,40225,68467,55889,16356,
