NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BGP6_24h_A_LS 2020-11-03 10-55-19.nano,
Operator Name,EF,
Time Captured,10:55:19  03/11/2020,
Sample Description,BGP6_24h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BGP6_24h_A_LS 2020-11-03 10-55-49,BGP6_24h_A_LS 2020-11-03 10-56-58,BGP6_24h_A_LS 2020-11-03 10-58-07,BGP6_24h_A_LS 2020-11-03 10-59-16,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,22.426,22.447,22.497,22.575,
Viscosity/cP,0.943373,0.942905,0.941793,0.940063,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1277,14.1277,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.34e+07,9.84e+06,8.94e+06,1.18e+07,1.10e+07,9.95e+05,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,1.3,1.0,0.8,1.1,1.0,0.1,
Centres per frame,1.5,1.5,1.2,2.0,1.5,0.2,
Completed tracks,224,225,148,215,,,
X-Drift (pix/frame),-10.6,-11.5,-11.8,-11.5,,,
Y-Drift (pix/frame),-0.2,0.2,0.2,0.2,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,Too Low,Too Low,Too Low,Too Low,
Noise level,No,High noise,High noise,High noise,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,<200,OK,
Concentration,Very low concentration,Very low concentration,Very low concentration,Very low concentration,
Video length,OK,OK,OK,OK,
Noise level,No,High noise,High noise,High noise,
Vibration detected,No,No,No,No,
Vibration correction applied,No,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BGP6_24h_A_LS 2020-11-03 10-55-49,BGP6_24h_A_LS 2020-11-03 10-56-58,BGP6_24h_A_LS 2020-11-03 10-58-07,BGP6_24h_A_LS 2020-11-03 10-59-16,Average,Standard Error,
