NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS_12h_B_LS 2020-09-24 14-15-29.nano,
Operator Name,Eddie,
Time Captured,14:15:29  24/09/2020,
Sample Description,BS_12h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BS_12h_B_LS 2020-09-24 14-16-04,BS_12h_B_LS 2020-09-24 14-17-13,BS_12h_B_LS 2020-09-24 14-18-22,BS_12h_B_LS 2020-09-24 14-19-31,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.367,25.432,25.437,25.466,
Viscosity/cP,0.881310,0.880013,0.879913,0.879335,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,7,7,7,7,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,14.1277,14.1277,14.1277,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),7.79e+07,8.67e+06,1.02e+07,1.06e+07,2.68e+07,1.70e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,2.8,0.6,0.8,0.6,1.2,0.5,
Centres per frame,4.7,1.1,1.2,0.8,2.0,0.9,
Completed tracks,1295,210,217,129,,,
X-Drift (pix/frame),-3.9,-8.5,-9.8,-9.6,,,
Y-Drift (pix/frame),-0.1,-0.0,0.1,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,Too Low,Too Low,Too Low,
Noise level,High noise,High noise,High noise,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,<200,
Concentration,Low concentration,Very low concentration,Very low concentration,Very low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,Noise detected,
Vibration detected,No,No,No,No,
Vibration correction applied,No,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BS_12h_B_LS 2020-09-24 14-16-04,BS_12h_B_LS 2020-09-24 14-17-13,BS_12h_B_LS 2020-09-24 14-18-22,BS_12h_B_LS 2020-09-24 14-19-31,Average,Standard Error,
Mean,89.1,221.4,180.4,152.6,160.9,27.8,
Mode,83.1,78.7,256.4,184.4,150.7,42.9,
SD,30.7,164.5,67.2,46.9,77.3,30.0,
D10,52.3,55.6,105.4,79.3,73.2,12.3,
D50,83.1,226.7,173.4,173.0,164.1,29.8,
D90,138.6,527.7,261.1,197.7,281.3,85.9,
Valid Tracks,106.0,25.0,37.0,37.0,,,
Graph Data,
