NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS_144h_A_LS 2020-09-24 15-25-32.nano,
Operator Name,Eddie,
Time Captured,15:25:32  24/09/2020,
Sample Description,BS_144h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BS_144h_A_LS 2020-09-24 15-26-01,BS_144h_A_LS 2020-09-24 15-27-10,BS_144h_A_LS 2020-09-24 15-28-19,BS_144h_A_LS 2020-09-24 15-29-28,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.501,25.545,25.528,25.537,
Viscosity/cP,0.878639,0.877765,0.878102,0.877924,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,10,10,10,10,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,12.8348,15.8716,15.8288,15.8675,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.93e+09,1.81e+09,1.95e+09,1.68e+09,1.84e+09,6.16e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,114.4,106.0,111.2,99.2,107.7,3.3,
Centres per frame,128.8,121.4,125.7,117.0,123.2,2.6,
Completed tracks,22767,22409,22956,21283,,,
X-Drift (pix/frame),-8.9,-9.9,-10.1,-10.5,,,
Y-Drift (pix/frame),-1.1,-0.0,0.7,-0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Moderate vibration,No,No,No,
Vibration correction applied,Yes,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BS_144h_A_LS 2020-09-24 15-26-01,BS_144h_A_LS 2020-09-24 15-27-10,BS_144h_A_LS 2020-09-24 15-28-19,BS_144h_A_LS 2020-09-24 15-29-28,Average,Standard Error,
Mean,179.2,163.1,160.1,161.1,165.9,4.5,
Mode,174.8,158.1,163.3,158.4,163.7,3.9,
SD,54.4,59.6,58.0,60.0,58.0,1.3,
D10,119.6,88.4,87.6,88.7,96.1,7.8,
D50,174.3,159.8,158.5,158.1,162.7,3.9,
D90,247.5,236.4,228.0,228.3,235.1,4.6,
Valid Tracks,5264.0,4729.0,5020.0,4614.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,
