NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,BS_T0_A_LS 2020-09-24 16-56-53.nano,
Operator Name,Eddie,
Time Captured,16:56:53  24/09/2020,
Sample Description,BS_T0_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,BS_T0_A_LS 2020-09-24 16-57-14,BS_T0_A_LS 2020-09-24 16-58-23,BS_T0_A_LS 2020-09-24 16-59-32,BS_T0_A_LS 2020-09-24 17-00-41,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.502,25.551,25.538,25.547,
Viscosity/cP,0.878619,0.877646,0.877904,0.877725,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,15,15,15,15,
Slider Shutter,1206,1206,1206,1206,
Slider Gain,366,366,366,366,
Shutter/ms,30.150000,30.150000,30.150000,30.150000,
Camera Histogram Upper Limit,3294,3294,3294,3294,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,12,12,12,12,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,10.9787,12.6322,12.8831,13.4028,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.62e+09,1.65e+09,1.59e+09,1.62e+09,1.62e+09,1.28e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,106.3,107.3,103.7,105.5,105.7,0.8,
Centres per frame,110.1,107.9,104.5,105.9,107.1,1.2,
Completed tracks,13960,14481,14156,14886,,,
X-Drift (pix/frame),-8.6,-10.0,-10.2,-10.4,,,
Y-Drift (pix/frame),-0.5,-0.0,0.1,0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,No,
Vibration correction applied,Yes,Yes,Yes,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,BS_T0_A_LS 2020-09-24 16-57-14,BS_T0_A_LS 2020-09-24 16-58-23,BS_T0_A_LS 2020-09-24 16-59-32,BS_T0_A_LS 2020-09-24 17-00-41,Average,Standard Error,
Mean,208.7,200.9,197.2,193.0,200.0,3.3,
