NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_72h_B_LS 2020-09-21 11-18-09.nano,
Operator Name,EF,
Time Captured,11:18:09  21/09/2020,
Sample Description,HOT1A3_72h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,HOT1A3_72h_B_LS 2020-09-21 11-18-28,HOT1A3_72h_B_LS 2020-09-21 11-19-37,HOT1A3_72h_B_LS 2020-09-21 11-20-46,HOT1A3_72h_B_LS 2020-09-21 11-21-55,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.283,24.282,24.307,24.356,
Viscosity/cP,0.903404,0.903425,0.902905,0.901888,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,23.4206,14.1277,11.6545,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.90e+07,3.32e+07,3.05e+07,3.32e+07,3.40e+07,1.79e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,3.7,3.0,3.2,3.3,3.3,0.1,
Centres per frame,4.8,4.4,4.5,4.2,4.5,0.1,
Completed tracks,440,329,333,342,,,
X-Drift (pix/frame),-9.2,-10.1,-9.6,-10.8,,,
Y-Drift (pix/frame),-0.4,-0.1,0.3,-0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,Noise detected,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
