NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_72h_C_LS 2020-09-21 11-27-46.nano,
Operator Name,EF,
Time Captured,11:27:46  21/09/2020,
Sample Description,HOT1A3_72h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,HOT1A3_72h_C_LS 2020-09-21 11-28-10,HOT1A3_72h_C_LS 2020-09-21 11-29-19,HOT1A3_72h_C_LS 2020-09-21 11-30-28,HOT1A3_72h_C_LS 2020-09-21 11-31-37,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.407,24.414,24.442,24.495,
Viscosity/cP,0.900832,0.900687,0.900108,0.899014,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,25.4927,21.6901,14.1277,14.1277,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.53e+07,2.49e+07,2.55e+07,2.86e+07,2.86e+07,2.40e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,2.9,2.0,2.2,2.5,2.4,0.2,
Centres per frame,4.7,3.1,2.9,3.2,3.5,0.4,
Completed tracks,420,235,193,244,,,
X-Drift (pix/frame),-10.2,-10.7,-10.8,-11.0,,,
Y-Drift (pix/frame),-0.2,-0.2,0.0,0.0,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,High noise,High noise,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,<200,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,Noise detected,Noise detected,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,HOT1A3_72h_C_LS 2020-09-21 11-28-10,HOT1A3_72h_C_LS 2020-09-21 11-29-19,HOT1A3_72h_C_LS 2020-09-21 11-30-28,HOT1A3_72h_C_LS 2020-09-21 11-31-37,Average,Standard Error,
Mean,191.4,175.9,226.0,214.3,201.9,11.3,
Mode,131.3,126.8,146.7,182.7,146.9,12.7,
SD,108.9,80.4,122.2,82.8,98.6,10.2,
D10,70.9,117.1,133.8,120.9,110.7,13.7,
D50,153.0,180.8,157.3,196.7,172.0,10.3,
D90,391.1,316.8,438.2,296.2,360.6,32.9,
Valid Tracks,157.0,109.0,102.0,120.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
