NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,HOT1A3_T0_A_LS 2020-09-24 16-13-48.nano,
Operator Name,Eddie,
Time Captured,16:13:48  24/09/2020,
Sample Description,HOT1A3_T0_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,HOT1A3_T0_A_LS 2020-09-24 16-14-14,HOT1A3_T0_A_LS 2020-09-24 16-15-23,HOT1A3_T0_A_LS 2020-09-24 16-16-32,HOT1A3_T0_A_LS 2020-09-24 16-17-41,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,25.579,25.568,25.583,25.623,
Viscosity/cP,0.877090,0.877308,0.877011,0.876218,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,9,9,9,9,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,13.8504,16.8440,12.8135,15.6254,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.40e+08,2.32e+08,2.25e+08,2.43e+08,2.35e+08,4.04e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,17.5,18.0,17.4,18.3,17.8,0.2,
Centres per frame,19.8,20.5,20.5,20.8,20.4,0.2,
Completed tracks,2640,2936,2643,2928,,,
X-Drift (pix/frame),-8.4,-9.4,-9.9,-10.0,,,
Y-Drift (pix/frame),-0.1,0.1,0.3,0.3,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,No,No,No,No,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
