NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_144h_A_LS 2020-09-23 12-26-45.nano,
Operator Name,Jen,
Time Captured,12:26:45  23/09/2020,
Sample Description,MIT_144_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,MIT_144h_A_LS 2020-09-23 12-27-12,MIT_144h_A_LS 2020-09-23 12-28-21,MIT_144h_A_LS 2020-09-23 12-29-30,MIT_144h_A_LS 2020-09-23 12-30-39,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.390,24.400,24.431,24.488,
Viscosity/cP,0.901184,0.900977,0.900335,0.899158,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,8,8,8,8,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,17.8820,18.8153,17.2812,17.0116,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.82e+08,8.73e+08,9.15e+08,7.83e+08,8.63e+08,2.83e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,44.6,43.2,44.4,40.4,43.1,1.0,
Centres per frame,72.7,68.5,63.4,55.1,64.9,3.8,
Completed tracks,14034,12847,12136,10266,,,
X-Drift (pix/frame),-10.0,-9.7,-9.6,-10.0,,,
Y-Drift (pix/frame),-0.4,-0.3,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,High noise,High noise,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,Noise detected,
Vibration detected,Minor vibration,No,No,Minor vibration,
Vibration correction applied,Yes,No,No,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MIT_144h_A_LS 2020-09-23 12-27-12,MIT_144h_A_LS 2020-09-23 12-28-21,MIT_144h_A_LS 2020-09-23 12-29-30,MIT_144h_A_LS 2020-09-23 12-30-39,Average,Standard Error,
Mean,149.3,151.1,154.3,162.6,154.3,3.0,
Mode,152.0,148.8,153.5,175.6,157.5,6.1,
SD,59.1,64.3,56.1,52.9,58.1,2.4,
D10,60.9,62.2,79.5,93.3,74.0,7.7,
D50,151.6,151.8,154.2,168.5,156.5,4.0,
D90,222.6,225.0,226.4,208.5,220.6,4.1,
Valid Tracks,2037.0,1994.0,2216.0,2031.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,
9.5,0,0,6,0,2,2,
10.5,0,0,37,0,9,9,
11.5,0,1,166,0,42,41,
12.5,4,13,596,0,153,147,
13.5,39,100,1782,0,480,435,
14.5,283,545,4585,0,1353,1083,
15.5,1532,2297,10377,0,3551,2325,
16.5,6446,7784,21068,0,8824,4421,
17.5,21756,21916,38975,0,20662,7985,
18.5,60453,52693,66563,0,44927,15242,
19.5,141469,110728,106090,0,89572,30872,
20.5,284552,207409,159252,4,162804,60089,
21.5,501325,352111,226882,59,270094,106058,
22.5,787467,549466,308786,425,411536,168305,
23.5,1121335,797648,403711,1881,581144,242506,
24.5,1470199,1088201,509448,5799,768412,321897,
25.5,1800347,1407311,623050,13737,961111,399501,
26.5,2085777,1737993,741101,26990,1147965,469907,
27.5,2312299,2062548,860013,46584,1320361,529875,
28.5,2477063,2364726,976316,73588,1472923,577954,
29.5,2585388,2631280,1086888,109370,1603232,613715,
30.5,2646977,2852811,1189142,155577,1711127,637146,
31.5,2672813,3023974,1281133,213817,1797934,648402,
32.5,2673181,3143193,1361601,285107,1865771,647843,
33.5,2656699,3212061,1429955,369202,1916979,636215,
34.5,2630049,3234593,1486211,464012,1953716,614807,
35.5,2598109,3216446,1530893,565381,1977707,585497,
36.5,2564246,3164210,1564924,667424,1990201,550638,
37.5,2530643,3084796,1589505,763467,1992103,512806,
38.5,2498601,2984973,1606005,847349,1984232,474484,
39.5,2468783,2871032,1615863,914662,1967585,437776,
