NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_144h_C_LS 2020-09-23 12-57-46.nano,
Operator Name,Jen,
Time Captured,12:57:46  23/09/2020,
Sample Description,MIT_144_C_LS-2,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,MIT_144h_C_LS 2020-09-23 12-58-19,MIT_144h_C_LS 2020-09-23 12-59-28,MIT_144h_C_LS 2020-09-23 13-00-37,MIT_144h_C_LS 2020-09-23 13-01-46,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.790,24.811,24.856,24.846,
Viscosity/cP,0.892961,0.892533,0.891616,0.891819,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,7,7,7,7,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,13.6030,16.3564,15.5813,16.5506,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.59e+09,1.40e+09,1.57e+09,1.64e+09,1.55e+09,5.13e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,84.5,76.1,80.5,84.5,81.4,2.0,
Centres per frame,101.7,91.5,97.3,102.2,98.2,2.5,
Completed tracks,18543,17070,18489,19323,,,
X-Drift (pix/frame),-9.9,-10.1,-10.3,-10.6,,,
Y-Drift (pix/frame),-0.0,-0.1,0.2,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,
Vibration detected,Minor vibration,No,No,No,
Vibration correction applied,Yes,No,No,No,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MIT_144h_C_LS 2020-09-23 12-58-19,MIT_144h_C_LS 2020-09-23 12-59-28,MIT_144h_C_LS 2020-09-23 13-00-37,MIT_144h_C_LS 2020-09-23 13-01-46,Average,Standard Error,
