NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_24h_A_LS 2020-09-23 10-44-17.nano,
Operator Name,Jen,
Time Captured,10:44:17  23/09/2020,
Sample Description,MIT_24h_A_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,MIT_24h_A_LS 2020-09-23 10-44-51,MIT_24h_A_LS 2020-09-23 10-46-00,MIT_24h_A_LS 2020-09-23 10-47-09,MIT_24h_A_LS 2020-09-23 10-48-18,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.251,23.288,23.345,23.343,
Viscosity/cP,0.925274,0.924475,0.923247,0.923290,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,13.4493,26.4264,22.4910,15.2190,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),6.81e+07,7.04e+07,8.35e+07,7.01e+07,7.30e+07,3.53e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,5.3,5.6,6.1,5.2,5.5,0.2,
Centres per frame,8.2,9.0,9.0,8.8,8.7,0.2,
Completed tracks,1076,1267,1463,1180,,,
X-Drift (pix/frame),-10.5,-10.3,-10.7,-11.0,,,
Y-Drift (pix/frame),-0.2,-0.0,0.2,-0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Be cautious of data due to noise,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,High noise,High noise,Noise detected,High noise,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,
Vibration detected,High vibration,High vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MIT_24h_A_LS 2020-09-23 10-44-51,MIT_24h_A_LS 2020-09-23 10-46-00,MIT_24h_A_LS 2020-09-23 10-47-09,MIT_24h_A_LS 2020-09-23 10-48-18,Average,Standard Error,
Mean,160.8,174.0,147.5,166.0,162.1,5.6,
Mode,141.7,98.3,157.2,199.7,149.2,20.9,
SD,43.6,54.7,46.8,58.1,50.8,3.4,
D10,106.4,98.5,89.1,107.6,100.4,4.3,
D50,153.6,174.9,153.3,179.0,165.2,6.8,
D90,223.0,239.1,209.0,207.7,219.7,7.3,
Valid Tracks,272.0,278.0,331.0,295.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,
7.5,0,2,0,0,0,0,
8.5,0,180,0,0,45,45,
9.5,0,2492,0,0,623,623,
10.5,0,9981,0,0,2495,2495,
11.5,0,19045,0,0,4761,4761,
12.5,0,24415,0,0,6104,6104,
13.5,0,26206,0,0,6552,6552,
14.5,0,26685,2,0,6672,6671,
15.5,0,27271,51,0,6830,6813,
16.5,0,28303,581,0,7221,7029,
17.5,0,29455,3867,0,8331,7100,
18.5,0,30058,16241,0,11575,7254,
19.5,0,29405,45751,0,18789,11349,
20.5,0,27101,91109,0,29552,21490,
21.5,0,23299,134357,0,39414,32121,
22.5,0,18643,153008,0,42913,36961,
23.5,0,13952,139916,0,38467,33976,
24.5,0,9868,106651,0,29130,25945,
25.5,0,6693,70324,0,19254,17096,
26.5,0,4431,41659,0,11522,10100,
27.5,0,2918,23062,0,6495,5565,
28.5,0,1948,12436,0,3596,2982,
29.5,0,1342,6820,0,2041,1624,
30.5,0,970,3973,0,1236,941,
31.5,0,746,2562,0,827,604,
32.5,0,617,1896,0,628,447,
33.5,0,552,1653,0,551,390,
34.5,0,538,1721,0,565,406,
35.5,0,569,2140,0,677,506,
36.5,0,652,3122,0,944,742,
37.5,2,804,5194,0,1500,1246,
38.5,5,1061,9472,0,2635,2293,
39.5,13,1481,18121,0,4904,4420,
40.5,30,2162,34794,0,9246,8531,
41.5,66,3264,64413,0,16936,15844,
42.5,138,5035,111219,0,29098,27399,
43.5,271,7847,174802,0,45730,43062,
44.5,504,12220,246400,0,64781,60606,
45.5,884,18822,309793,0,82375,75930,
46.5,1469,28414,348407,0,94573,84863,
47.5,2318,41706,353985,0,99502,85365,
48.5,3479,59113,329900,2,98123,78437,
49.5,4983,80444,287370,28,93206,67285,
50.5,6836,104627,238821,289,87643,55755,
51.5,9012,129596,193284,2086,83494,46864,
52.5,11459,152494,155273,10661,82472,41234,
53.5,14112,170197,125861,39196,87341,36548,
54.5,16897,180049,104275,105897,101780,33360,
55.5,19753,180569,89097,215785,126301,44431,
56.5,22634,171837,78910,341672,153763,69782,
57.5,25520,155429,72541,434287,171944,91477,
58.5,28420,133946,69104,458545,172504,97791,
59.5,31364,110314,67946,416438,156516,88130,
60.5,34407,87148,68573,336696,131706,69197,
61.5,37617,66330,70590,250499,106259,48634,
62.5,41076,48885,73645,176865,85118,31360,
63.5,44873,35084,77401,121854,69803,19566,
64.5,49097,24674,81527,83934,59808,14151,
65.5,53838,17122,85706,58983,53912,14113,
66.5,59179,11810,89659,42972,50905,16232,
67.5,65193,8162,93171,32840,49841,18573,
68.5,71933,5698,96117,26529,50069,20659,
69.5,79430,4052,98470,22742,51173,22480,
70.5,87682,2960,100301,20698,52910,24131,
71.5,96649,2241,101765,19953,55152,25712,
72.5,106246,1771,103077,20280,57844,27301,
73.5,116340,1472,104492,21597,60975,28940,
74.5,126755,1295,106286,23918,64564,30637,
75.5,137273,1212,108741,27326,68638,32368,
76.5,147646,1211,112145,31946,73237,34087,
77.5,157612,1293,116791,37908,78401,35746,
78.5,166915,1477,122982,45318,84173,37306,
79.5,175317,1802,131041,54213,90593,38753,
80.5,182621,2337,141315,64513,97696,40114,
81.5,188679,3205,154178,75994,105514,41456,
82.5,193405,4618,170024,88264,114078,42886,
83.5,196774,6929,189257,100785,123436,44533,
84.5,198821,10725,212258,112918,133681,46518,
85.5,199632,16955,239351,124006,144986,48924,
86.5,199332,27089,270740,133456,157654,51767,
87.5,198075,43284,306452,140825,172159,54998,
88.5,196034,68470,346255,145870,189157,58571,
89.5,193382,106206,389605,148571,209441,62636,
90.5,190293,160141,435599,149109,233786,67832,
91.5,186928,232936,482972,147819,262664,75468,
92.5,183433,324750,530143,145133,295865,87121,
93.5,179938,431726,575310,141518,332123,103502,
94.5,176554,545215,616602,137433,368951,123497,
95.5,173376,652511,652245,133288,402855,144295,
96.5,170483,739293,680745,129436,429989,162333,
97.5,167942,793182,701029,126163,447079,174447,
98.5,165809,807074,712543,123699,452281,178803,
99.5,164133,780884,715280,122231,445632,175341,
100.5,162957,721081,709743,121910,428923,165633,
101.5,162321,638379,696851,122876,405107,152241,
102.5,162264,544705,677815,125263,377512,137870,
103.5,162826,450580,654001,129212,349155,124603,
104.5,164050,363603,626804,134882,322335,113504,
105.5,165982,288104,597541,142452,298520,104660,
106.5,168674,225627,567383,152127,278453,97588,
107.5,172184,175780,537311,164134,262352,91685,
108.5,176576,137084,508102,178719,250120,86525,
109.5,181925,107644,480338,196137,241511,81939,
110.5,188310,85565,454422,216636,236233,77989,
111.5,195821,69177,430610,240436,234011,74901,
112.5,204557,57113,409037,267701,234602,72989,
113.5,214623,48310,389749,298507,237797,72582,
114.5,226130,41971,372726,332803,243408,73931,
115.5,239197,37517,357907,370381,251250,77134,
116.5,253941,34535,345204,410839,261130,82097,
117.5,270480,32745,334516,453564,272826,88561,
118.5,288927,31965,325741,497724,286089,96155,
119.5,309381,32091,318780,542286,300634,104450,
120.5,331923,33082,313545,586052,316151,113001,
121.5,356608,34948,309959,627721,332309,121375,
122.5,383455,37744,307960,665964,348781,129170,
123.5,412439,41567,307502,699515,365256,136035,
124.5,443479,46553,308552,727261,381461,141687,
125.5,476432,52870,311094,748316,397178,145928,
126.5,511085,60717,315125,762091,412255,148651,
127.5,547149,70317,320656,768320,426611,149852,
128.5,584257,81906,327710,767067,440235,149617,
129.5,621967,95719,336318,758706,453177,148119,
130.5,659767,111973,346521,743872,465533,145593,
131.5,697089,130846,358365,723401,477425,142317,
132.5,733321,152454,371898,698259,488983,138581,
133.5,767832,176830,387168,669474,500326,134668,
134.5,799991,203901,404217,638070,511545,130822,
135.5,829197,233472,423078,605018,522691,127244,
136.5,854899,265227,443767,571198,533773,124077,
137.5,876625,298724,466283,537371,544751,121409,
138.5,894000,333413,490592,504171,555544,119287,
139.5,906760,368662,516633,472099,566039,117726,
140.5,914767,403788,544299,441537,576098,116728,
141.5,918004,438095,573440,412751,585573,116288,
142.5,916579,470913,603855,385915,594315,116406,
143.5,910713,501634,635285,361119,602188,117086,
144.5,900721,529742,667417,338393,609068,118330,
145.5,887002,554837,699881,317717,614859,120134,
146.5,870011,576645,732255,299036,619487,122476,
147.5,850242,595018,764071,282270,622900,125306,
148.5,828207,609935,794826,267325,625073,128547,
149.5,804416,621482,823995,254100,625998,132087,
150.5,779363,629836,851047,242492,625685,135787,
151.5,753508,635249,875466,232401,624156,139488,
152.5,727275,638021,896767,223731,621448,143019,
153.5,701039,638481,914516,216396,617608,146208,
154.5,675123,636974,928350,210319,612692,148893,
155.5,649803,633841,937993,205433,606767,150932,
156.5,625302,629410,943265,201680,599914,152204,
157.5,601797,623984,944091,199017,592222,152622,
158.5,579420,617840,940507,197410,583794,152128,
159.5,558266,611223,932650,196835,574744,150697,
160.5,538397,604345,920757,197281,565195,148334,
161.5,519844,597384,905151,198748,555282,145073,
162.5,502615,590488,886227,201245,545144,140969,
163.5,486699,583777,864430,204796,534925,136098,
164.5,472068,577342,840245,209432,524772,130545,
165.5,458683,571254,814172,215196,514826,124406,
166.5,446495,565561,786710,222144,505227,117777,
167.5,435449,560293,758345,230340,496107,110755,
168.5,425486,555467,729536,239862,487588,103429,
169.5,416543,551087,700704,250796,479782,95884,
170.5,408557,547144,672225,263240,472792,88195,
171.5,401463,543624,644429,277301,466704,80433,
172.5,395197,540504,617595,293096,461598,72666,
173.5,389696,537756,591954,310747,457538,64970,
174.5,384899,535348,567691,330385,454581,57444,
175.5,380746,533247,544947,352142,452771,50238,
176.5,377179,531417,523827,376152,452143,43605,
177.5,374142,529819,504401,402542,452726,37977,
178.5,371582,528416,486711,431435,454536,34045,
