NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_72h_B_LS 2020-09-23 11-32-38.nano,
Operator Name,Jen,
Time Captured,11:32:38  23/09/2020,
Sample Description,MIT_72h_B_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,MIT_72h_B_LS 2020-09-23 11-33-08,MIT_72h_B_LS 2020-09-23 11-34-17,MIT_72h_B_LS 2020-09-23 11-35-26,MIT_72h_B_LS 2020-09-23 11-36-35,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,23.816,23.842,23.890,23.880,
Viscosity/cP,0.913197,0.912647,0.911634,0.911845,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,4,4,4,4,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,16.9712,19.2430,25.3453,22.5613,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),5.21e+08,7.61e+08,6.10e+08,6.00e+08,6.23e+08,5.01e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,33.2,48.6,38.6,40.4,40.2,3.2,
Centres per frame,43.8,78.1,62.9,59.5,61.1,7.0,
Completed tracks,8609,15900,12082,12010,,,
X-Drift (pix/frame),-9.9,-9.7,-10.2,-10.2,,,
Y-Drift (pix/frame),0.4,0.2,0.3,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Unreliable,Unreliable,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,Noise detected,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,High noise,
Vibration detected,Moderate vibration,Minor vibration,Moderate vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
