NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,MIT_72h_C_LS 2020-09-23 12-09-21.nano,
Operator Name,Jen,
Time Captured,12:09:21  23/09/2020,
Sample Description,MIT_72h_C_LS,
Pre-treatment,,
Diluent,,
Remarks,,
,,
,,,,
Filename:,MIT_72h_C_LS 2020-09-23 12-09-52,MIT_72h_C_LS 2020-09-23 12-11-01,MIT_72h_C_LS 2020-09-23 12-12-10,MIT_72h_C_LS 2020-09-23 12-13-19,
Processed,Yes,Yes,Yes,Yes,

[Conditions],,,,,
Temperature/C,24.070,24.078,24.111,24.171,
Viscosity/cP,0.907850,0.907682,0.906991,0.905737,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Red,Red,Red,Red,
Camera Level,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,
Slider Gain,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,100,100,100,100,
,,,,,
[Settings],,,,,
Detection Threshold,6,6,6,6,
Max Jump Mode,Auto,Auto,Auto,Auto,
Max Jump Distance,10.6311,16.9520,5.7260,8.9478,
Blur,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,
,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,

[Results],,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),3.48e+08,7.59e+08,2.06e+09,2.39e+08,8.51e+08,4.18e+08,
Concentration Upgrade?,Yes,Yes,Yes,Yes,,,
Particles per frame,17.1,32.4,38.2,9.3,24.3,6.7,
Centres per frame,25.0,61.1,90.0,39.5,53.9,14.1,
Completed tracks,4878,13199,18701,4644,,,
X-Drift (pix/frame),-7.5,-8.1,-0.0,-4.9,,,
Y-Drift (pix/frame),0.1,0.1,0.0,0.1,,,
,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,
Noise level,Noise detected,High noise,High noise,High noise,
Brightness,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,
Concentration,OK,OK,OK,Low concentration,
Video length,OK,OK,OK,OK,
Noise level,High noise,High noise,High noise,High noise,
Vibration detected,High vibration,Moderate vibration,High vibration,High vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,
Errors (1),,,,,
Errors (2),,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MIT_72h_C_LS 2020-09-23 12-09-52,MIT_72h_C_LS 2020-09-23 12-11-01,MIT_72h_C_LS 2020-09-23 12-12-10,MIT_72h_C_LS 2020-09-23 12-13-19,Average,Standard Error,
