"","Strain","Time","Bio_rep","Concentration","Type"
"1","ATCC27126",12,"A",1404407.40740741,"Cells"
"2","ATCC27126",72,"A",79961764.7058824,"Cells"
"3","ATCC27126",12,"B",1287586.20689655,"Cells"
"4","ATCC27126",72,"B",64482352.9411765,"Cells"
"5","ATCC27126",12,"C",2365812.5,"Cells"
"6","ATCC27126",72,"C",47152941.1764706,"Cells"
"7","BS11",12,"A",1098264.70588235,"Cells"
"8","BS11",72,"A",105603225.806452,"Cells"
"9","BS11",12,"B",698852.941176471,"Cells"
"10","BS11",72,"B",107046875,"Cells"
"11","BS11",12,"C",1298482.75862069,"Cells"
"12","BS11",72,"C",90917647.0588235,"Cells"
"13","MIT1002",72,"A",59650000,"Cells"
"14","MIT1002",12,"B",8316200,"Cells"
"15","MIT1002",72,"B",63047058.8235294,"Cells"
"16","MIT1002",12,"A",10486750,"Cells"
"17","MIT1002",72,"C",65108823.5294118,"Cells"
"18","MIT1002",12,"C",13779000,"Cells"
"19","HOT1A3",72,"A",39682352.9411765,"Cells"
"20","HOT1A3",12,"A",958264.705882353,"Cells"
"21","HOT1A3",72,"B",54240000,"Cells"
"22","HOT1A3",12,"B",1005705.88235294,"Cells"
"23","HOT1A3",72,"C",68558823.5294118,"Cells"
"24","HOT1A3",12,"C",1205483.87096774,"Cells"
"25","ATCC27126",144,"A",80025714.2857143,"Cells"
"26","ATCC27126",144,"B",56811764.7058824,"Cells"
"27","ATCC27126",24,"A",26667692.3076923,"Cells"
"28","ATCC27126",144,"C",92900000,"Cells"
"29","ATCC27126",24,"B",35989000,"Cells"
"30","ATCC27126",24,"C",36293000,"Cells"
"31","BS11",144,"A",106121875,"Cells"
"32","BS11",144,"B",97461764.7058824,"Cells"
"33","BS11",24,"A",11592903.2258065,"Cells"
"34","BS11",144,"C",100003030.30303,"Cells"
"35","BS11",24,"B",10430000,"Cells"
"36","BS11",24,"C",7906176.47058824,"Cells"
"37","MIT1002",144,"A",149386956.521739,"Cells"
"38","MIT1002",144,"B",89464705.8823529,"Cells"
"39","MIT1002",24,"A",31726363.6363636,"Cells"
"40","MIT1002",144,"C",125648148.148148,"Cells"
"41","MIT1002",24,"B",32401818.1818182,"Cells"
"42","MIT1002",24,"C",25433571.4285714,"Cells"
"43","HOT1A3",144,"A",82650000,"Cells"
"44","HOT1A3",144,"B",85432352.9411765,"Cells"
"45","HOT1A3",24,"A",15271739.1304348,"Cells"
"46","HOT1A3",144,"C",89314705.8823529,"Cells"
"47","HOT1A3",24,"B",10098285.7142857,"Cells"
"48","HOT1A3",24,"C",12315172.4137931,"Cells"
"49","ATCC27126",0,"A",253521.428571429,"Cells"
"50","BS11",0,"A",526916.666666667,"Cells"
"51","MIT1002",0,"A",576690.909090909,"Cells"
"52","HOT1A3",0,"A",240653.333333333,"Cells"
"53","AD45",0,"A",787.212121212121,"Cells"
"54","AD45",12,"A",356583.333333333,"Cells"
"55","AD45",12,"B",516406.25,"Cells"
"56","AD45",12,"C",590290.322580645,"Cells"
"57","AD45",24,"A",6919444.44444444,"Cells"
"58","AD45",24,"B",15045454.5454545,"Cells"
"59","AD45",24,"C",15043243.2432432,"Cells"
"60","AD45",72,"A",60060606.0606061,"Cells"
"61","AD45",72,"B",64560000,"Cells"
"62","AD45",72,"C",62068750,"Cells"
"63","AD45",144,"A",89108823.5294118,"Cells"
"64","AD45",144,"B",76805405.4054054,"Cells"
"65","AD45",144,"C",85403125,"Cells"
"66","BGP6",12,"A",581111.111111111,"Cells"
"67","BGP6",12,"B",599400,"Cells"
"68","BGP6",12,"C",570088.235294118,"Cells"
"69","BGP6",0,"A",1927.84,"Cells"
"70","BGP6",24,"A",18291428.5714286,"Cells"
"71","BGP6",24,"B",14903571.4285714,"Cells"
"72","BGP6",24,"C",10708823.5294118,"Cells"
"73","BGP6",72,"A",47493750,"Cells"
"74","BGP6",72,"B",102956521.73913,"Cells"
"75","BGP6",72,"C",68100000,"Cells"
"76","BGP6",144,"A",22187500,"Cells"
"77","BGP6",144,"B",87251612.9032258,"Cells"
"78","BGP6",144,"C",96071875,"Cells"
