"","plate","well","media","sample","fluorphore","concentration_nM","fluorescence","number_replicates","sd","time","time_h","t","X_file"
"1",1,"A10","ASW","std","MUF",1,23223.33333,3,0.414,"1899-12-31 16:52:00",0,"t0",1
"2",1,"A11","ASW","std","MUF",1,20056.66667,3,0.4472,"1899-12-31 16:52:00",0,"t0",1
"3",1,"A12","ASW","std","MUF",1,19156,5,1.7319,"1899-12-31 16:52:00",0,"t0",1
"4",1,"B10","ASW","std","MUF",100,90216.66667,3,0.5293,"1899-12-31 16:52:00",0,"t0",1
"5",1,"B11","ASW","std","MUF",100,93043.33333,3,1.0499,"1899-12-31 16:52:00",0,"t0",1
"6",1,"B12","ASW","std","MUF",100,87490,3,0.2978,"1899-12-31 16:52:00",0,"t0",1
"7",1,"C10","ASW","std","MUF",500,388946.66667,3,0.0977,"1899-12-31 16:52:00",0,"t0",1
"8",1,"C11","ASW","std","MUF",500,384873.33333,3,0.3543,"1899-12-31 16:52:00",0,"t0",1
"9",1,"C12","ASW","std","MUF",500,401353.33333,3,0.1246,"1899-12-31 16:52:00",0,"t0",1
"10",1,"D10","ASW","std","MUF",1000,749283.33333,3,0.1272,"1899-12-31 16:52:00",0,"t0",1
"11",1,"D11","ASW","std","MUF",1000,688133.33333,3,0.0709,"1899-12-31 16:52:00",0,"t0",1
"12",1,"D12","ASW","std","MUF",1000,783290,3,0.355,"1899-12-31 16:52:00",0,"t0",1
"13",1,"E10","ASW","asw","MUF",0,15786.66667,3,1.3764,"1899-12-31 16:52:00",0,"t0",1
"14",1,"E11","ASW","asw","MUF",0,16273.33333,3,0.31,"1899-12-31 16:52:00",0,"t0",1
"15",1,"E12","ASW","asw","MUF",0,16116.66667,3,0.6009,"1899-12-31 16:52:00",0,"t0",1
"16",2,"A10","ASW","std","MUF",1,22940,3,0.346,"1899-12-31 16:54:00",0,"t0",2
"17",2,"A11","ASW","std","MUF",1,19973.33333,3,0.7106,"1899-12-31 16:54:00",0,"t0",2
"18",2,"A12","ASW","std","MUF",1,19770,3,0.8098,"1899-12-31 16:54:00",0,"t0",2
"19",2,"B10","ASW","std","MUF",100,96960,3,0.5673,"1899-12-31 16:54:00",0,"t0",2
"20",2,"B11","ASW","std","MUF",100,102086.66667,3,1.1858,"1899-12-31 16:54:00",0,"t0",2
"21",2,"B12","ASW","std","MUF",100,89873.33333,3,0.4242,"1899-12-31 16:54:00",0,"t0",2
"22",2,"C10","ASW","std","MUF",500,370436.66667,3,0.2136,"1899-12-31 16:54:00",0,"t0",2
"23",2,"C11","ASW","std","MUF",500,375886.66667,3,0.4133,"1899-12-31 16:54:00",0,"t0",2
"24",2,"C12","ASW","std","MUF",500,387623.33333,3,0.2013,"1899-12-31 16:54:00",0,"t0",2
"25",2,"D10","ASW","std","MUF",1000,706603.33333,3,0.4407,"1899-12-31 16:54:00",0,"t0",2
"26",2,"D11","ASW","std","MUF",1000,708526.66667,3,0.1034,"1899-12-31 16:54:00",0,"t0",2
"27",2,"D12","ASW","std","MUF",1000,756853.33333,3,0.3327,"1899-12-31 16:54:00",0,"t0",2
"28",2,"E10","ASW","asw","MUF",0,16286.66667,3,0.5742,"1899-12-31 16:54:00",0,"t0",2
"29",2,"E11","ASW","asw","MUF",0,15906.66667,3,0.5099,"1899-12-31 16:54:00",0,"t0",2
"30",2,"E12","ASW","asw","MUF",0,16256.66667,3,0.9754,"1899-12-31 16:54:00",0,"t0",2
"31",3,"A10","ASW","std","MCA",1,23533.33333,3,1.2338,"1899-12-31 17:00:00",0,"t0",4
"32",3,"A11","ASW","std","MCA",1,18234.28571,7,1.7541,"1899-12-31 17:00:00",0,"t0",4
"33",3,"A12","ASW","std","MCA",1,17625,4,1.6012,"1899-12-31 17:00:00",0,"t0",4
"34",3,"B10","ASW","std","MCA",100,38133.33333,3,0.7249,"1899-12-31 17:00:00",0,"t0",4
"35",3,"B11","ASW","std","MCA",100,39376.66667,3,1.2627,"1899-12-31 17:00:00",0,"t0",4
"36",3,"B12","ASW","std","MCA",100,47373.33333,3,0.87,"1899-12-31 17:00:00",0,"t0",4
"37",3,"C10","ASW","std","MCA",500,91246.66667,3,0.7537,"1899-12-31 17:00:00",0,"t0",4
"38",3,"C11","ASW","std","MCA",500,94026.66667,3,0.1522,"1899-12-31 17:00:00",0,"t0",4
"39",3,"C12","ASW","std","MCA",500,94396.66667,3,0.2824,"1899-12-31 17:00:00",0,"t0",4
"40",3,"D10","ASW","std","MCA",1000,160516.66667,3,0.4793,"1899-12-31 17:00:00",0,"t0",4
"41",3,"D11","ASW","std","MCA",1000,169176.66667,3,0.3978,"1899-12-31 17:00:00",0,"t0",4
"42",3,"D12","ASW","std","MCA",1000,165843.33333,3,0.2382,"1899-12-31 17:00:00",0,"t0",4
"43",3,"E10","ASW","asw","MCA",0,15760,3,0.2198,"1899-12-31 17:00:00",0,"t0",4
"44",3,"E11","ASW","asw","MCA",0,15770,3,1.1001,"1899-12-31 17:00:00",0,"t0",4
"45",3,"E12","ASW","asw","MCA",0,17673.33333,3,1.3089,"1899-12-31 17:00:00",0,"t0",4
"46",1,"A10","ASW","std","MUF",1,23946.66667,3,1.9246,"1899-12-31 18:32:00",1.67,"t1",5
"47",1,"A11","ASW","std","MUF",1,21293.33333,3,1.269,"1899-12-31 18:32:00",1.67,"t1",5
"48",1,"A12","ASW","std","MUF",1,20533.33333,3,1.3285,"1899-12-31 18:32:00",1.67,"t1",5
"49",1,"B10","ASW","std","MUF",100,95163.33333,3,0.2805,"1899-12-31 18:32:00",1.67,"t1",5
"50",1,"B11","ASW","std","MUF",100,97886.66667,3,0.3207,"1899-12-31 18:32:00",1.67,"t1",5
"51",1,"B12","ASW","std","MUF",100,88896.66667,3,0.883,"1899-12-31 18:32:00",1.67,"t1",5
"52",1,"C10","ASW","std","MUF",500,400393.33333,3,0.4702,"1899-12-31 18:32:00",1.67,"t1",5
"53",1,"C11","ASW","std","MUF",500,394353.33333,3,0.4103,"1899-12-31 18:32:00",1.67,"t1",5
"54",1,"C12","ASW","std","MUF",500,395176.66667,3,0.2147,"1899-12-31 18:32:00",1.67,"t1",5
"55",1,"D10","ASW","std","MUF",1000,779686.66667,3,0.2196,"1899-12-31 18:32:00",1.67,"t1",5
"56",1,"D11","ASW","std","MUF",1000,729870,3,0.3497,"1899-12-31 18:32:00",1.67,"t1",5
"57",1,"D12","ASW","std","MUF",1000,793163.33333,3,0.1408,"1899-12-31 18:32:00",1.67,"t1",5
"58",1,"E10","ASW","asw","MUF",0,16613.33333,3,1.4481,"1899-12-31 18:32:00",1.67,"t1",5
"59",1,"E11","ASW","asw","MUF",0,16686.66667,3,1.1351,"1899-12-31 18:32:00",1.67,"t1",5
"60",1,"E12","ASW","asw","MUF",0,17536.66667,3,1.5067,"1899-12-31 18:32:00",1.67,"t1",5
"61",2,"A10","ASW","std","MUF",1,23383.33333,3,0.3698,"1899-12-31 18:35:00",1.68,"t1",6
"62",2,"A11","ASW","std","MUF",1,19950,4,1.7288,"1899-12-31 18:35:00",1.68,"t1",6
"63",2,"A12","ASW","std","MUF",1,20182.5,4,1.9324,"1899-12-31 18:35:00",1.68,"t1",6
"64",2,"B10","ASW","std","MUF",100,101226.66667,3,0.4457,"1899-12-31 18:35:00",1.68,"t1",6
"65",2,"B11","ASW","std","MUF",100,107236.66667,3,0.9304,"1899-12-31 18:35:00",1.68,"t1",6
"66",2,"B12","ASW","std","MUF",100,92496.66667,3,0.5933,"1899-12-31 18:35:00",1.68,"t1",6
"67",2,"C10","ASW","std","MUF",500,392276.66667,3,0.1383,"1899-12-31 18:35:00",1.68,"t1",6
"68",2,"C11","ASW","std","MUF",500,397263.33333,3,0.1088,"1899-12-31 18:35:00",1.68,"t1",6
"69",2,"C12","ASW","std","MUF",500,400380,3,0.2036,"1899-12-31 18:35:00",1.68,"t1",6
"70",2,"D10","ASW","std","MUF",1000,736326.66667,3,0.1622,"1899-12-31 18:35:00",1.68,"t1",6
"71",2,"D11","ASW","std","MUF",1000,756070,3,0.335,"1899-12-31 18:35:00",1.68,"t1",6
"72",2,"D12","ASW","std","MUF",1000,765543.33333,3,0.4321,"1899-12-31 18:35:00",1.68,"t1",6
