"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3458"	"3458"	"0.000"	"1072.416"	"71"	"88"	"422"	"88"	"1"	"1342"	"149.9"	"5.24"	"1504.32"	"88"	"0"	"2441330243.55078"	"1546752829.44727"	"192820.073242188"	"233007.341796875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3457"	"3457"	"0.000"	"834.542"	"64"	"78"	"257"	"78"	"1"	"1390"	"153.8"	"5.82"	"1000.11"	"78"	"0"	"1606032470.4707"	"1121931463.87695"	"322680.87109375"	"347544.512756348"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"2942"	"2942"	"0.000"	"588.779"	"58"	"67"	"141"	"67"	"1"	"1488"	"163.3"	"6.52"	"609.33"	"67"	"0"	"550285649.074219"	"401462066.130859"	"276385.376953125"	"193581.261230469"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1406"	"1406"	"0.000"	"526.754"	"63"	"36"	"169"	"36"	"1"	"695"	"76.3"	"5.00"	"664.40"	"36"	"0"	"1123264313.52051"	"781786017.496094"	"421542.555664063"	"411060.272949219"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"643"	"643"	"0.000"	"515.204"	"70"	"50"	"188"	"50"	"1"	"882"	"99.3"	"4.51"	"602.23"	"50"	"0"	"459232391.232422"	"324838626.115723"	"24303228.717041"	"25485075.7138672"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1064"	"1064"	"0.000"	"508.146"	"47"	"35"	"649"	"35"	"1"	"945"	"102.0"	"4.25"	"1454.71"	"35"	"0"	"2833569946.45313"	"2044210838.04834"	"208354453.424805"	"224195264.570557"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3213"	"3213"	"0.000"	"481.742"	"57"	"45"	"255"	"45"	"1"	"1069"	"117.7"	"4.36"	"780.91"	"45"	"0"	"1463865145.88672"	"1002400677.69922"	"50379716.3222656"	"61532724.7524414"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2031"	"2031"	"0.000"	"463.305"	"61"	"39"	"147"	"39"	"1"	"556"	"61.0"	"4.91"	"584.51"	"39"	"0"	"1341956694.48438"	"869482385.719727"	"400505.67578125"	"316333.0390625"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3581"	"3581"	"0.000"	"450.372"	"49"	"32"	"255"	"31"	"1"	"797"	"87.0"	"4.58"	"782.17"	"32"	"1"	"1291598363.48242"	"943354146.858398"	"42283223.0429688"	"50719357.7250977"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3251"	"3251"	"0.000"	"441.299"	"79"	"27"	"644"	"27"	"1"	"394"	"43.2"	"5.03"	"1685.78"	"27"	"0"	"4376182441.97754"	"3286605793.22266"	"1450664.4642334"	"1588626.4486084"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1752"	"1752"	"0.000"	"440.491"	"63"	"33"	"138"	"33"	"1"	"739"	"81.3"	"5.38"	"567.98"	"33"	"0"	"674258009.296875"	"533222988.835938"	"179788.225097656"	"210525.289550781"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2445"	"2445"	"0.000"	"424.718"	"61"	"37"	"196"	"37"	"1"	"864"	"94.3"	"4.44"	"559.03"	"37"	"0"	"523510788.417969"	"342423169.447266"	"89025860.1855469"	"93528182.2302246"	"High"	"High"	"High"	"High"	""
