"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3464"	"3464"	"0.000"	"842.678"	"72"	"87"	"277"	"87"	"1"	"1342"	"149.9"	"5.24"	"1061.47"	"87"	"0"	"1411940172.60156"	"892805352.243652"	"237546.184997559"	"1446149.81884766"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"2961"	"2961"	"0.000"	"612.673"	"63"	"74"	"187"	"74"	"1"	"1488"	"163.3"	"6.52"	"722.69"	"74"	"0"	"943771340.742188"	"595579124.951172"	"809374.017822266"	"516889.373901367"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"3463"	"3463"	"0.000"	"551.193"	"56"	"64"	"184"	"64"	"1"	"1390"	"153.8"	"5.85"	"654.66"	"64"	"0"	"869664302.828125"	"537716141.390625"	"172822.779663086"	"1772155.29968262"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"3006"	"3006"	"0.000"	"540.496"	"84"	"33"	"368"	"33"	"1"	"469"	"51.8"	"4.91"	"1153.45"	"33"	"0"	"2793277012.89648"	"1807439606.35938"	"12824461.803894"	"50181097.4996948"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1109"	"1109"	"0.000"	"530.755"	"76"	"37"	"373"	"37"	"1"	"862"	"92.8"	"4.37"	"1165.37"	"37"	"0"	"2245568080.02344"	"1510951084.09375"	"7153554.35900879"	"32415090.0675659"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1397"	"1397"	"0.000"	"506.055"	"60"	"41"	"160"	"41"	"1"	"695"	"76.2"	"5.01"	"621.67"	"41"	"0"	"1550605614.39844"	"1004318604.10547"	"127255.691650391"	"1909430.80859375"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1749"	"1749"	"0.000"	"503.520"	"68"	"42"	"205"	"42"	"1"	"739"	"81.2"	"5.41"	"733.16"	"42"	"0"	"1486087618.04297"	"960091784.867188"	"101666.132080078"	"503382.392700195"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2454"	"2454"	"0.000"	"441.612"	"59"	"37"	"205"	"37"	"1"	"864"	"94.3"	"4.42"	"616.18"	"37"	"0"	"1038032171.46094"	"694212187.07373"	"9797739.25097656"	"21057161.8312988"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"641"	"641"	"0.000"	"433.953"	"56"	"40"	"119"	"40"	"1"	"936"	"101.2"	"5.00"	"531.12"	"40"	"0"	"556758909.460938"	"354810908.984375"	"37964.7893066406"	"197296.274414063"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"2029"	"2029"	"0.000"	"407.456"	"61"	"39"	"128"	"39"	"1"	"556"	"61.0"	"4.91"	"561.36"	"39"	"0"	"1104358205.5625"	"696002286.817871"	"220190.518554688"	"1689518.34179688"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"2803"	"2803"	"0.000"	"403.782"	"54"	"45"	"154"	"45"	"1"	"891"	"99.8"	"5.34"	"518.99"	"45"	"0"	"1124341245.38086"	"739399147.366211"	"97194.6867675781"	"1059054.4440918"	"High"	"High"	"Peak Found"	"High"	""
"False"	"High"	"IsMasterProtein"	"3459"	"3459"	"0.000"	"394.271"	"80"	"27"	"405"	"27"	"1"	"394"	"43.2"	"5.03"	"1242.52"	"27"	"0"	"5302186723.47852"	"3883612074.95947"	"332947.631835938"	"6766300.27697754"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1805"	"1805"	"0.000"	"380.116"	"57"	"34"	"125"	"34"	"1"	"703"	"76.4"	"4.87"	"530.45"	"34"	"0"	"1035773460.80859"	"645397261.330078"	"216010.752746582"	"1480371.24951172"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3666"	"3666"	"0.000"	"373.415"	"71"	"34"	"158"	"34"	"1"	"545"	"57.2"	"4.77"	"494.81"	"34"	"0"	"625261724.931641"	"353848740.482422"	"143892.957641602"	"4447841.046875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"924"	"924"	"0.000"	"370.393"	"51"	"44"	"111"	"44"	"1"	"1295"	"140.2"	"5.15"	"404.42"	"44"	"0"	"448142961.3125"	"280478485.083252"	"107482.326416016"	"597015.322753906"	"High"	"High"	"Peak Found"	"Peak Found"	""
