"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3296"	"3296"	"0.000"	"1004.201"	"70"	"86"	"320"	"86"	"1"	"1342"	"149.9"	"5.21"	"1270.90"	"86"	"0"	"654134188.28125"	"1672680596.85156"	"162328034.012207"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3095"	"3095"	"0.000"	"961.763"	"81"	"56"	"602"	"56"	"1"	"1008"	"110.8"	"4.41"	"2559.65"	"56"	"0"	"2108934019.87305"	"5246963087.70117"	"1930392305.2439"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3295"	"3295"	"0.000"	"836.211"	"74"	"77"	"270"	"77"	"1"	"1390"	"153.9"	"5.85"	"1093.36"	"77"	"0"	"578442022.291016"	"1409704832.42188"	"157700392.469727"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2826"	"2826"	"0.000"	"790.463"	"66"	"75"	"243"	"75"	"1"	"1488"	"163.4"	"6.57"	"958.90"	"75"	"0"	"480687402.090332"	"1256677374.29688"	"108593098.863281"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"897"	"897"	"0.000"	"722.529"	"73"	"60"	"200"	"60"	"1"	"1295"	"140.1"	"5.11"	"842.55"	"60"	"0"	"517301563.578125"	"1256523197.1875"	"98330135.4609375"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1345"	"1345"	"0.000"	"721.719"	"73"	"49"	"217"	"49"	"1"	"695"	"76.4"	"5.02"	"945.78"	"49"	"0"	"920880723.965332"	"2336885293.07813"	"364982465.890625"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"630"	"630"	"0.000"	"710.581"	"79"	"61"	"270"	"61"	"1"	"936"	"101.4"	"5.06"	"998.61"	"61"	"0"	"772541634.211426"	"2054770424.9375"	"147977077.130859"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1725"	"1725"	"0.000"	"699.282"	"72"	"65"	"227"	"65"	"1"	"939"	"105.1"	"6.13"	"849.53"	"65"	"0"	"436123509.805664"	"1345416497.38672"	"132568050.677246"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2521"	"2521"	"0.000"	"642.540"	"83"	"44"	"305"	"44"	"1"	"531"	"58.6"	"5.15"	"1105.95"	"44"	"0"	"2072204117.90723"	"5899511418.82031"	"523367499.598389"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1616"	"1616"	"0.000"	"629.993"	"70"	"46"	"237"	"46"	"1"	"739"	"81.3"	"5.38"	"968.87"	"46"	"0"	"868357422.595703"	"1992510896.375"	"101244767.966797"	"High"	"High"	"High"	""
