gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NC_018692	705	2364	f	0	1	NCBI_PGAP	v4.6
1	NC_018692	2396	3497	f	0	1	NCBI_PGAP	v4.6
2	NC_018692	3622	4711	f	0	1	NCBI_PGAP	v4.6
3	NC_018692	4719	7140	f	0	1	NCBI_PGAP	v4.6
4	NC_018692	7304	7748	r	0	1	NCBI_PGAP	v4.6
5	NC_018692	7831	9910	r	0	1	NCBI_PGAP	v4.6
6	NC_018692	9912	10818	r	0	1	NCBI_PGAP	v4.6
7	NC_018692	10964	11573	f	0	1	NCBI_PGAP	v4.6
8	NC_018692	11690	12152	r	0	1	NCBI_PGAP	v4.6
9	NC_018692	12170	12674	r	0	1	NCBI_PGAP	v4.6
10	NC_018692	12802	13504	r	0	1	NCBI_PGAP	v4.6
11	NC_018692	13804	14428	r	0	1	NCBI_PGAP	v4.6
12	NC_018692	14602	15238	f	0	1	NCBI_PGAP	v4.6
13	NC_018692	15652	18442	r	0	1	NCBI_PGAP	v4.6
14	NC_018692	18863	19517	f	0	1	NCBI_PGAP	v4.6
15	NC_018692	19761	21213	f	0	1	NCBI_PGAP	v4.6
16	NC_018692	21332	21833	f	0	1	NCBI_PGAP	v4.6
17	NC_018692	22768	24148	r	0	1	NCBI_PGAP	v4.6
18	NC_018692	24212	25532	r	0	1	NCBI_PGAP	v4.6
19	NC_018692	25534	26485	r	0	1	NCBI_PGAP	v4.6
20	NC_018692	26493	27003	r	0	1	NCBI_PGAP	v4.6
21	NC_018692	27219	28293	f	0	1	NCBI_PGAP	v4.6
22	NC_018692	28332	29442	f	0	1	NCBI_PGAP	v4.6
23	NC_018692	29443	29920	f	0	1	NCBI_PGAP	v4.6
24	NC_018692	30005	30548	f	0	1	NCBI_PGAP	v4.6
25	NC_018692	30593	31199	f	0	1	NCBI_PGAP	v4.6
26	NC_018692	31195	32128	f	0	1	NCBI_PGAP	v4.6
27	NC_018692	32361	33036	f	0	1	NCBI_PGAP	v4.6
28	NC_018692	33160	33592	r	0	1	NCBI_PGAP	v4.6
29	NC_018692	33590	34430	f	0	1	NCBI_PGAP	v4.6
30	NC_018692	34426	34969	r	0	1	NCBI_PGAP	v4.6
31	NC_018692	35313	36225	f	0	1	NCBI_PGAP	v4.6
32	NC_018692	42764	43295	r	0	1	NCBI_PGAP	v4.6
33	NC_018692	43431	44262	r	0	1	NCBI_PGAP	v4.6
34	NC_018692	44430	47520	r	0	1	NCBI_PGAP	v4.6
35	NC_018692	47556	49044	r	0	1	NCBI_PGAP	v4.6
36	NC_018692	49043	49793	r	0	1	NCBI_PGAP	v4.6
37	NC_018692	50040	50553	r	0	1	NCBI_PGAP	v4.6
38	NC_018692	50555	52307	r	0	1	NCBI_PGAP	v4.6
39	NC_018692	52345	52681	r	0	1	NCBI_PGAP	v4.6
40	NC_018692	52869	54507	f	0	1	NCBI_PGAP	v4.6
41	NC_018692	54747	55335	r	0	1	NCBI_PGAP	v4.6
42	NC_018692	55450	56680	r	0	1	NCBI_PGAP	v4.6
43	NC_018692	56889	57567	f	0	1	NCBI_PGAP	v4.6
44	NC_018692	57659	58013	f	0	1	NCBI_PGAP	v4.6
45	NC_018692	58107	58797	f	0	1	NCBI_PGAP	v4.6
46	NC_018692	58796	59546	f	0	1	NCBI_PGAP	v4.6
47	NC_018692	59542	61645	f	0	1	NCBI_PGAP	v4.6
48	NC_018692	61985	62222	f	0	1	NCBI_PGAP	v4.6
49	NC_018692	62233	62389	f	0	1	NCBI_PGAP	v4.6
50	NC_018692	62708	63173	f	0	1	NCBI_PGAP	v4.6
51	NC_018692	63173	63983	f	0	1	NCBI_PGAP	v4.6
52	NC_018692	64001	64490	r	0	1	NCBI_PGAP	v4.6
53	NC_018692	64601	65333	r	0	1	NCBI_PGAP	v4.6
54	NC_018692	65815	66289	f	0	1	NCBI_PGAP	v4.6
55	NC_018692	66285	67461	f	0	1	NCBI_PGAP	v4.6
56	NC_018692	67470	69915	f	0	1	NCBI_PGAP	v4.6
57	NC_018692	70079	71276	f	0	1	NCBI_PGAP	v4.6
58	NC_018692	71272	72298	f	0	1	NCBI_PGAP	v4.6
59	NC_018692	72297	72609	f	0	1	NCBI_PGAP	v4.6
60	NC_018692	72749	73616	f	0	1	NCBI_PGAP	v4.6
61	NC_018692	73671	74085	r	0	1	NCBI_PGAP	v4.6
62	NC_018692	74233	74803	f	0	1	NCBI_PGAP	v4.6
63	NC_018692	74799	75657	f	0	1	NCBI_PGAP	v4.6
64	NC_018692	75756	76008	r	0	1	NCBI_PGAP	v4.6
65	NC_018692	76120	78136	f	0	1	NCBI_PGAP	v4.6
66	NC_018692	78180	80781	r	0	1	NCBI_PGAP	v4.6
67	NC_018692	80886	81294	r	0	1	NCBI_PGAP	v4.6
68	NC_018692	81788	82418	f	0	1	NCBI_PGAP	v4.6
69	NC_018692	82554	82803	r	0	1	NCBI_PGAP	v4.6
70	NC_018692	83097	85329	r	0	1	NCBI_PGAP	v4.6
71	NC_018692	85344	86520	r	0	1	NCBI_PGAP	v4.6
72	NC_018692	87275	88493	r	0	1	NCBI_PGAP	v4.6
73	NC_018692	88824	89310	f	0	1	NCBI_PGAP	v4.6
74	NC_018692	89296	91411	r	0	1	NCBI_PGAP	v4.6
75	NC_018692	91447	92860	r	0	1	NCBI_PGAP	v4.6
76	NC_018692	92863	94234	r	0	1	NCBI_PGAP	v4.6
77	NC_018692	94230	96030	r	0	1	NCBI_PGAP	v4.6
78	NC_018692	96026	99164	r	0	1	NCBI_PGAP	v4.6
79	NC_018692	99255	101832	r	0	1	NCBI_PGAP	v4.6
80	NC_018692	101869	102523	r	0	1	NCBI_PGAP	v4.6
81	NC_018692	102658	103723	f	0	1	NCBI_PGAP	v4.6
82	NC_018692	103719	106449	f	0	1	NCBI_PGAP	v4.6
83	NC_018692	106445	107567	f	0	1	NCBI_PGAP	v4.6
84	NC_018692	107708	109802	f	0	1	NCBI_PGAP	v4.6
85	NC_018692	109989	110511	f	0	1	NCBI_PGAP	v4.6
86	NC_018692	110576	111797	r	0	1	NCBI_PGAP	v4.6
87	NC_018692	112008	112932	f	0	1	NCBI_PGAP	v4.6
88	NC_018692	113122	113884	f	0	1	NCBI_PGAP	v4.6
89	NC_018692	114097	115483	f	0	1	NCBI_PGAP	v4.6
90	NC_018692	115485	116616	f	0	1	NCBI_PGAP	v4.6
91	NC_018692	116715	117942	r	0	1	NCBI_PGAP	v4.6
92	NC_018692	118170	119304	r	0	1	NCBI_PGAP	v4.6
93	NC_018692	119300	120071	r	0	1	NCBI_PGAP	v4.6
94	NC_018692	120072	120282	r	0	1	NCBI_PGAP	v4.6
95	NC_018692	120278	121073	r	0	1	NCBI_PGAP	v4.6
96	NC_018692	121065	122667	r	0	1	NCBI_PGAP	v4.6
97	NC_018692	122663	124574	r	0	1	NCBI_PGAP	v4.6
98	NC_018692	125189	126365	r	0	1	NCBI_PGAP	v4.6
99	NC_018692	126361	127534	r	0	1	NCBI_PGAP	v4.6
100	NC_018692	127534	128266	r	0	1	NCBI_PGAP	v4.6
101	NC_018692	128330	129269	r	0	1	NCBI_PGAP	v4.6
102	NC_018692	129467	130529	f	0	1	NCBI_PGAP	v4.6
103	NC_018692	130644	131316	r	0	1	NCBI_PGAP	v4.6
104	NC_018692	131540	132182	f	0	1	NCBI_PGAP	v4.6
105	NC_018692	132351	132624	f	0	1	NCBI_PGAP	v4.6
106	NC_018692	132767	134879	f	0	1	NCBI_PGAP	v4.6
107	NC_018692	134902	135289	f	0	1	NCBI_PGAP	v4.6
108	NC_018692	135292	136000	f	0	1	NCBI_PGAP	v4.6
109	NC_018692	136194	138267	f	0	1	NCBI_PGAP	v4.6
110	NC_018692	138259	139036	f	0	1	NCBI_PGAP	v4.6
111	NC_018692	139045	139519	f	0	1	NCBI_PGAP	v4.6
112	NC_018692	139931	140741	f	0	1	NCBI_PGAP	v4.6
113	NC_018692	140750	141785	f	0	1	NCBI_PGAP	v4.6
114	NC_018692	141781	143302	f	0	1	NCBI_PGAP	v4.6
115	NC_018692	143301	144333	f	0	1	NCBI_PGAP	v4.6
116	NC_018692	144390	146301	r	0	1	NCBI_PGAP	v4.6
117	NC_018692	146317	146536	r	0	1	NCBI_PGAP	v4.6
118	NC_018692	146747	147935	f	0	1	NCBI_PGAP	v4.6
119	NC_018692	147988	148189	r	0	1	NCBI_PGAP	v4.6
120	NC_018692	148378	149245	r	0	1	NCBI_PGAP	v4.6
121	NC_018692	149454	149922	r	0	1	NCBI_PGAP	v4.6
122	NC_018692	150159	150468	f	0	1	NCBI_PGAP	v4.6
123	NC_018692	150617	151805	f	0	1	NCBI_PGAP	v4.6
124	NC_018692	152000	153545	f	0	1	NCBI_PGAP	v4.6
125	NC_018692	153603	154488	r	0	1	NCBI_PGAP	v4.6
126	NC_018692	154664	155267	f	0	1	NCBI_PGAP	v4.6
127	NC_018692	155382	155700	f	0	1	NCBI_PGAP	v4.6
128	NC_018692	155780	156497	r	0	1	NCBI_PGAP	v4.6
129	NC_018692	156706	157375	f	0	1	NCBI_PGAP	v4.6
130	NC_018692	157690	158836	f	0	1	NCBI_PGAP	v4.6
131	NC_018692	158857	161956	f	0	1	NCBI_PGAP	v4.6
132	NC_018692	162013	162511	f	0	1	NCBI_PGAP	v4.6
133	NC_018692	162642	164484	f	0	1	NCBI_PGAP	v4.6
134	NC_018692	164480	165452	f	0	1	NCBI_PGAP	v4.6
135	NC_018692	165555	166296	r	0	1	NCBI_PGAP	v4.6
136	NC_018692	166418	166937	r	0	1	NCBI_PGAP	v4.6
137	NC_018692	166973	168455	r	0	1	NCBI_PGAP	v4.6
138	NC_018692	168618	169497	f	0	1	NCBI_PGAP	v4.6
139	NC_018692	169648	171142	r	0	1	NCBI_PGAP	v4.6
140	NC_018692	171298	171913	r	0	1	NCBI_PGAP	v4.6
141	NC_018692	172045	174886	r	0	1	NCBI_PGAP	v4.6
142	NC_018692	174979	175297	r	0	1	NCBI_PGAP	v4.6
143	NC_018692	175401	176070	f	0	1	NCBI_PGAP	v4.6
144	NC_018692	176153	177995	r	0	1	NCBI_PGAP	v4.6
145	NC_018692	178209	178722	f	0	1	NCBI_PGAP	v4.6
146	NC_018692	178809	180147	f	0	1	NCBI_PGAP	v4.6
147	NC_018692	180344	181259	f	0	1	NCBI_PGAP	v4.6
148	NC_018692	181415	182693	r	0	1	NCBI_PGAP	v4.6
149	NC_018692	182735	184907	r	0	1	NCBI_PGAP	v4.6
150	NC_018692	185359	186166	f	0	1	NCBI_PGAP	v4.6
151	NC_018692	186264	187773	r	0	1	NCBI_PGAP	v4.6
152	NC_018692	187925	188666	r	0	1	NCBI_PGAP	v4.6
153	NC_018692	188686	189607	r	0	1	NCBI_PGAP	v4.6
154	NC_018692	189612	190308	r	0	1	NCBI_PGAP	v4.6
155	NC_018692	190304	191135	r	0	1	NCBI_PGAP	v4.6
156	NC_018692	191170	192421	r	0	1	NCBI_PGAP	v4.6
157	NC_018692	192420	192657	r	0	1	NCBI_PGAP	v4.6
158	NC_018692	192669	193737	r	0	1	NCBI_PGAP	v4.6
159	NC_018692	193738	194257	r	0	1	NCBI_PGAP	v4.6
160	NC_018692	194602	195088	f	0	1	NCBI_PGAP	v4.6
161	NC_018692	195223	196033	r	0	1	NCBI_PGAP	v4.6
162	NC_018692	196035	196668	r	0	1	NCBI_PGAP	v4.6
163	NC_018692	196738	198097	r	0	1	NCBI_PGAP	v4.6
164	NC_018692	198408	199386	f	0	1	NCBI_PGAP	v4.6
165	NC_018692	199548	200079	f	0	1	NCBI_PGAP	v4.6
166	NC_018692	200216	200702	f	0	1	NCBI_PGAP	v4.6
167	NC_018692	200813	201761	f	0	1	NCBI_PGAP	v4.6
168	NC_018692	201757	202456	r	0	1	NCBI_PGAP	v4.6
169	NC_018692	202478	202898	r	0	1	NCBI_PGAP	v4.6
170	NC_018692	203014	204886	r	0	1	NCBI_PGAP	v4.6
171	NC_018692	205229	205955	f	0	1	NCBI_PGAP	v4.6
172	NC_018692	206076	207579	f	0	1	NCBI_PGAP	v4.6
173	NC_018692	208024	210856	r	0	1	NCBI_PGAP	v4.6
174	NC_018692	211226	212564	f	0	1	NCBI_PGAP	v4.6
175	NC_018692	212628	213213	f	0	1	NCBI_PGAP	v4.6
