gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_012516526.1	DNA polymerase III subunit beta (dnaN)	0
1	NCBI_PGAP	WP_061438857.1	DNA replication/repair protein RecF (recF)	0
2	NCBI_PGAP	WP_014977848.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
4	NCBI_PGAP	WP_061438859.1	glycine--tRNA ligase subunit beta (glyS)	0
5	NCBI_PGAP	WP_014947716.1	glycine--tRNA ligase subunit alpha (glyQ)	0
6	NCBI_PGAP	WP_080986385.1	DNA-3-methyladenine glycosylase I	0
7	NCBI_PGAP	WP_049586362.1	DUF2489 domain-containing protein	0
8	NCBI_PGAP	WP_014947719.1	Der GTPase-activating protein YihI (yihI)	0
9	NCBI_PGAP	WP_080986387.1	class I SAM-dependent methyltransferase	0
10	NCBI_PGAP	WP_014947721.1	cytochrome c4	0
11	NCBI_PGAP	WP_014975249.1	YihA family ribosome biogenesis GTP-binding protein	0
12	NCBI_PGAP	WP_061438861.1	DNA polymerase I (polA)	0
13	NCBI_PGAP	WP_061438863.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
14	NCBI_PGAP	WP_014947725.1	potassium transporter	0
15	NCBI_PGAP	WP_014947726.1	Trk system potassium transporter TrkA (trkA)	0
16	NCBI_PGAP	WP_061438869.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
17	NCBI_PGAP	WP_061438871.1	methionyl-tRNA formyltransferase (fmt)	0
18	NCBI_PGAP	WP_014947729.1	peptide deformylase	0
19	NCBI_PGAP	WP_061486884.1	LysM peptidoglycan-binding domain-containing protein	0
20	NCBI_PGAP	WP_014975255.1	DNA-protecting protein DprA (dprA)	0
21	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
22	NCBI_PGAP	WP_014975256.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
23	NCBI_PGAP	WP_014975257.1	Sua5/YciO/YrdC/YwlC family protein	0
24	NCBI_PGAP	WP_049586350.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
25	NCBI_PGAP	WP_061438872.1	outer membrane beta-barrel protein	0
26	NCBI_PGAP	WP_014947737.1	group II truncated hemoglobin	0
27	NCBI_PGAP	WP_061438874.1	shikimate dehydrogenase (aroE)	0
28	NCBI_PGAP	WP_014977871.1	gamma carbonic anhydrase family protein	0
29	NCBI_PGAP	WP_014977872.1	UDP-N-acetylglucosamine 2-epimerase	0
30	NCBI_PGAP	WP_014975262.1	acyloxyacyl hydrolase	0
33	NCBI_PGAP	WP_061438880.1	error-prone DNA polymerase (dnaE)	0
34	NCBI_PGAP	WP_061438881.1	DNA polymerase Y family protein	0
35	NCBI_PGAP	WP_061438884.1	recombinase RecA	0
37	NCBI_PGAP	WP_061438888.1	DUF885 domain-containing protein	0
38	NCBI_PGAP	WP_061438894.1	DUF1820 family protein	0
39	NCBI_PGAP	WP_049587523.1	M28 family peptidase	0
40	NCBI_PGAP	WP_012516568.1	nucleoid occlusion factor SlmA (slmA)	0
41	NCBI_PGAP	WP_061438895.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC (coaBC)	0
42	NCBI_PGAP	WP_014947752.1	DNA repair protein RadC	0
44	NCBI_PGAP	WP_014947754.1	YjbF family lipoprotein	0
45	NCBI_PGAP	WP_039236677.1	capsule biosynthesis GfcC family protein	0
46	NCBI_PGAP	WP_014977887.1	YjbH domain-containing protein	0
47	NCBI_PGAP	WP_014947757.1	50S ribosomal protein L28 (rpmB)	0
48	NCBI_PGAP	WP_012516577.1	50S ribosomal protein L33 (rpmG)	0
50	NCBI_PGAP	WP_061438898.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase (mutM)	0
51	NCBI_PGAP	WP_061438900.1	pantetheine-phosphate adenylyltransferase (coaD)	0
52	NCBI_PGAP	WP_061438902.1	3-deoxy-D-manno-octulosonic acid kinase	0
55	NCBI_PGAP	WP_061438906.1	EAL domain-containing protein	0
56	NCBI_PGAP	WP_014977894.1	glycine C-acetyltransferase	0
57	NCBI_PGAP	WP_014947766.1	L-threonine 3-dehydrogenase (tdh)	0
58	NCBI_PGAP	WP_014947767.1	thiosulfate sulfurtransferase GlpE (glpE)	0
59	NCBI_PGAP	WP_014977896.1	rhomboid family intramembrane serine protease GlpG (glpG)	0
60	NCBI_PGAP	WP_014977897.1	flagellar basal body-associated protein FliL (fliL)	0
61	NCBI_PGAP	WP_014975276.1	chorismate lyase	0
62	NCBI_PGAP	WP_061438908.1	4-hydroxybenzoate octaprenyltransferase (ubiA)	0
63	NCBI_PGAP	WP_014947772.1	accessory factor UbiK family protein	0
64	NCBI_PGAP	WP_061438910.1	DNA helicase Rep (rep)	0
65	NCBI_PGAP	WP_014977899.1	GGDEF domain-containing protein	0
66	NCBI_PGAP	WP_014947775.1	cytochrome c5 family protein	0
67	NCBI_PGAP	WP_061438912.1	type II toxin-antitoxin system HipA family toxin	0
68	NCBI_PGAP	WP_061438914.1	helix-turn-helix transcriptional regulator	0
69	NCBI_PGAP	WP_061438916.1	Na+/H+ antiporter NhaC (nhaC)	0
70	NCBI_PGAP	WP_061438918.1	BCCT family transporter	0
72	NCBI_PGAP	WP_061438921.1	DUF2960 domain-containing protein	0
73	NCBI_PGAP	WP_061438923.1	ATP-binding protein	0
74	NCBI_PGAP	WP_061438925.1	SIR2 family protein	0
75	NCBI_PGAP	WP_061438931.1	DUF4124 domain-containing protein	0
76	NCBI_PGAP	WP_061438932.1	methyltransferase domain-containing protein	0
77	NCBI_PGAP	WP_061438933.1	TonB-dependent siderophore receptor	0
80	NCBI_PGAP	WP_061438935.1	acyl-CoA dehydrogenase family protein	0
81	NCBI_PGAP	WP_061486886.1	LysR family transcriptional regulator	0
82	NCBI_PGAP	WP_061486888.1	MBL fold metallo-hydrolase	0
83	NCBI_PGAP	WP_014947789.1	YcjX family protein	0
84	NCBI_PGAP	WP_061438938.1	DUF697 domain-containing protein	0
85	NCBI_PGAP	WP_014947791.1	threonine/serine exporter family protein	0
86	NCBI_PGAP	WP_061438940.1	2-iminoacetate synthase ThiH (thiH)	0
87	NCBI_PGAP	WP_061438943.1	thiazole synthase	0
88	NCBI_PGAP	WP_014947794.1	sulfur carrier protein ThiS (thiS)	0
89	NCBI_PGAP	WP_061438944.1	HesA/MoeB/ThiF family protein	0
90	NCBI_PGAP	WP_061438946.1	thiamine phosphate synthase (thiE)	0
91	NCBI_PGAP	WP_061438948.1	phosphomethylpyrimidine synthase ThiC (thiC)	0
92	NCBI_PGAP	WP_061438950.1	heme biosynthesis protein	0
93	NCBI_PGAP	WP_061438952.1	uroporphyrinogen-III C-methyltransferase	0
94	NCBI_PGAP	WP_061438954.1	uroporphyrinogen-III synthase	0
95	NCBI_PGAP	WP_014947801.1	hydroxymethylbilane synthase (hemC)	0
96	NCBI_PGAP	WP_049587575.1	GGDEF domain-containing protein	0
97	NCBI_PGAP	WP_014977932.1	alpha/beta fold hydrolase	0
98	NCBI_PGAP	WP_061438956.1	guanylate kinase (gmk)	0
99	NCBI_PGAP	WP_014947805.1	DNA-directed RNA polymerase subunit omega (rpoZ)	0
100	NCBI_PGAP	WP_039226917.1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase (spoT)	0
101	NCBI_PGAP	WP_014975316.1	RidA family protein	0
102	NCBI_PGAP	WP_014975317.1	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH (trmH)	0
103	NCBI_PGAP	WP_014975318.1	ATP-dependent DNA helicase RecG (recG)	0
104	NCBI_PGAP	WP_061438957.1	class I SAM-dependent methyltransferase	0
105	NCBI_PGAP	WP_014947810.1	peroxiredoxin	0
107	NCBI_PGAP	WP_061438959.1	extracellular solute-binding protein	0
108	NCBI_PGAP	WP_014975321.1	iron ABC transporter permease	0
109	NCBI_PGAP	WP_039226913.1	ABC transporter ATP-binding protein	0
110	NCBI_PGAP	WP_061438961.1	NAD(P)/FAD-dependent oxidoreductase	0
111	NCBI_PGAP	WP_061438963.1	LapA family protein	0
114	NCBI_PGAP	WP_061438970.1	mechanosensitive ion channel	0
115	NCBI_PGAP	WP_061438972.1	glucosaminidase domain-containing protein	0
116	NCBI_PGAP	WP_061438975.1	sigma-70 family RNA polymerase sigma factor	0
117	NCBI_PGAP	WP_061438978.1	mechanosensitive ion channel	0
118	NCBI_PGAP	WP_061438980.1	magnesium transporter	0
119	NCBI_PGAP	WP_061438982.1	DUF21 domain-containing protein	0
120	NCBI_PGAP	WP_061438984.1	30S ribosomal protein S6--L-glutamate ligase (rimK)	0
121	NCBI_PGAP	WP_061438987.1	succinylglutamate desuccinylase/aspartoacylase family protein	0
122	NCBI_PGAP	WP_061486890.1	sodium:proton antiporter	0
123	NCBI_PGAP	WP_061438989.1	outer membrane beta-barrel protein	0
126	NCBI_PGAP	WP_061438991.1	diguanylate cyclase	0
127	NCBI_PGAP	WP_039226907.1	ArgP/LysG family DNA-binding transcriptional regulator	0
128	NCBI_PGAP	WP_014975330.1	LysE family transporter	0
129	NCBI_PGAP	WP_014947823.1	multidrug efflux SMR transporter	0
130	NCBI_PGAP	WP_014975331.1	DUF1499 domain-containing protein	0
131	NCBI_PGAP	WP_061438997.1	molecular chaperone DnaJ	0
132	NCBI_PGAP	WP_014947826.1	efflux RND transporter periplasmic adaptor subunit	0
133	NCBI_PGAP	WP_014947827.1	multidrug efflux RND transporter permease subunit	0
134	NCBI_PGAP	WP_014947828.1	alpha/beta fold hydrolase	0
135	NCBI_PGAP	WP_061486892.1	GNAT family N-acetyltransferase	0
136	NCBI_PGAP	WP_061438999.1	histone deacetylase family protein	0
137	NCBI_PGAP	WP_061439000.1	glutaredoxin	0
139	NCBI_PGAP	WP_061439003.1	chemotaxis protein	0
141	NCBI_PGAP	WP_061439011.1	DUF3300 domain-containing protein	0
142	NCBI_PGAP	WP_014947836.1	GTP cyclohydrolase II (ribA)	0
143	NCBI_PGAP	WP_014977957.1	EAL domain-containing protein	0
145	NCBI_PGAP	WP_014975342.1	glutathione S-transferase	0
146	NCBI_PGAP	WP_061439015.1	DNA helicase RecQ (recQ)	0
147	NCBI_PGAP	WP_014977960.1	thioesterase family protein	0
148	NCBI_PGAP	WP_014977961.1	magnesium transporter	0
149	NCBI_PGAP	WP_014977962.1	EamA family transporter RarD (rarD)	0
150	NCBI_PGAP	WP_014977963.1	diguanylate cyclase	0
151	NCBI_PGAP	WP_061439017.1	DNA helicase II (uvrD)	0
152	NCBI_PGAP	WP_014947845.1	serine O-acetyltransferase (cysE)	0
153	NCBI_PGAP	WP_061439020.1	IS4 family transposase	0
154	NCBI_PGAP	WP_014977965.1	sensor domain-containing diguanylate cyclase	0
155	NCBI_PGAP	WP_061439022.1	HAD-IA family hydrolase	0
156	NCBI_PGAP	WP_061439024.1	tyrosine recombinase XerC (xerC)	0
157	NCBI_PGAP	WP_014947849.1	DUF484 family protein	0
158	NCBI_PGAP	WP_014947850.1	diaminopimelate epimerase (dapF)	0
159	NCBI_PGAP	WP_014977968.1	diaminopimelate decarboxylase (lysA)	0
160	NCBI_PGAP	WP_014975353.1	lipoprotein	0
161	NCBI_PGAP	WP_049587089.1	glycosyl transferase	0
162	NCBI_PGAP	WP_014947854.1	phosphatase PAP2 family protein	0
163	NCBI_PGAP	WP_014947855.1	ribonuclease E activity regulator RraA (rraA)	0
164	NCBI_PGAP	WP_061439026.1	extracellular solute-binding protein	0
165	NCBI_PGAP	WP_061439028.1	S1/P1 nuclease	0
166	NCBI_PGAP	WP_014975357.1	UbiX family flavin prenyltransferase	0
167	NCBI_PGAP	WP_081106052.1	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase (mpl)	0
168	NCBI_PGAP	WP_014947860.1	class 1 fructose-bisphosphatase	0
169	NCBI_PGAP	WP_014947861.1	inorganic diphosphatase (ppa)	0
170	NCBI_PGAP	WP_014947862.1	DUF3299 domain-containing protein	0
171	NCBI_PGAP	WP_061439033.1	dihydrodipicolinate synthase family protein	0
172	NCBI_PGAP	WP_014975360.1	2OG-Fe(II) oxygenase	0
173	NCBI_PGAP	WP_014975361.1	acyl-CoA thioesterase	0
175	NCBI_PGAP	WP_014975363.1	peptidase	0
176	NCBI_PGAP	WP_014975364.1	Hsp70 family protein	0
177	NCBI_PGAP	WP_014975365.1	excinuclease ABC subunit UvrA (uvrA)	0
178	NCBI_PGAP	WP_061439035.1	MFS transporter	0
179	NCBI_PGAP	WP_014977981.1	beta-phosphoglucomutase family hydrolase	0
181	NCBI_PGAP	WP_014947874.1	alpha/beta hydrolase	0
182	NCBI_PGAP	WP_014947876.1	LacI family DNA-binding transcriptional regulator	0
183	NCBI_PGAP	WP_014975371.1	galactose mutarotase	0
184	NCBI_PGAP	WP_014947878.1	UDP-glucose--hexose-1-phosphate uridylyltransferase	0
185	NCBI_PGAP	WP_061439037.1	galactokinase (galK)	0
186	NCBI_PGAP	WP_014975374.1	sodium/solute symporter	0
187	NCBI_PGAP	WP_014947881.1	single-stranded DNA-binding protein	0
189	NCBI_PGAP	WP_061439042.1	dienelactone hydrolase family protein	0
190	NCBI_PGAP	WP_061439044.1	alpha-galactosidase	0
191	NCBI_PGAP	WP_039217377.1	SLC5 family protein	0
192	NCBI_PGAP	WP_014947886.1	TonB-dependent receptor	0
193	NCBI_PGAP	WP_061439046.1	glycerol kinase GlpK (glpK)	0
194	NCBI_PGAP	WP_014947888.1	DeoR/GlpR family transcriptional regulator	0
195	NCBI_PGAP	WP_061439048.1	glycerol-3-phosphate dehydrogenase (glpD)	0
196	NCBI_PGAP	WP_061439050.1	phosphoglycerate mutase family protein	0
199	NCBI_PGAP	WP_061439056.1	PilN domain-containing protein	0
200	NCBI_PGAP	WP_061439059.1	type II secretion system protein M	0
201	NCBI_PGAP	WP_014947895.1	agglutinin biogenesis protein MshK	0
202	NCBI_PGAP	WP_061439061.1	pilus (MSHA type) biogenesis protein MshL (mshL)	0
203	NCBI_PGAP	WP_061439063.1	AAA family ATPase	0
204	NCBI_PGAP	WP_061439065.1	tetratricopeptide repeat protein	0
205	NCBI_PGAP	WP_061439067.1	GspE/PulE family protein (cpaF)	0
206	NCBI_PGAP	WP_061439069.1	type II secretion system F family protein	0
208	NCBI_PGAP	WP_014978004.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
209	NCBI_PGAP	WP_061439073.1	type II secretion system protein	0
210	NCBI_PGAP	WP_061439074.1	type II secretion system protein	0
211	NCBI_PGAP	WP_061439076.1	prepilin-type N-terminal cleavage/methylation domain-containing protein	0
212	NCBI_PGAP	WP_061439078.1	type II secretion system protein	0
214	NCBI_PGAP	WP_061439082.1	agglutinin biogenesis protein MshQ	0
215	NCBI_PGAP	WP_014947909.1	rod shape-determining protein	0
216	NCBI_PGAP	WP_014978010.1	rod shape-determining protein MreC (mreC)	0
217	NCBI_PGAP	WP_014978011.1	rod shape-determining protein MreD (mreD)	0
218	NCBI_PGAP	WP_061439084.1	septum formation inhibitor Maf	0
219	NCBI_PGAP	WP_014947913.1	ribonuclease G (rng)	0
220	NCBI_PGAP	WP_061439086.1	TIGR02099 family protein	0
221	NCBI_PGAP	WP_061439088.1	carbon-nitrogen hydrolase family protein	0
222	NCBI_PGAP	WP_061439090.1	metalloprotease TldD (tldD)	0
224	NCBI_PGAP	WP_061439094.1	ribosome-associated protein	0
