unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_BS11	K01810	2768	NC_018692	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
1	Amac_BS11	K01623	728	NC_018692	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
2	Amac_BS11	K01803	1655	NC_018692	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
3	Amac_BS11	K00134	726	NC_018692	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_BS11	K00134	2126	NC_018692	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_BS11	K00134	2119	NC_018692	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
6	Amac_BS11	K00927	727	NC_018692	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
7	Amac_BS11	K01834	326	NC_018692	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
8	Amac_BS11	K01689	818	NC_018692	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
9	Amac_BS11	K00873	2135	NC_018692	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
10	Amac_BS11	K01610	3520	NC_018692	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
11	Amac_BS11	K03841	164	NC_018692	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
12	Amac_BS11	K00163	2692	NC_018692	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
13	Amac_BS11	K00627	2691	NC_018692	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
14	Amac_BS11	K00382	2690	NC_018692	M00307,M00009,M00011,M00532,M00036,M00032	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
15	Amac_BS11	K01647	1720	NC_018692	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]
16	Amac_BS11	K01681	328	NC_018692	M00009,M00010,M00012,M00740,M00173,M00614	aconitate hydratase [EC:4.2.1.3]
17	Amac_BS11	K01682	636	NC_018692	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
18	Amac_BS11	K01682	630	NC_018692	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
19	Amac_BS11	K00030	855	NC_018692	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
20	Amac_BS11	K00164	1725	NC_018692	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
21	Amac_BS11	K00658	1726	NC_018692	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
22	Amac_BS11	K01902	1728	NC_018692	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
23	Amac_BS11	K01903	1727	NC_018692	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
24	Amac_BS11	K00239	1723	NC_018692	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
25	Amac_BS11	K00240	1724	NC_018692	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
26	Amac_BS11	K00241	1721	NC_018692	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
27	Amac_BS11	K00242	1722	NC_018692	M00009,M00011,M00173,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
28	Amac_BS11	K01679	2857	NC_018692	M00009,M00011,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]
29	Amac_BS11	K00036	2133	NC_018692	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
30	Amac_BS11	K01057	2132	NC_018692	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]
31	Amac_BS11	K00033	2122	NC_018692	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
32	Amac_BS11	K01783	381	NC_018692	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
