gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_156080630.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_049586368.1	DNA polymerase III subunit beta (dnaN)	0
2	NCBI_PGAP	WP_049586367.1	DNA replication/repair protein RecF (recF)	0
3	NCBI_PGAP	WP_049586366.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
5	NCBI_PGAP	WP_049586364.1	glycine--tRNA ligase subunit beta (glyS)	0
6	NCBI_PGAP	WP_014947716.1	glycine--tRNA ligase subunit alpha (glyQ)	0
7	NCBI_PGAP	WP_080986385.1	DNA-3-methyladenine glycosylase I (tag)	0
8	NCBI_PGAP	WP_049586362.1	DUF2489 domain-containing protein	0
9	NCBI_PGAP	WP_014947719.1	Der GTPase-activating protein YihI (yihI)	0
10	NCBI_PGAP	WP_080986387.1	class I SAM-dependent methyltransferase	0
11	NCBI_PGAP	WP_014947721.1	cytochrome c4	0
12	NCBI_PGAP	WP_014947722.1	YihA family ribosome biogenesis GTP-binding protein	0
13	NCBI_PGAP	WP_049586361.1	DNA polymerase I (polA)	0
14	NCBI_PGAP	WP_049586360.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
15	NCBI_PGAP	WP_014947725.1	potassium transporter	0
16	NCBI_PGAP	WP_014947726.1	Trk system potassium transporter TrkA (trkA)	0
17	NCBI_PGAP	WP_049586358.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
18	NCBI_PGAP	WP_039228916.1	methionyl-tRNA formyltransferase	0
19	NCBI_PGAP	WP_014977863.1	peptide deformylase	0
20	NCBI_PGAP	WP_049586356.1	LysM peptidoglycan-binding domain-containing protein	0
21	NCBI_PGAP	WP_049586354.1	DNA-protecting protein DprA (dprA)	0
22	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
23	NCBI_PGAP	WP_014975256.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
24	NCBI_PGAP	WP_049586351.1	Sua5/YciO/YrdC/YwlC family protein	0
25	NCBI_PGAP	WP_049586350.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
26	NCBI_PGAP	WP_049586348.1	outer membrane beta-barrel protein	0
27	NCBI_PGAP	WP_049586347.1	group II truncated hemoglobin	0
28	NCBI_PGAP	WP_039228930.1	shikimate dehydrogenase (aroE)	0
29	NCBI_PGAP	WP_014947739.1	gamma carbonic anhydrase family protein	0
30	NCBI_PGAP	WP_080986386.1	UDP-N-acetylglucosamine 2-epimerase	0
31	NCBI_PGAP	WP_049587508.1	acyloxyacyl hydrolase	0
34	NCBI_PGAP	WP_049587513.1	error-prone DNA polymerase (dnaE)	0
35	NCBI_PGAP	WP_049587515.1	DNA polymerase Y family protein	0
36	NCBI_PGAP	WP_049587517.1	recombinase RecA	0
38	NCBI_PGAP	WP_049587520.1	DUF885 domain-containing protein	0
39	NCBI_PGAP	WP_049587521.1	DUF1820 family protein	0
40	NCBI_PGAP	WP_049587523.1	M28 family peptidase	0
41	NCBI_PGAP	WP_012516568.1	nucleoid occlusion factor SlmA (slmA)	0
42	NCBI_PGAP	WP_049587528.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC (coaBC)	0
43	NCBI_PGAP	WP_014947752.1	DNA repair protein RadC (radC)	0
45	NCBI_PGAP	WP_014947754.1	YjbF family lipoprotein	0
46	NCBI_PGAP	WP_039236677.1	capsule biosynthesis GfcC family protein	0
47	NCBI_PGAP	WP_049587529.1	YjbH domain-containing protein	0
48	NCBI_PGAP	WP_014947757.1	50S ribosomal protein L28 (rpmB)	0
49	NCBI_PGAP	WP_012516577.1	50S ribosomal protein L33 (rpmG)	0
51	NCBI_PGAP	WP_014947759.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase (mutM)	0
52	NCBI_PGAP	WP_014947760.1	pantetheine-phosphate adenylyltransferase (coaD)	0
53	NCBI_PGAP	WP_014977890.1	3-deoxy-D-manno-octulosonic acid kinase	0
56	NCBI_PGAP	WP_049587535.1	EAL domain-containing protein	0
57	NCBI_PGAP	WP_014977894.1	glycine C-acetyltransferase	0
58	NCBI_PGAP	WP_049587537.1	L-threonine 3-dehydrogenase	0
59	NCBI_PGAP	WP_014947767.1	thiosulfate sulfurtransferase GlpE (glpE)	0
60	NCBI_PGAP	WP_049587538.1	rhomboid family intramembrane serine protease GlpG (glpG)	0
61	NCBI_PGAP	WP_049587539.1	flagellar basal body-associated protein FliL (fliL)	0
62	NCBI_PGAP	WP_049587578.1	chorismate lyase	0
63	NCBI_PGAP	WP_014975277.1	4-hydroxybenzoate octaprenyltransferase	0
64	NCBI_PGAP	WP_014975278.1	accessory factor UbiK family protein	0
65	NCBI_PGAP	WP_049587540.1	DNA helicase Rep (rep)	0
66	NCBI_PGAP	WP_049587542.1	GGDEF domain-containing protein	0
67	NCBI_PGAP	WP_049587544.1	cytochrome c5 family protein	0
68	NCBI_PGAP	WP_049587545.1	type II toxin-antitoxin system HipA family toxin	0
69	NCBI_PGAP	WP_049587547.1	helix-turn-helix transcriptional regulator	0
70	NCBI_PGAP	WP_049587550.1	Na+/H+ antiporter NhaC (nhaC)	0
71	NCBI_PGAP	WP_049587551.1	BCCT family transporter	0
73	NCBI_PGAP	WP_014947779.1	DUF2960 domain-containing protein	0
74	NCBI_PGAP	WP_053103820.1	HNH endonuclease	0
75	NCBI_PGAP	WP_080986426.1	HNH endonuclease	0
76	NCBI_PGAP	WP_053103821.1	class I SAM-dependent methyltransferase	0
77	NCBI_PGAP	WP_049587556.1	TonB-dependent siderophore receptor	0
79	NCBI_PGAP	WP_014947786.1	acyl-CoA dehydrogenase family protein	0
80	NCBI_PGAP	WP_049587583.1	LysR family transcriptional regulator	0
81	NCBI_PGAP	WP_049587584.1	MBL fold metallo-hydrolase	0
82	NCBI_PGAP	WP_049587559.1	YcjX family protein	0
