gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_039228897.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_012516526.1	DNA polymerase III subunit beta (dnaN)	0
2	NCBI_PGAP	WP_014947710.1	DNA replication/repair protein RecF (recF)	0
3	NCBI_PGAP	WP_014947711.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
7	NCBI_PGAP	WP_014947715.1	glycine--tRNA ligase subunit beta (glyS)	0
8	NCBI_PGAP	WP_014947716.1	glycine--tRNA ligase subunit alpha (glyQ)	0
9	NCBI_PGAP	WP_014947717.1	DNA-3-methyladenine glycosylase I	0
10	NCBI_PGAP	WP_014947718.1	DUF2489 domain-containing protein	0
11	NCBI_PGAP	WP_014947719.1	Der GTPase-activating protein YihI (yihI)	0
12	NCBI_PGAP	WP_014947720.1	class I SAM-dependent methyltransferase	0
13	NCBI_PGAP	WP_014947721.1	cytochrome c4	0
14	NCBI_PGAP	WP_014947722.1	YihA family ribosome biogenesis GTP-binding protein	0
15	NCBI_PGAP	WP_014947723.1	DNA polymerase I (polA)	0
16	NCBI_PGAP	WP_014947724.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
17	NCBI_PGAP	WP_014947725.1	potassium transporter	0
18	NCBI_PGAP	WP_014947726.1	Trk system potassium transporter TrkA (trkA)	0
19	NCBI_PGAP	WP_014947727.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
20	NCBI_PGAP	WP_014947728.1	methionyl-tRNA formyltransferase (fmt)	0
21	NCBI_PGAP	WP_014947729.1	peptide deformylase	0
22	NCBI_PGAP	WP_014947730.1	LysM peptidoglycan-binding domain-containing protein	0
23	NCBI_PGAP	WP_014947731.1	DNA-protecting protein DprA (dprA)	0
24	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
25	NCBI_PGAP	WP_014947733.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
26	NCBI_PGAP	WP_014947734.1	Sua5/YciO/YrdC/YwlC family protein	0
27	NCBI_PGAP	WP_014947735.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
