gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NZ_CABDWP010000001	0	1593	f	0	1	NCBI_PGAP	v4.6
1	NZ_CABDWP010000001	1625	2726	f	0	1	NCBI_PGAP	v4.6
2	NZ_CABDWP010000001	2851	3940	f	0	1	NCBI_PGAP	v4.6
3	NZ_CABDWP010000001	3948	6369	f	0	1	NCBI_PGAP	v4.6
4	NZ_CABDWP010000001	7186	8335	f	0	1	NCBI_PGAP	v4.6
5	NZ_CABDWP010000001	8402	8846	r	0	1	NCBI_PGAP	v4.6
6	NZ_CABDWP010000001	8930	11009	r	0	1	NCBI_PGAP	v4.6
7	NZ_CABDWP010000001	11011	11917	r	0	1	NCBI_PGAP	v4.6
8	NZ_CABDWP010000001	12063	12672	f	0	1	NCBI_PGAP	v4.6
9	NZ_CABDWP010000001	12784	13246	r	0	1	NCBI_PGAP	v4.6
10	NZ_CABDWP010000001	13265	13769	r	0	1	NCBI_PGAP	v4.6
11	NZ_CABDWP010000001	13896	14598	r	0	1	NCBI_PGAP	v4.6
12	NZ_CABDWP010000001	14898	15522	r	0	1	NCBI_PGAP	v4.6
13	NZ_CABDWP010000001	15696	16332	f	0	1	NCBI_PGAP	v4.6
14	NZ_CABDWP010000001	16748	19541	r	0	1	NCBI_PGAP	v4.6
15	NZ_CABDWP010000001	19962	20616	f	0	1	NCBI_PGAP	v4.6
16	NZ_CABDWP010000001	20882	22334	f	0	1	NCBI_PGAP	v4.6
17	NZ_CABDWP010000001	22447	23827	r	0	1	NCBI_PGAP	v4.6
18	NZ_CABDWP010000001	23891	25211	r	0	1	NCBI_PGAP	v4.6
19	NZ_CABDWP010000001	25213	26164	r	0	1	NCBI_PGAP	v4.6
20	NZ_CABDWP010000001	26172	26682	r	0	1	NCBI_PGAP	v4.6
21	NZ_CABDWP010000001	26898	27972	f	0	1	NCBI_PGAP	v4.6
22	NZ_CABDWP010000001	28011	29121	f	0	1	NCBI_PGAP	v4.6
23	NZ_CABDWP010000001	29122	29599	f	0	1	NCBI_PGAP	v4.6
24	NZ_CABDWP010000001	29684	30227	f	0	1	NCBI_PGAP	v4.6
25	NZ_CABDWP010000001	30272	30878	f	0	1	NCBI_PGAP	v4.6
26	NZ_CABDWP010000001	30874	31807	f	0	1	NCBI_PGAP	v4.6
27	NZ_CABDWP010000001	32041	32722	f	0	1	NCBI_PGAP	v4.6
28	NZ_CABDWP010000001	32846	33278	r	0	1	NCBI_PGAP	v4.6
29	NZ_CABDWP010000001	33276	34116	f	0	1	NCBI_PGAP	v4.6
30	NZ_CABDWP010000001	34112	34655	r	0	1	NCBI_PGAP	v4.6
31	NZ_CABDWP010000001	34998	35910	f	0	1	NCBI_PGAP	v4.6
32	NZ_CABDWP010000001	41791	42322	r	0	1	NCBI_PGAP	v4.6
33	NZ_CABDWP010000001	42458	43289	r	0	1	NCBI_PGAP	v4.6
34	NZ_CABDWP010000001	43269	44061	r	0	1	NCBI_PGAP	v4.6
