gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NC_018632	409	2065	f	0	1	NCBI_PGAP	v4.6
1	NC_018632	2097	3198	f	0	1	NCBI_PGAP	v4.6
2	NC_018632	3323	4412	f	0	1	NCBI_PGAP	v4.6
3	NC_018632	4420	6841	f	0	1	NCBI_PGAP	v4.6
4	NC_018632	7020	7707	f	0	1	NCBI_PGAP	v4.6
5	NC_018632	7724	8873	f	0	1	NCBI_PGAP	v4.6
6	NC_018632	8940	9384	r	0	1	NCBI_PGAP	v4.6
7	NC_018632	9467	11546	r	0	1	NCBI_PGAP	v4.6
8	NC_018632	11548	12454	r	0	1	NCBI_PGAP	v4.6
9	NC_018632	12600	13209	f	0	1	NCBI_PGAP	v4.6
10	NC_018632	13321	13783	r	0	1	NCBI_PGAP	v4.6
11	NC_018632	13802	14306	r	0	1	NCBI_PGAP	v4.6
12	NC_018632	14433	15135	r	0	1	NCBI_PGAP	v4.6
13	NC_018632	15435	16059	r	0	1	NCBI_PGAP	v4.6
14	NC_018632	16233	16869	f	0	1	NCBI_PGAP	v4.6
15	NC_018632	17285	20078	r	0	1	NCBI_PGAP	v4.6
16	NC_018632	20499	21153	f	0	1	NCBI_PGAP	v4.6
17	NC_018632	21418	22870	f	0	1	NCBI_PGAP	v4.6
18	NC_018632	22983	24363	r	0	1	NCBI_PGAP	v4.6
19	NC_018632	24427	25747	r	0	1	NCBI_PGAP	v4.6
20	NC_018632	25749	26700	r	0	1	NCBI_PGAP	v4.6
21	NC_018632	26708	27218	r	0	1	NCBI_PGAP	v4.6
22	NC_018632	27434	28508	f	0	1	NCBI_PGAP	v4.6
23	NC_018632	28547	29657	f	0	1	NCBI_PGAP	v4.6
24	NC_018632	29658	30135	f	0	1	NCBI_PGAP	v4.6
25	NC_018632	30220	30763	f	0	1	NCBI_PGAP	v4.6
26	NC_018632	30807	31413	f	0	1	NCBI_PGAP	v4.6
27	NC_018632	31409	32342	f	0	1	NCBI_PGAP	v4.6
28	NC_018632	32575	33256	f	0	1	NCBI_PGAP	v4.6
29	NC_018632	33380	33812	r	0	1	NCBI_PGAP	v4.6
30	NC_018632	33810	34650	f	0	1	NCBI_PGAP	v4.6
31	NC_018632	34646	35189	r	0	1	NCBI_PGAP	v4.6
32	NC_018632	35533	36445	f	0	1	NCBI_PGAP	v4.6
33	NC_018632	41730	42261	r	0	1	NCBI_PGAP	v4.6
