gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_156077626.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_156077627.1	DNA polymerase III subunit beta (dnaN)	0
2	NCBI_PGAP	WP_156077628.1	DNA replication/repair protein RecF (recF)	0
3	NCBI_PGAP	WP_156077629.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
6	NCBI_PGAP	WP_156077632.1	glycine--tRNA ligase subunit beta (glyS)	0
7	NCBI_PGAP	WP_014947716.1	glycine--tRNA ligase subunit alpha (glyQ)	0
8	NCBI_PGAP	WP_156077633.1	DNA-3-methyladenine glycosylase I (tag)	0
9	NCBI_PGAP	WP_014975247.1	DUF2489 domain-containing protein	0
10	NCBI_PGAP	WP_014947719.1	Der GTPase-activating protein YihI (yihI)	0
11	NCBI_PGAP	WP_014947720.1	class I SAM-dependent methyltransferase	0
12	NCBI_PGAP	WP_014947721.1	cytochrome c4	0
13	NCBI_PGAP	WP_014947722.1	YihA family ribosome biogenesis GTP-binding protein	0
14	NCBI_PGAP	WP_156077634.1	DNA polymerase I (polA)	0
15	NCBI_PGAP	WP_156077635.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
16	NCBI_PGAP	WP_014947725.1	potassium transporter	0
17	NCBI_PGAP	WP_014947726.1	Trk system potassium transporter TrkA (trkA)	0
18	NCBI_PGAP	WP_069943465.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
19	NCBI_PGAP	WP_061438871.1	methionyl-tRNA formyltransferase	0
20	NCBI_PGAP	WP_014947729.1	peptide deformylase	0
21	NCBI_PGAP	WP_014947730.1	LysM peptidoglycan-binding domain-containing protein	0
22	NCBI_PGAP	WP_156077636.1	DNA-protecting protein DprA (dprA)	0
23	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
24	NCBI_PGAP	WP_014975256.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
25	NCBI_PGAP	WP_014947734.1	Sua5/YciO/YrdC/YwlC family protein	0
26	NCBI_PGAP	WP_156077637.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
27	NCBI_PGAP	WP_014947736.1	outer membrane beta-barrel protein	0
28	NCBI_PGAP	WP_014947737.1	group II truncated hemoglobin	0
29	NCBI_PGAP	WP_110289614.1	shikimate dehydrogenase (aroE)	0
30	NCBI_PGAP	WP_156077638.1	gamma carbonic anhydrase family protein	0
31	NCBI_PGAP	WP_156079081.1	UDP-N-acetylglucosamine 2-epimerase	0
32	NCBI_PGAP	WP_156077639.1	acyloxyacyl hydrolase	0
35	NCBI_PGAP	WP_156077641.1	error-prone DNA polymerase (dnaE)	0
36	NCBI_PGAP	WP_156077642.1	DNA polymerase Y family protein	0
37	NCBI_PGAP	WP_156077643.1	recombinase RecA	0
39	NCBI_PGAP	WP_156077644.1	DUF885 domain-containing protein	0
40	NCBI_PGAP	WP_061438894.1	DUF1820 family protein	0
41	NCBI_PGAP	WP_014947750.1	M28 family peptidase	0
42	NCBI_PGAP	WP_012516568.1	nucleoid occlusion factor SlmA (slmA)	0
