gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_014977846.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_012516526.1	DNA polymerase III subunit beta (dnaN)	0
2	NCBI_PGAP	WP_014977847.1	DNA replication/repair protein RecF (recF)	0
3	NCBI_PGAP	WP_014977848.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
4	NCBI_PGAP	WP_014977851.1	group II intron reverse transcriptase/maturase (ltrA)	0
6	NCBI_PGAP	WP_014977853.1	glycine--tRNA ligase subunit beta (glyS)	0
7	NCBI_PGAP	WP_014947716.1	glycine--tRNA ligase subunit alpha (glyQ)	0
8	NCBI_PGAP	WP_014977854.1	DNA-3-methyladenine glycosylase I (tag)	0
9	NCBI_PGAP	WP_014977855.1	DUF2489 domain-containing protein	0
10	NCBI_PGAP	WP_014947719.1	Der GTPase-activating protein YihI (yihI)	0
11	NCBI_PGAP	WP_014977856.1	class I SAM-dependent methyltransferase	0
12	NCBI_PGAP	WP_014947721.1	cytochrome c4	0
13	NCBI_PGAP	WP_014977857.1	YihA family ribosome biogenesis GTP-binding protein	0
14	NCBI_PGAP	WP_014977858.1	DNA polymerase I (polA)	0
15	NCBI_PGAP	WP_014977859.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
16	NCBI_PGAP	WP_014977860.1	potassium transporter	0
17	NCBI_PGAP	WP_014947726.1	Trk system potassium transporter TrkA (trkA)	0
18	NCBI_PGAP	WP_014977861.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
19	NCBI_PGAP	WP_014977862.1	methionyl-tRNA formyltransferase	0
20	NCBI_PGAP	WP_014977863.1	peptide deformylase	0
21	NCBI_PGAP	WP_014977864.1	LysM peptidoglycan-binding domain-containing protein	0
22	NCBI_PGAP	WP_014977865.1	DNA-protecting protein DprA (dprA)	0
23	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
24	NCBI_PGAP	WP_014977866.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
25	NCBI_PGAP	WP_014977867.1	Sua5/YciO/YrdC/YwlC family protein	0
26	NCBI_PGAP	WP_014977868.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
27	NCBI_PGAP	WP_014947736.1	outer membrane beta-barrel protein	0
28	NCBI_PGAP	WP_014977869.1	group II truncated hemoglobin	0
29	NCBI_PGAP	WP_014977870.1	shikimate dehydrogenase (aroE)	0
30	NCBI_PGAP	WP_014977871.1	gamma carbonic anhydrase family protein	0
31	NCBI_PGAP	WP_014977872.1	UDP-N-acetylglucosamine 2-epimerase	0
32	NCBI_PGAP	WP_014977873.1	acyloxyacyl hydrolase	0
35	NCBI_PGAP	WP_014977876.1	error-prone DNA polymerase (dnaE)	0
36	NCBI_PGAP	WP_014977877.1	DNA polymerase Y family protein	0
37	NCBI_PGAP	WP_014977878.1	recombinase RecA	0
39	NCBI_PGAP	WP_014977880.1	DUF885 domain-containing protein	0
40	NCBI_PGAP	WP_014977881.1	DUF1820 family protein	0
41	NCBI_PGAP	WP_014977882.1	M28 family peptidase	0
42	NCBI_PGAP	WP_012516568.1	nucleoid occlusion factor SlmA (slmA)	0
43	NCBI_PGAP	WP_014977883.1	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC (coaBC)	0
44	NCBI_PGAP	WP_014977884.1	DNA repair protein RadC (radC)	0
46	NCBI_PGAP	WP_014947754.1	YjbF family lipoprotein	0
47	NCBI_PGAP	WP_014977886.1	capsule biosynthesis GfcC family protein	0
48	NCBI_PGAP	WP_014977887.1	YjbH domain-containing protein	0
49	NCBI_PGAP	WP_014947757.1	50S ribosomal protein L28 (rpmB)	0
50	NCBI_PGAP	WP_012516577.1	50S ribosomal protein L33 (rpmG)	0
52	NCBI_PGAP	WP_014977889.1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase (mutM)	0
53	NCBI_PGAP	WP_014947760.1	pantetheine-phosphate adenylyltransferase (coaD)	0
54	NCBI_PGAP	WP_014977890.1	3-deoxy-D-manno-octulosonic acid kinase	0
57	NCBI_PGAP	WP_014977893.1	EAL domain-containing protein	0
58	NCBI_PGAP	WP_014977894.1	glycine C-acetyltransferase	0
59	NCBI_PGAP	WP_014947766.1	L-threonine 3-dehydrogenase	0
60	NCBI_PGAP	WP_014977895.1	thiosulfate sulfurtransferase GlpE (glpE)	0
61	NCBI_PGAP	WP_014977896.1	rhomboid family intramembrane serine protease GlpG (glpG)	0
62	NCBI_PGAP	WP_014977897.1	flagellar basal body-associated protein FliL (fliL)	0
63	NCBI_PGAP	WP_014975276.1	chorismate lyase	0
64	NCBI_PGAP	WP_014977898.1	4-hydroxybenzoate octaprenyltransferase	0
65	NCBI_PGAP	WP_014947772.1	accessory factor UbiK family protein	0
66	NCBI_PGAP	WP_014947773.1	DNA helicase Rep (rep)	0
67	NCBI_PGAP	WP_014977899.1	GGDEF domain-containing protein	0
68	NCBI_PGAP	WP_014977900.1	cytochrome c5 family protein	0
69	NCBI_PGAP	WP_014977901.1	Na+/H+ antiporter NhaC (nhaC)	0
70	NCBI_PGAP	WP_014977902.1	membrane protein	0
71	NCBI_PGAP	WP_014977903.1	YeeE/YedE family protein	0
