gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	WP_014996758.1	chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	WP_012516526.1	DNA polymerase III subunit beta (dnaN)	0
2	NCBI_PGAP	WP_014996759.1	DNA replication/repair protein RecF (recF)	0
3	NCBI_PGAP	WP_014996760.1	DNA topoisomerase (ATP-hydrolyzing) subunit B (gyrB)	0
5	NCBI_PGAP	WP_014996762.1	glycine--tRNA ligase subunit beta (glyS)	0
6	NCBI_PGAP	WP_014996763.1	glycine--tRNA ligase subunit alpha (glyQ)	0
7	NCBI_PGAP	WP_014996764.1	DNA-3-methyladenine glycosylase I (tag)	0
8	NCBI_PGAP	WP_014996765.1	DUF2489 domain-containing protein	0
9	NCBI_PGAP	WP_014996766.1	Der GTPase-activating protein YihI (yihI)	0
10	NCBI_PGAP	WP_014996767.1	class I SAM-dependent methyltransferase	0
11	NCBI_PGAP	WP_014996768.1	cytochrome c4	0
12	NCBI_PGAP	WP_014996769.1	YihA family ribosome biogenesis GTP-binding protein	0
13	NCBI_PGAP	WP_014996770.1	DNA polymerase I (polA)	0
14	NCBI_PGAP	WP_014996771.1	isoprenoid biosynthesis glyoxalase ElbB (elbB)	0
15	NCBI_PGAP	WP_014996772.1	potassium transporter	0
16	NCBI_PGAP	WP_014996773.1	transposase	0
17	NCBI_PGAP	WP_014996775.1	Trk system potassium transporter TrkA (trkA)	0
18	NCBI_PGAP	WP_014996776.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB (rsmB)	0
19	NCBI_PGAP	WP_014996777.1	methionyl-tRNA formyltransferase	0
20	NCBI_PGAP	WP_014977863.1	peptide deformylase	0
21	NCBI_PGAP	WP_048832180.1	LysM peptidoglycan-binding domain-containing protein	0
22	NCBI_PGAP	WP_014996779.1	DNA-protecting protein DprA (dprA)	0
23	NCBI_PGAP	WP_014947732.1	DUF494 domain-containing protein	0
24	NCBI_PGAP	WP_014975256.1	topoisomerase DNA-binding C4 zinc finger domain-containing protein	0
25	NCBI_PGAP	WP_014996780.1	threonylcarbamoyl-AMP synthase	0
26	NCBI_PGAP	WP_014996781.1	oxygen-dependent coproporphyrinogen oxidase (hemF)	0
27	NCBI_PGAP	WP_014996782.1	outer membrane beta-barrel protein	0
28	NCBI_PGAP	WP_014996783.1	group II truncated hemoglobin	0
29	NCBI_PGAP	WP_014996784.1	shikimate dehydrogenase (aroE)	0
30	NCBI_PGAP	WP_014996785.1	gamma carbonic anhydrase family protein	0
31	NCBI_PGAP	WP_014996786.1	UDP-N-acetylglucosamine 2-epimerase	0
32	NCBI_PGAP	WP_014996787.1	acyloxyacyl hydrolase	0
34	NCBI_PGAP	WP_014996789.1	error-prone DNA polymerase (dnaE)	0
35	NCBI_PGAP	WP_014996790.1	DNA polymerase Y family protein	0
36	NCBI_PGAP	WP_044556695.1	recombinase RecA	0
38	NCBI_PGAP	WP_014996792.1	DUF885 domain-containing protein	0
39	NCBI_PGAP	WP_014996793.1	DUF1820 family protein	0
40	NCBI_PGAP	WP_014996794.1	M28 family peptidase	0
41	NCBI_PGAP	WP_014996795.1	nucleoid occlusion factor SlmA (slmA)	0
