"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3454"	"3454"	"0.000"	"1272.822"	"74"	"90"	"668"	"90"	"1"	"1342"	"149.9"	"5.24"	"2458.21"	"90"	"0"	"4717131581.69141"	"4657647390.13086"	"95122907.7866211"	"85206286.2819824"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3453"	"3453"	"0.000"	"1248.100"	"78"	"93"	"551"	"93"	"1"	"1390"	"153.8"	"5.82"	"2068.97"	"93"	"0"	"5027579405.35938"	"4886190203.78516"	"117824047.046875"	"102302467.829102"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1403"	"1403"	"0.000"	"984.146"	"74"	"52"	"423"	"52"	"1"	"695"	"76.3"	"5.06"	"1664.83"	"52"	"0"	"4714386746.47266"	"4599946794.67188"	"182865996.218994"	"161379825.921143"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3234"	"3234"	"0.000"	"938.686"	"77"	"53"	"1369"	"53"	"1"	"1008"	"110.8"	"4.42"	"3732.22"	"53"	"0"	"3579565777.42773"	"3567147867.6543"	"1385372154.8418"	"1243004193.47998"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2906"	"2906"	"0.000"	"843.879"	"67"	"77"	"298"	"77"	"1"	"1488"	"163.3"	"6.52"	"1156.69"	"77"	"0"	"2288962177.40625"	"2245813032.18359"	"50648856.4025879"	"46465398.71875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1681"	"1681"	"0.000"	"672.113"	"74"	"46"	"378"	"46"	"1"	"739"	"81.2"	"5.41"	"1365.72"	"46"	"0"	"2358306910.54688"	"2321116288.08984"	"64627802.5214844"	"58819647.4968262"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1795"	"1795"	"0.000"	"631.225"	"60"	"55"	"232"	"55"	"1"	"939"	"105.2"	"6.09"	"924.27"	"55"	"0"	"1264449500.30469"	"1242343768.25781"	"32114587.7562256"	"27166738.7595215"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"700"	"700"	"0.000"	"625.866"	"71"	"52"	"529"	"52"	"1"	"882"	"99.3"	"4.51"	"1300.01"	"52"	"0"	"937722934.75"	"851220477.375"	"408266262.810547"	"398316049.102051"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2018"	"2018"	"0.000"	"596.563"	"71"	"44"	"251"	"44"	"1"	"556"	"61.0"	"4.91"	"1004.38"	"44"	"0"	"3821006212.28125"	"3723658267.50391"	"68644889.9143066"	"51518124.7315674"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2771"	"2771"	"0.000"	"576.276"	"67"	"55"	"223"	"55"	"1"	"891"	"99.8"	"5.34"	"859.71"	"55"	"0"	"1647199797.625"	"1602286678.53125"	"44593875.8544922"	"39880576.954834"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3449"	"3449"	"0.000"	"555.650"	"92"	"31"	"1424"	"31"	"1"	"394"	"43.2"	"5.03"	"4075.87"	"31"	"0"	"11981735897.9756"	"12165682985.6572"	"589577358.767944"	"643101757.234985"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2949"	"2949"	"0.000"	"554.031"	"84"	"29"	"378"	"29"	"1"	"469"	"51.8"	"4.91"	"1444.84"	"29"	"0"	"2587894420.32813"	"2567467868.92969"	"101432281.259766"	"91172117.4064941"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"961"	"961"	"0.000"	"539.974"	"64"	"50"	"175"	"50"	"1"	"1295"	"140.1"	"5.15"	"704.19"	"50"	"0"	"841419844.164063"	"901086162.953125"	"28713250.9914551"	"26736010.3564453"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1358"	"1358"	"0.000"	"538.279"	"63"	"51"	"183"	"51"	"1"	"1073"	"117.2"	"4.93"	"752.45"	"51"	"0"	"1058607069"	"1002557411.34375"	"23513280.7387695"	"20235561.3620605"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"711"	"711"	"0.000"	"536.201"	"61"	"40"	"161"	"40"	"1"	"936"	"101.2"	"4.98"	"726.01"	"40"	"0"	"708386205.609375"	"673841294.328125"	"18938965.9052734"	"18468526.9794922"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1146"	"1146"	"0.000"	"499.700"	"65"	"33"	"771"	"33"	"1"	"862"	"92.8"	"4.37"	"1662.87"	"33"	"0"	"1489328572.58594"	"1467312098.23047"	"483044448.745117"	"459769381.111816"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3825"	"3825"	"0.000"	"494.084"	"89"	"27"	"275"	"27"	"1"	"461"	"49.9"	"4.92"	"1091.20"	"27"	"0"	"2476524294.27344"	"2478764315.22949"	"169010906.094727"	"142772850.345459"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2440"	"2440"	"0.000"	"488.683"	"60"	"37"	"463"	"37"	"1"	"864"	"94.4"	"4.42"	"988.34"	"37"	"0"	"959514438.761719"	"1038126913.5625"	"195053417.07251"	"173639024.334473"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1348"	"1348"	"0.000"	"488.617"	"67"	"45"	"290"	"45"	"1"	"642"	"69.1"	"4.82"	"1085.78"	"45"	"0"	"2210504313.51563"	"2279332761.70117"	"46364788.6118164"	"33766877.1796875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1076"	"1076"	"0.000"	"483.879"	"48"	"31"	"1128"	"31"	"1"	"949"	"102.5"	"4.27"	"2729.57"	"31"	"0"	"4105329946.58984"	"4148229426.07666"	"1035910034.48413"	"976383413.089844"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3521"	"3521"	"0.000"	"463.531"	"78"	"32"	"273"	"32"	"1"	"398"	"43.2"	"4.61"	"876.82"	"32"	"0"	"3111357330.63281"	"3010633228.44531"	"119831791.91333"	"108937957.209961"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1737"	"1737"	"0.000"	"454.120"	"67"	"40"	"181"	"40"	"1"	"703"	"76.4"	"4.87"	"697.10"	"40"	"0"	"1253162283.9375"	"1224506307.23438"	"51871051.8261719"	"49601321.8706055"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1668"	"1668"	"0.000"	"447.674"	"58"	"36"	"328"	"36"	"1"	"790"	"86.8"	"4.79"	"868.42"	"36"	"0"	"1879062225.9082"	"1830029533.48633"	"54522540.2895508"	"46519882.7033691"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2769"	"2769"	"0.000"	"438.999"	"68"	"30"	"216"	"30"	"1"	"473"	"50.4"	"5.49"	"753.37"	"30"	"0"	"2074165999.24805"	"2114576457.11719"	"65791293.6655273"	"58361302.541748"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3227"	"3227"	"0.000"	"435.146"	"91"	"33"	"212"	"33"	"1"	"446"	"47.6"	"6.16"	"658.43"	"33"	"0"	"884051684.140625"	"880819450.5"	"42163397.7646484"	"41073931.628418"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"699"	"699"	"0.000"	"407.523"	"51"	"21"	"351"	"21"	"1"	"926"	"96.0"	"3.94"	"1070.07"	"21"	"0"	"604256839.649414"	"622427410.351563"	"191512909.383789"	"184206757.593384"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1793"	"1793"	"0.000"	"390.716"	"63"	"35"	"280"	"35"	"1"	"590"	"64.7"	"5.99"	"903.03"	"35"	"0"	"2288205694.90234"	"2363111585.22266"	"50007795.3676758"	"45527640.9179688"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1585"	"1585"	"0.000"	"386.472"	"35"	"32"	"121"	"32"	"1"	"1126"	"123.9"	"5.92"	"531.41"	"32"	"0"	"612688053.382813"	"602093923.570313"	"27660934.921875"	"24519215.078125"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2948"	"2948"	"0.000"	"386.421"	"65"	"29"	"162"	"29"	"1"	"610"	"67.4"	"5.24"	"619.11"	"29"	"0"	"1557385300.91797"	"1513956713.85547"	"27332517.1230469"	"23872156.6296387"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3230"	"3230"	"0.000"	"380.347"	"60"	"44"	"145"	"44"	"1"	"873"	"98.3"	"5.54"	"514.54"	"44"	"0"	"611661854.539063"	"578887379.6875"	"15655667.8417969"	"13219873.3417969"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"794"	"794"	"0.000"	"378.707"	"56"	"29"	"159"	"29"	"1"	"824"	"90.2"	"4.30"	"558.62"	"29"	"0"	"427532524.133789"	"414912138.287598"	"154644939.608887"	"134348953.097168"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1880"	"1880"	"0.000"	"376.358"	"41"	"49"	"124"	"49"	"1"	"1612"	"183.3"	"6.43"	"461.22"	"49"	"0"	"354659237.890625"	"362710965.738281"	"7872269.86181641"	"5642817.94335938"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3450"	"3450"	"0.000"	"376.058"	"66"	"35"	"110"	"35"	"1"	"700"	"77.8"	"4.98"	"473.17"	"35"	"0"	"469978880.75"	"472185123.84375"	"11198439.3638916"	"10210682.9321289"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3827"	"3827"	"0.000"	"372.652"	"73"	"36"	"178"	"36"	"1"	"513"	"55.4"	"5.44"	"647.62"	"36"	"0"	"2061944819"	"2033613333.75"	"106287972.317383"	"96777922.6777344"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3126"	"3126"	"0.000"	"371.995"	"67"	"33"	"124"	"33"	"1"	"573"	"63.7"	"6.67"	"506.24"	"33"	"0"	"1142947451.01563"	"1118061892.70313"	"18371577.4152832"	"17332476.9421387"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1790"	"1790"	"0.000"	"366.981"	"72"	"22"	"131"	"22"	"1"	"425"	"47.7"	"6.40"	"492.81"	"22"	"0"	"1419114609.29688"	"1375115711.14063"	"22049682.78479"	"20227780.8618164"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2546"	"2546"	"0.000"	"364.047"	"75"	"32"	"126"	"32"	"1"	"434"	"48.7"	"4.74"	"560.67"	"32"	"0"	"1656519974.82813"	"1643146079.03125"	"13575846.6621094"	"12048895.9143066"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3255"	"3255"	"0.000"	"355.109"	"54"	"24"	"118"	"24"	"1"	"648"	"71.6"	"5.31"	"535.49"	"24"	"0"	"1119202787.75"	"1123678468.96875"	"28046375.7060547"	"26196732.5947266"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2556"	"2556"	"0.000"	"353.269"	"72"	"27"	"104"	"27"	"1"	"489"	"51.8"	"5.96"	"452.54"	"27"	"0"	"637893318.296875"	"625051295.023438"	"10309467.9089355"	"10259377.8579102"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"620"	"620"	"0.000"	"346.710"	"66"	"28"	"110"	"28"	"1"	"596"	"66.9"	"8.98"	"465.63"	"28"	"0"	"688902048.648438"	"704930435.765625"	"11371805.703125"	"11097650.4296875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2785"	"2785"	"0.000"	"346.348"	"62"	"38"	"97"	"38"	"1"	"902"	"102.5"	"5.66"	"451.27"	"38"	"0"	"359169733.476563"	"367803330.921875"	"5788756.06518555"	"5131837.88964844"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2854"	"2854"	"0.000"	"341.111"	"58"	"31"	"113"	"31"	"1"	"821"	"88.5"	"5.22"	"465.77"	"31"	"0"	"481222756.1875"	"453120688.65625"	"23390327.0478516"	"20826979.5869141"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2102"	"2102"	"0.000"	"338.325"	"50"	"30"	"251"	"29"	"1"	"760"	"82.8"	"4.37"	"670.70"	"30"	"1"	"824234649.804688"	"807116829.046875"	"192246534.594482"	"183726400.509766"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3290"	"3290"	"0.000"	"338.262"	"61"	"39"	"125"	"39"	"1"	"900"	"100.9"	"5.48"	"464.86"	"39"	"0"	"561749457.0625"	"560650895.5625"	"13249393.2382813"	"12705393.9638672"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"462"	"462"	"0.000"	"337.422"	"63"	"24"	"94"	"24"	"1"	"572"	"62.5"	"6.64"	"435.63"	"24"	"0"	"329412666.96875"	"336621597.703125"	"8611599.12097168"	"7747767.55908203"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1628"	"1628"	"0.000"	"335.204"	"51"	"32"	"187"	"32"	"1"	"868"	"95.4"	"5.40"	"703.36"	"32"	"0"	"607014467.779297"	"573522055.90625"	"13596468.5541992"	"12187333.1955566"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1178"	"1178"	"0.000"	"329.757"	"75"	"31"	"145"	"31"	"1"	"471"	"52.9"	"5.02"	"514.66"	"31"	"0"	"663619519.53125"	"656459488.289063"	"24616661.4985352"	"18844240.2106934"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"886"	"886"	"0.000"	"328.338"	"84"	"34"	"99"	"34"	"1"	"519"	"56.4"	"5.81"	"409.15"	"34"	"0"	"311209820.9375"	"297324667.1875"	"7691369.24609375"	"6686801.75097656"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2528"	"2528"	"0.000"	"326.605"	"47"	"35"	"102"	"35"	"1"	"939"	"105.4"	"5.52"	"394.81"	"35"	"0"	"292486840.320313"	"289188365.375"	"9459520.06103516"	"9195748.93798828"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"889"	"889"	"0.000"	"324.734"	"73"	"26"	"111"	"26"	"1"	"543"	"59.8"	"5.72"	"454.61"	"26"	"0"	"804398623.84375"	"760176527.25"	"14724341.5561523"	"12894793.0228882"	"High"	"High"	"High"	"High"	""
