"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3472"	"3472"	"0.000"	"847.151"	"62"	"74"	"318"	"74"	"1"	"1342"	"149.9"	"5.24"	"1106.12"	"74"	"0"	"1616165081.88281"	"1602142125.10938"	"12493818.4890137"	"14427279.4504395"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3249"	"3249"	"0.000"	"797.331"	"65"	"53"	"1645"	"53"	"1"	"1069"	"117.7"	"4.36"	"4706.76"	"53"	"0"	"5996346029.2207"	"6056270291.83398"	"173269995.479126"	"186944594.781372"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3471"	"3471"	"0.000"	"687.583"	"64"	"70"	"255"	"70"	"1"	"1390"	"153.8"	"5.82"	"855.51"	"70"	"0"	"1173442164.0625"	"1172611319.09375"	"14624143.2207031"	"16986331.1945801"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2455"	"2455"	"0.000"	"638.628"	"67"	"42"	"482"	"42"	"1"	"864"	"94.3"	"4.44"	"1226.16"	"42"	"0"	"1863302496.51563"	"1898562060.6875"	"49766437.8769531"	"49729990.8718262"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2971"	"2971"	"0.000"	"617.772"	"61"	"69"	"212"	"69"	"1"	"1488"	"163.3"	"6.52"	"729.35"	"69"	"0"	"730934292.632813"	"702872445.425781"	"5698725.75537109"	"6778931.11401367"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1171"	"1171"	"0.000"	"537.578"	"71"	"34"	"733"	"34"	"1"	"862"	"92.8"	"4.37"	"1673.62"	"34"	"0"	"2020095234.49414"	"2105774885.08984"	"88261535.817627"	"99220214.3453369"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1749"	"1749"	"0.000"	"519.545"	"60"	"37"	"265"	"37"	"1"	"739"	"81.2"	"5.41"	"838.00"	"37"	"0"	"1933283821.85938"	"1940299474.00781"	"18560553.2243652"	"11773533.4226074"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1441"	"1441"	"0.000"	"509.354"	"53"	"33"	"214"	"33"	"1"	"695"	"76.4"	"5.01"	"728.83"	"33"	"0"	"1088241322.28125"	"1069203533.34375"	"24820876.5510254"	"28627020.1972656"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3287"	"3287"	"0.000"	"427.200"	"83"	"28"	"568"	"28"	"1"	"394"	"43.2"	"5.03"	"1152.32"	"28"	"0"	"3421548669.40723"	"3197884846.81787"	"84819490.5258789"	"91073403.130127"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3847"	"3847"	"0.000"	"418.027"	"91"	"28"	"170"	"28"	"1"	"461"	"49.9"	"4.92"	"587.99"	"28"	"0"	"927954357.46875"	"950757787.625"	"25297929.484375"	"27882492.5874023"	"High"	"High"	"High"	"High"	""
