gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NC_018679	709	2365	f	0	1	NCBI_PGAP	v4.6
1	NC_018679	2397	3498	f	0	1	NCBI_PGAP	v4.6
2	NC_018679	3623	4712	f	0	1	NCBI_PGAP	v4.6
3	NC_018679	4720	7141	f	0	1	NCBI_PGAP	v4.6
4	NC_018679	7921	9193	f	0	1	NCBI_PGAP	v4.6
5	NC_018679	9400	9844	r	0	1	NCBI_PGAP	v4.6
6	NC_018679	9928	12007	r	0	1	NCBI_PGAP	v4.6
7	NC_018679	12009	12915	r	0	1	NCBI_PGAP	v4.6
8	NC_018679	13061	13670	f	0	1	NCBI_PGAP	v4.6
9	NC_018679	13782	14244	r	0	1	NCBI_PGAP	v4.6
10	NC_018679	14263	14767	r	0	1	NCBI_PGAP	v4.6
11	NC_018679	14894	15596	r	0	1	NCBI_PGAP	v4.6
12	NC_018679	15896	16520	r	0	1	NCBI_PGAP	v4.6
13	NC_018679	16694	17330	f	0	1	NCBI_PGAP	v4.6
14	NC_018679	17746	20539	r	0	1	NCBI_PGAP	v4.6
15	NC_018679	20960	21614	f	0	1	NCBI_PGAP	v4.6
16	NC_018679	21880	23332	f	0	1	NCBI_PGAP	v4.6
17	NC_018679	23462	24842	r	0	1	NCBI_PGAP	v4.6
18	NC_018679	24906	26226	r	0	1	NCBI_PGAP	v4.6
19	NC_018679	26228	27179	r	0	1	NCBI_PGAP	v4.6
20	NC_018679	27187	27697	r	0	1	NCBI_PGAP	v4.6
21	NC_018679	27913	28987	f	0	1	NCBI_PGAP	v4.6
22	NC_018679	29026	30136	f	0	1	NCBI_PGAP	v4.6
23	NC_018679	30137	30614	f	0	1	NCBI_PGAP	v4.6
24	NC_018679	30699	31242	f	0	1	NCBI_PGAP	v4.6
25	NC_018679	31287	31893	f	0	1	NCBI_PGAP	v4.6
26	NC_018679	31889	32822	f	0	1	NCBI_PGAP	v4.6
27	NC_018679	33056	33737	f	0	1	NCBI_PGAP	v4.6
28	NC_018679	33861	34293	r	0	1	NCBI_PGAP	v4.6
29	NC_018679	34291	35131	f	0	1	NCBI_PGAP	v4.6
30	NC_018679	35127	35670	r	0	1	NCBI_PGAP	v4.6
31	NC_018679	35846	36890	f	0	1	NCBI_PGAP	v4.6
32	NC_018679	43348	43879	r	0	1	NCBI_PGAP	v4.6
33	NC_018679	44015	44846	r	0	1	NCBI_PGAP	v4.6
34	NC_018679	44826	45618	r	0	1	NCBI_PGAP	v4.6
35	NC_018679	45760	48850	r	0	1	NCBI_PGAP	v4.6
36	NC_018679	48886	50374	r	0	1	NCBI_PGAP	v4.6
37	NC_018679	50373	51123	r	0	1	NCBI_PGAP	v4.6
38	NC_018679	51370	51880	r	0	1	NCBI_PGAP	v4.6
39	NC_018679	51882	53634	r	0	1	NCBI_PGAP	v4.6
40	NC_018679	53672	54008	r	0	1	NCBI_PGAP	v4.6
41	NC_018679	54197	55835	f	0	1	NCBI_PGAP	v4.6
42	NC_018679	56078	56666	r	0	1	NCBI_PGAP	v4.6
43	NC_018679	56781	58011	r	0	1	NCBI_PGAP	v4.6
44	NC_018679	58220	58898	f	0	1	NCBI_PGAP	v4.6
45	NC_018679	58990	59344	f	0	1	NCBI_PGAP	v4.6
46	NC_018679	59438	60128	f	0	1	NCBI_PGAP	v4.6
47	NC_018679	60127	60877	f	0	1	NCBI_PGAP	v4.6
