unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_ATCC27126	K01623	680	NC_018632	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
1	Amac_ATCC27126	K01803	1646	NC_018632	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
2	Amac_ATCC27126	K00134	2114	NC_018632	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
3	Amac_ATCC27126	K00134	2107	NC_018632	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_ATCC27126	K00134	678	NC_018632	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_ATCC27126	K00927	679	NC_018632	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
6	Amac_ATCC27126	K01834	262	NC_018632	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
7	Amac_ATCC27126	K01689	787	NC_018632	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
8	Amac_ATCC27126	K00873	2122	NC_018632	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
9	Amac_ATCC27126	K01610	3593	NC_018632	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
10	Amac_ATCC27126	K03841	152	NC_018632	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
11	Amac_ATCC27126	K00163	2649	NC_018632	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
12	Amac_ATCC27126	K00627	2648	NC_018632	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
13	Amac_ATCC27126	K00382	2647	NC_018632	M00307,M00009,M00011,M00532,M00036,M00032	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
14	Amac_ATCC27126	K01647	1719	NC_018632	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]
15	Amac_ATCC27126	K01681	264	NC_018632	M00009,M00010,M00012,M00740,M00173,M00614	aconitate hydratase [EC:4.2.1.3]
16	Amac_ATCC27126	K01682	593	NC_018632	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
17	Amac_ATCC27126	K01682	588	NC_018632	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
18	Amac_ATCC27126	K00030	819	NC_018632	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
19	Amac_ATCC27126	K00164	1724	NC_018632	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
20	Amac_ATCC27126	K00658	1725	NC_018632	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
21	Amac_ATCC27126	K01902	1727	NC_018632	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
22	Amac_ATCC27126	K01903	1726	NC_018632	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
23	Amac_ATCC27126	K00239	1722	NC_018632	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
24	Amac_ATCC27126	K00240	1723	NC_018632	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
25	Amac_ATCC27126	K00241	1720	NC_018632	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
26	Amac_ATCC27126	K00242	1721	NC_018632	M00009,M00011,M00173,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
27	Amac_ATCC27126	K01676	1806	NC_018632	M00009,M00011,M00173,M00613,M00614	fumarate hydratase, class I [EC:4.2.1.2]
28	Amac_ATCC27126	K01679	2836	NC_018632	M00009,M00011,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]
29	Amac_ATCC27126	K00036	2120	NC_018632	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
30	Amac_ATCC27126	K01057	2119	NC_018632	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]
31	Amac_ATCC27126	K00033	2110	NC_018632	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
32	Amac_ATCC27126	K01783	321	NC_018632	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
33	Amac_ATCC27126	K01807	2638	NC_018632	M00004,M00007,M00580,M00165,M00167,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]
34	Amac_ATCC27126	K00615	3642	NC_018632	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
35	Amac_ATCC27126	K00615	677	NC_018632	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
36	Amac_ATCC27126	K00616	3645	NC_018632	M00004,M00007	transaldolase [EC:2.2.1.2]
37	Amac_ATCC27126	K00616	2743	NC_018632	M00004,M00007	transaldolase [EC:2.2.1.2]
38	Amac_ATCC27126	K00948	1291	NC_018632	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
39	Amac_ATCC27126	K01690	2118	NC_018632	M00008	phosphogluconate dehydratase [EC:4.2.1.12]
40	Amac_ATCC27126	K01625	2145	NC_018632	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
41	Amac_ATCC27126	K01625	2116	NC_018632	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
42	Amac_ATCC27126	K01625	781	NC_018632	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
43	Amac_ATCC27126	K00874	2146	NC_018632	M00308,M00631,M00061	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
44	Amac_ATCC27126	K00012	3134	NC_018632	M00014,M00129	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
45	Amac_ATCC27126	K00854	3644	NC_018632	M00014	xylulokinase [EC:2.7.1.17]
46	Amac_ATCC27126	K01812	2143	NC_018632	M00631,M00061	glucuronate isomerase [EC:5.3.1.12]
47	Amac_ATCC27126	K01685	2142	NC_018632	M00631	altronate hydrolase [EC:4.2.1.7]
48	Amac_ATCC27126	K00040	2144	NC_018632	M00061	fructuronate reductase [EC:1.1.1.57]
49	Amac_ATCC27126	K01051	3558	NC_018632	M00081	pectinesterase [EC:3.1.1.11]
50	Amac_ATCC27126	K01051	2150	NC_018632	M00081	pectinesterase [EC:3.1.1.11]
51	Amac_ATCC27126	K01785	168	NC_018632	M00632	aldose 1-epimerase [EC:5.1.3.3]
52	Amac_ATCC27126	K01785	3646	NC_018632	M00632	aldose 1-epimerase [EC:5.1.3.3]
53	Amac_ATCC27126	K00849	170	NC_018632	M00632,M00554	galactokinase [EC:2.7.1.6]
54	Amac_ATCC27126	K00965	169	NC_018632	M00632,M00554	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
55	Amac_ATCC27126	K01784	806	NC_018632	M00632	UDP-glucose 4-epimerase [EC:5.1.3.2]
56	Amac_ATCC27126	K01684	548	NC_018632	M00552	galactonate dehydratase [EC:4.2.1.6]
57	Amac_ATCC27126	K00963	817	NC_018632	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
58	Amac_ATCC27126	K00975	1431	NC_018632	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
59	Amac_ATCC27126	K00703	215	NC_018632	M00854,M00565	starch synthase [EC:2.4.1.21]
60	Amac_ATCC27126	K00700	2112	NC_018632	M00854,M00565	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
61	Amac_ATCC27126	K00688	1313	NC_018632	M00855	glycogen phosphorylase [EC:2.4.1.1]
62	Amac_ATCC27126	K00705	2113	NC_018632	M00855	4-alpha-glucanotransferase [EC:2.4.1.25]
63	Amac_ATCC27126	K01200	1731	NC_018632	M00855	pullulanase [EC:3.2.1.41]
64	Amac_ATCC27126	K01835	1312	NC_018632	M00855,M00549	phosphoglucomutase [EC:5.4.2.2]
65	Amac_ATCC27126	K00820	3521	NC_018632	M00892,M00909	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
66	Amac_ATCC27126	K00820	2619	NC_018632	M00892,M00909	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
67	Amac_ATCC27126	K03431	1645	NC_018632	M00909	phosphoglucosamine mutase [EC:5.4.2.10]
68	Amac_ATCC27126	K04042	3524	NC_018632	M00909	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
69	Amac_ATCC27126	K01637	2467	NC_018632	M00012	isocitrate lyase [EC:4.1.3.1]
70	Amac_ATCC27126	K01638	2469	NC_018632	M00012	malate synthase [EC:2.3.3.9]
71	Amac_ATCC27126	K00626	1095	NC_018632	M00373,M00375,M00374,M00088,M00095,M00849	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
72	Amac_ATCC27126	K00626	1441	NC_018632	M00373,M00375,M00374,M00088,M00095,M00849	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
73	Amac_ATCC27126	K00626	439	NC_018632	M00373,M00375,M00374,M00088,M00095,M00849	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
74	Amac_ATCC27126	K00626	1511	NC_018632	M00373,M00375,M00374,M00088,M00095,M00849	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
75	Amac_ATCC27126	K03781	339	NC_018632	M00532	catalase [EC:1.11.1.6]
76	Amac_ATCC27126	K03781	3117	NC_018632	M00532	catalase [EC:1.11.1.6]
77	Amac_ATCC27126	K03781	2165	NC_018632	M00532	catalase [EC:1.11.1.6]
78	Amac_ATCC27126	K00600	2352	NC_018632	M00532,M00346,M00140,M00141	glycine hydroxymethyltransferase [EC:2.1.2.1]
79	Amac_ATCC27126	K00600	425	NC_018632	M00532,M00346,M00140,M00141	glycine hydroxymethyltransferase [EC:2.1.2.1]
80	Amac_ATCC27126	K00830	1816	NC_018632	M00532,M00346	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
81	Amac_ATCC27126	K15918	1954	NC_018632	M00532	D-glycerate 3-kinase [EC:2.7.1.31]
82	Amac_ATCC27126	K15918	1955	NC_018632	M00532	D-glycerate 3-kinase [EC:2.7.1.31]
83	Amac_ATCC27126	K00281	2614	NC_018632	M00532	glycine dehydrogenase [EC:1.4.4.2]
84	Amac_ATCC27126	K00605	2616	NC_018632	M00532	aminomethyltransferase [EC:2.1.2.10]
85	Amac_ATCC27126	K02437	2615	NC_018632	M00532	glycine cleavage system H protein
86	Amac_ATCC27126	K00140	3053	NC_018632	M00013	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
87	Amac_ATCC27126	K00140	2949	NC_018632	M00013	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
88	Amac_ATCC27126	K01092	2444	NC_018632	M00131	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
89	Amac_ATCC27126	K00855	3587	NC_018632	M00165,M00166,M00611,M00612	phosphoribulokinase [EC:2.7.1.19]
90	Amac_ATCC27126	K01595	3080	NC_018632	M00168,M00172,M00171,M00170,M00173,M00374,M00346,M00614	phosphoenolpyruvate carboxylase [EC:4.1.1.31]
91	Amac_ATCC27126	K00029	3264	NC_018632	M00169,M00172	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
92	Amac_ATCC27126	K00029	335	NC_018632	M00169,M00172	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
93	Amac_ATCC27126	K01007	1594	NC_018632	M00173,M00374,M00614	pyruvate, water dikinase [EC:2.7.9.2]
94	Amac_ATCC27126	K01961	3567	NC_018632	M00376,M00082,M00613	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
95	Amac_ATCC27126	K01962	852	NC_018632	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
96	Amac_ATCC27126	K01963	2207	NC_018632	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
97	Amac_ATCC27126	K02160	3566	NC_018632	M00376,M00082,M00613	acetyl-CoA carboxylase biotin carboxyl carrier protein
98	Amac_ATCC27126	K01491	2410	NC_018632	M00377,M00140,M00618	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
