"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of Protein Groups"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Modifications"
"False"	"High"	"IsMasterProtein"	"3325"	"3325"	"0.000"	"1040.741"	"72"	"80"	"417"	"80"	"1"	"1390"	"153.8"	"5.82"	"1478.77"	"80"	"0"	"2519665440.54688"	"2557401356.72656"	"21569059.28125"	"22390315.6230469"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3326"	"3326"	"0.000"	"953.501"	"62"	"76"	"426"	"76"	"1"	"1342"	"149.9"	"5.24"	"1424.35"	"76"	"0"	"2639600422.74219"	"2607620069.83789"	"11941308.2563477"	"13634221.4150391"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2804"	"2804"	"0.000"	"718.551"	"60"	"68"	"225"	"68"	"1"	"1488"	"163.3"	"6.52"	"810.63"	"68"	"0"	"1498072386.16406"	"1544391754.70703"	"6984682.84057617"	"7204628.66918945"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1305"	"1305"	"0.000"	"702.076"	"74"	"40"	"324"	"40"	"1"	"695"	"76.4"	"5.01"	"1214.99"	"40"	"0"	"2751406695.07813"	"2836940837.70313"	"25370159.3188477"	"26526404.8286133"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3084"	"3084"	"0.000"	"689.651"	"71"	"46"	"1466"	"46"	"1"	"1056"	"115.7"	"4.31"	"4343.58"	"46"	"0"	"5613699673.09546"	"5832924841.83984"	"332495588.716431"	"327658927.382568"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1607"	"1607"	"0.000"	"685.152"	"74"	"42"	"427"	"42"	"1"	"739"	"81.2"	"5.41"	"1329.60"	"42"	"0"	"3404826205.87891"	"3599756305.91211"	"23740849.4951172"	"26767764.5808105"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"859"	"859"	"0.000"	"633.473"	"77"	"55"	"204"	"55"	"1"	"1295"	"140.1"	"5.12"	"715.57"	"55"	"0"	"880871769.027344"	"943607582.27832"	"5535441.64355469"	"6112952.08569336"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1259"	"1259"	"0.000"	"585.341"	"68"	"50"	"205"	"50"	"1"	"1073"	"117.2"	"4.94"	"769.90"	"50"	"0"	"1109241296.16016"	"1118776239.96875"	"7999286.33642578"	"9745215.61828613"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2649"	"2649"	"0.000"	"554.071"	"70"	"53"	"203"	"53"	"1"	"891"	"99.7"	"5.40"	"705.18"	"53"	"0"	"1403529295.25"	"1434527402.3125"	"4961449.13696289"	"5413425.67944336"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1917"	"1917"	"0.000"	"533.946"	"68"	"41"	"243"	"41"	"1"	"556"	"61.0"	"4.91"	"927.91"	"41"	"0"	"2516924510.39844"	"2568013453.27344"	"12810008.904541"	"11166622.6694336"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1663"	"1663"	"0.000"	"490.981"	"66"	"39"	"194"	"39"	"1"	"703"	"76.4"	"4.87"	"697.10"	"39"	"0"	"2124446080.78125"	"2185811127.75"	"11932714.2436523"	"14407966.4182129"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2301"	"2301"	"0.000"	"488.107"	"62"	"38"	"162"	"38"	"1"	"864"	"94.3"	"4.44"	"550.76"	"38"	"0"	"767364176.609375"	"785461201.46875"	"12209245.3181152"	"13718325.6516113"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1724"	"1724"	"0.000"	"484.504"	"67"	"50"	"180"	"50"	"1"	"939"	"105.2"	"6.09"	"666.66"	"50"	"0"	"975341859.0625"	"977960733.875"	"5415062.91650391"	"6223593.86474609"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"588"	"588"	"0.000"	"484.275"	"63"	"42"	"153"	"42"	"1"	"936"	"101.2"	"5.00"	"617.89"	"42"	"0"	"843100500.757813"	"810994621.9375"	"2994684.48706055"	"3900586.89208984"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"3748"	"3748"	"0.000"	"482.652"	"90"	"29"	"238"	"29"	"1"	"461"	"49.9"	"4.92"	"884.01"	"29"	"0"	"2561692489.33984"	"2634796619.58203"	"32190811.9023438"	"35938369.5491943"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"980"	"980"	"0.000"	"470.002"	"47"	"33"	"527"	"33"	"1"	"945"	"101.9"	"4.25"	"1217.08"	"33"	"0"	"3005007151.22852"	"3003555873.12891"	"78943691.7646484"	"86993223.6020508"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1594"	"1594"	"0.000"	"431.668"	"57"	"34"	"211"	"34"	"1"	"790"	"86.8"	"4.79"	"623.25"	"34"	"0"	"1769385646.28906"	"1845511122.35156"	"17460534.7324219"	"20910928.782959"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2673"	"2673"	"0.000"	"425.353"	"63"	"40"	"106"	"40"	"1"	"902"	"102.5"	"5.66"	"501.16"	"40"	"0"	"354307910.0625"	"326063131.9375"	"914964.606933594"	"1224770.26171875"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"2849"	"2849"	"0.000"	"421.333"	"88"	"28"	"307"	"28"	"1"	"469"	"51.8"	"4.93"	"1035.86"	"28"	"0"	"1890762931.48828"	"1825644640.41406"	"8580723.74975586"	"9507481.22192383"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1603"	"1603"	"0.000"	"417.030"	"78"	"29"	"96"	"29"	"1"	"455"	"51.1"	"5.40"	"455.37"	"29"	"0"	"607693561.820313"	"579613577.996094"	"2470712.83837891"	"2841397.31176758"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"1719"	"1719"	"0.000"	"399.549"	"83"	"24"	"143"	"24"	"1"	"425"	"47.7"	"6.40"	"515.05"	"24"	"0"	"1384050674.0625"	"1404533426.39063"	"6836241.53173828"	"6395147.30078125"	"High"	"High"	"High"	"High"	""
