unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_MIT1002	K01810	2849	NZ_CABDXM010000001	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
1	Amac_MIT1002	K01623	805	NZ_CABDXM010000001	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
2	Amac_MIT1002	K01803	1720	NZ_CABDXM010000001	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
3	Amac_MIT1002	K00134	803	NZ_CABDXM010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_MIT1002	K00134	2221	NZ_CABDXM010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_MIT1002	K00134	2214	NZ_CABDXM010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
6	Amac_MIT1002	K00927	804	NZ_CABDXM010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
7	Amac_MIT1002	K01834	347	NZ_CABDXM010000001	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
8	Amac_MIT1002	K01689	888	NZ_CABDXM010000001	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
9	Amac_MIT1002	K00873	2229	NZ_CABDXM010000001	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
10	Amac_MIT1002	K01610	3690	NZ_CABDXM010000001	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
11	Amac_MIT1002	K03841	159	NZ_CABDXM010000001	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
12	Amac_MIT1002	K00163	2771	NZ_CABDXM010000001	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
13	Amac_MIT1002	K00627	2770	NZ_CABDXM010000001	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
