unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_HOT1A3	K01810	2882	NZ_CP012202	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
1	Amac_HOT1A3	K01623	759	NZ_CP012202	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
2	Amac_HOT1A3	K01803	1791	NZ_CP012202	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
3	Amac_HOT1A3	K00134	756	NZ_CP012202	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_HOT1A3	K00134	2237	NZ_CP012202	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_HOT1A3	K00134	2230	NZ_CP012202	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
6	Amac_HOT1A3	K00927	757	NZ_CP012202	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
7	Amac_HOT1A3	K01834	308	NZ_CP012202	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
8	Amac_HOT1A3	K01689	882	NZ_CP012202	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
9	Amac_HOT1A3	K00873	2245	NZ_CP012202	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
10	Amac_HOT1A3	K01610	3703	NZ_CP012202	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
11	Amac_HOT1A3	K03841	168	NZ_CP012202	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
12	Amac_HOT1A3	K00163	2806	NZ_CP012202	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
13	Amac_HOT1A3	K00627	2805	NZ_CP012202	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
14	Amac_HOT1A3	K00382	2804	NZ_CP012202	M00307,M00009,M00011,M00532,M00036,M00032	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
15	Amac_HOT1A3	K01647	1860	NZ_CP012202	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]
16	Amac_HOT1A3	K01681	310	NZ_CP012202	M00009,M00010,M00012,M00740,M00173,M00614	aconitate hydratase [EC:4.2.1.3]
17	Amac_HOT1A3	K01682	661	NZ_CP012202	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
18	Amac_HOT1A3	K01682	655	NZ_CP012202	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
19	Amac_HOT1A3	K00030	915	NZ_CP012202	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
20	Amac_HOT1A3	K00164	1865	NZ_CP012202	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
21	Amac_HOT1A3	K00658	1866	NZ_CP012202	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
22	Amac_HOT1A3	K01902	1868	NZ_CP012202	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
23	Amac_HOT1A3	K01903	1867	NZ_CP012202	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
24	Amac_HOT1A3	K00239	1863	NZ_CP012202	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
25	Amac_HOT1A3	K00240	1864	NZ_CP012202	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
26	Amac_HOT1A3	K00241	1861	NZ_CP012202	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
27	Amac_HOT1A3	K00242	1862	NZ_CP012202	M00009,M00011,M00173,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
28	Amac_HOT1A3	K01676	1931	NZ_CP012202	M00009,M00011,M00173,M00613,M00614	fumarate hydratase, class I [EC:4.2.1.2]
29	Amac_HOT1A3	K01679	2971	NZ_CP012202	M00009,M00011,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]
30	Amac_HOT1A3	K00036	2243	NZ_CP012202	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
31	Amac_HOT1A3	K01057	2242	NZ_CP012202	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]
32	Amac_HOT1A3	K00033	2233	NZ_CP012202	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
33	Amac_HOT1A3	K01783	367	NZ_CP012202	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
34	Amac_HOT1A3	K01807	2793	NZ_CP012202	M00004,M00007,M00580,M00165,M00167,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]
35	Amac_HOT1A3	K00615	755	NZ_CP012202	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
36	Amac_HOT1A3	K00616	2881	NZ_CP012202	M00004,M00007	transaldolase [EC:2.2.1.2]
37	Amac_HOT1A3	K00948	1392	NZ_CP012202	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
38	Amac_HOT1A3	K01690	2241	NZ_CP012202	M00008	phosphogluconate dehydratase [EC:4.2.1.12]
39	Amac_HOT1A3	K01625	2270	NZ_CP012202	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
40	Amac_HOT1A3	K01625	2239	NZ_CP012202	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
41	Amac_HOT1A3	K00874	2271	NZ_CP012202	M00308,M00631,M00061	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
42	Amac_HOT1A3	K00012	3265	NZ_CP012202	M00014,M00129	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
43	Amac_HOT1A3	K01812	2268	NZ_CP012202	M00631,M00061	glucuronate isomerase [EC:5.3.1.12]
44	Amac_HOT1A3	K01685	2267	NZ_CP012202	M00631	altronate hydrolase [EC:4.2.1.7]
45	Amac_HOT1A3	K00040	2269	NZ_CP012202	M00061	fructuronate reductase [EC:1.1.1.57]
46	Amac_HOT1A3	K01051	3658	NZ_CP012202	M00081	pectinesterase [EC:3.1.1.11]
47	Amac_HOT1A3	K01051	2276	NZ_CP012202	M00081	pectinesterase [EC:3.1.1.11]
48	Amac_HOT1A3	K01785	183	NZ_CP012202	M00632	aldose 1-epimerase [EC:5.1.3.3]
49	Amac_HOT1A3	K00849	185	NZ_CP012202	M00632,M00554	galactokinase [EC:2.7.1.6]
50	Amac_HOT1A3	K00965	184	NZ_CP012202	M00632,M00554	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
51	Amac_HOT1A3	K01784	901	NZ_CP012202	M00632	UDP-glucose 4-epimerase [EC:5.1.3.2]
52	Amac_HOT1A3	K01684	614	NZ_CP012202	M00552	galactonate dehydratase [EC:4.2.1.6]
53	Amac_HOT1A3	K00963	913	NZ_CP012202	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
