gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NZ_CABDXM010000001	0	1593	f	0	1	NCBI_PGAP	v4.6
1	NZ_CABDXM010000001	1625	2726	f	0	1	NCBI_PGAP	v4.6
2	NZ_CABDXM010000001	2851	3940	f	0	1	NCBI_PGAP	v4.6
3	NZ_CABDXM010000001	3948	6369	f	0	1	NCBI_PGAP	v4.6
4	NZ_CABDXM010000001	6540	6984	r	0	1	NCBI_PGAP	v4.6
5	NZ_CABDXM010000001	7069	9148	r	0	1	NCBI_PGAP	v4.6
6	NZ_CABDXM010000001	9150	10056	r	0	1	NCBI_PGAP	v4.6
7	NZ_CABDXM010000001	10202	10811	f	0	1	NCBI_PGAP	v4.6
8	NZ_CABDXM010000001	10923	11385	r	0	1	NCBI_PGAP	v4.6
9	NZ_CABDXM010000001	11404	11908	r	0	1	NCBI_PGAP	v4.6
10	NZ_CABDXM010000001	12035	12737	r	0	1	NCBI_PGAP	v4.6
11	NZ_CABDXM010000001	13036	13660	r	0	1	NCBI_PGAP	v4.6
12	NZ_CABDXM010000001	13834	14470	f	0	1	NCBI_PGAP	v4.6
13	NZ_CABDXM010000001	14886	17679	r	0	1	NCBI_PGAP	v4.6
14	NZ_CABDXM010000001	18100	18754	f	0	1	NCBI_PGAP	v4.6
15	NZ_CABDXM010000001	19019	20471	f	0	1	NCBI_PGAP	v4.6
16	NZ_CABDXM010000001	20586	21966	r	0	1	NCBI_PGAP	v4.6
17	NZ_CABDXM010000001	22030	23350	r	0	1	NCBI_PGAP	v4.6
18	NZ_CABDXM010000001	23352	24303	r	0	1	NCBI_PGAP	v4.6
19	NZ_CABDXM010000001	24311	24821	r	0	1	NCBI_PGAP	v4.6
20	NZ_CABDXM010000001	25037	26111	f	0	1	NCBI_PGAP	v4.6
21	NZ_CABDXM010000001	26150	27260	f	0	1	NCBI_PGAP	v4.6
22	NZ_CABDXM010000001	27261	27738	f	0	1	NCBI_PGAP	v4.6
23	NZ_CABDXM010000001	27823	28366	f	0	1	NCBI_PGAP	v4.6
24	NZ_CABDXM010000001	28410	29016	f	0	1	NCBI_PGAP	v4.6
25	NZ_CABDXM010000001	29012	29945	f	0	1	NCBI_PGAP	v4.6
26	NZ_CABDXM010000001	30179	30860	f	0	1	NCBI_PGAP	v4.6
27	NZ_CABDXM010000001	30984	31416	r	0	1	NCBI_PGAP	v4.6
28	NZ_CABDXM010000001	31414	32254	f	0	1	NCBI_PGAP	v4.6
29	NZ_CABDXM010000001	32250	32793	r	0	1	NCBI_PGAP	v4.6
30	NZ_CABDXM010000001	33136	34048	f	0	1	NCBI_PGAP	v4.6
31	NZ_CABDXM010000001	40851	41382	r	0	1	NCBI_PGAP	v4.6
32	NZ_CABDXM010000001	41518	42349	r	0	1	NCBI_PGAP	v4.6
33	NZ_CABDXM010000001	42329	43121	r	0	1	NCBI_PGAP	v4.6
34	NZ_CABDXM010000001	43263	46353	r	0	1	NCBI_PGAP	v4.6
35	NZ_CABDXM010000001	46389	47877	r	0	1	NCBI_PGAP	v4.6
36	NZ_CABDXM010000001	47876	48626	r	0	1	NCBI_PGAP	v4.6
37	NZ_CABDXM010000001	48873	49383	r	0	1	NCBI_PGAP	v4.6
38	NZ_CABDXM010000001	49385	51137	r	0	1	NCBI_PGAP	v4.6
39	NZ_CABDXM010000001	51175	51511	r	0	1	NCBI_PGAP	v4.6
40	NZ_CABDXM010000001	51699	53337	f	0	1	NCBI_PGAP	v4.6
41	NZ_CABDXM010000001	53593	54181	r	0	1	NCBI_PGAP	v4.6
42	NZ_CABDXM010000001	54296	55526	r	0	1	NCBI_PGAP	v4.6
43	NZ_CABDXM010000001	55735	56413	f	0	1	NCBI_PGAP	v4.6
44	NZ_CABDXM010000001	56505	56859	f	0	1	NCBI_PGAP	v4.6
45	NZ_CABDXM010000001	56953	57643	f	0	1	NCBI_PGAP	v4.6
46	NZ_CABDXM010000001	57642	58392	f	0	1	NCBI_PGAP	v4.6
47	NZ_CABDXM010000001	58388	60491	f	0	1	NCBI_PGAP	v4.6
48	NZ_CABDXM010000001	60828	61065	f	0	1	NCBI_PGAP	v4.6
49	NZ_CABDXM010000001	61076	61232	f	0	1	NCBI_PGAP	v4.6
50	NZ_CABDXM010000001	61498	61963	f	0	1	NCBI_PGAP	v4.6
51	NZ_CABDXM010000001	61963	62773	f	0	1	NCBI_PGAP	v4.6
52	NZ_CABDXM010000001	62791	63280	r	0	1	NCBI_PGAP	v4.6
53	NZ_CABDXM010000001	63378	64110	r	0	1	NCBI_PGAP	v4.6
54	NZ_CABDXM010000001	64589	65063	f	0	1	NCBI_PGAP	v4.6
55	NZ_CABDXM010000001	65059	66235	f	0	1	NCBI_PGAP	v4.6
56	NZ_CABDXM010000001	66244	68689	f	0	1	NCBI_PGAP	v4.6
57	NZ_CABDXM010000001	68852	70049	f	0	1	NCBI_PGAP	v4.6
58	NZ_CABDXM010000001	70045	71071	f	0	1	NCBI_PGAP	v4.6
59	NZ_CABDXM010000001	71070	71382	f	0	1	NCBI_PGAP	v4.6
60	NZ_CABDXM010000001	71523	72387	f	0	1	NCBI_PGAP	v4.6
61	NZ_CABDXM010000001	72442	72856	r	0	1	NCBI_PGAP	v4.6
62	NZ_CABDXM010000001	73004	73574	f	0	1	NCBI_PGAP	v4.6
63	NZ_CABDXM010000001	73570	74428	f	0	1	NCBI_PGAP	v4.6
64	NZ_CABDXM010000001	74529	74781	r	0	1	NCBI_PGAP	v4.6
65	NZ_CABDXM010000001	74893	76909	f	0	1	NCBI_PGAP	v4.6
66	NZ_CABDXM010000001	76954	79555	r	0	1	NCBI_PGAP	v4.6
67	NZ_CABDXM010000001	79658	80066	r	0	1	NCBI_PGAP	v4.6
68	NZ_CABDXM010000001	80424	81618	r	0	1	NCBI_PGAP	v4.6
69	NZ_CABDXM010000001	81607	81898	r	0	1	NCBI_PGAP	v4.6
70	NZ_CABDXM010000001	82198	83611	f	0	1	NCBI_PGAP	v4.6
71	NZ_CABDXM010000001	83714	85484	f	0	1	NCBI_PGAP	v4.6
72	NZ_CABDXM010000001	85623	86253	f	0	1	NCBI_PGAP	v4.6
73	NZ_CABDXM010000001	86388	86637	r	0	1	NCBI_PGAP	v4.6
74	NZ_CABDXM010000001	86967	87387	r	0	1	NCBI_PGAP	v4.6
75	NZ_CABDXM010000001	87383	88580	r	0	1	NCBI_PGAP	v4.6
76	NZ_CABDXM010000001	88858	89476	r	0	1	NCBI_PGAP	v4.6
77	NZ_CABDXM010000001	89711	91805	f	0	1	NCBI_PGAP	v4.6
78	NZ_CABDXM010000001	91972	92494	f	0	1	NCBI_PGAP	v4.6
79	NZ_CABDXM010000001	92568	93789	r	0	1	NCBI_PGAP	v4.6
80	NZ_CABDXM010000001	94002	94926	f	0	1	NCBI_PGAP	v4.6
81	NZ_CABDXM010000001	95063	95825	f	0	1	NCBI_PGAP	v4.6
82	NZ_CABDXM010000001	96037	97423	f	0	1	NCBI_PGAP	v4.6
83	NZ_CABDXM010000001	97425	98538	f	0	1	NCBI_PGAP	v4.6
84	NZ_CABDXM010000001	98636	99863	r	0	1	NCBI_PGAP	v4.6
85	NZ_CABDXM010000001	100092	101226	r	0	1	NCBI_PGAP	v4.6
86	NZ_CABDXM010000001	101222	101993	r	0	1	NCBI_PGAP	v4.6
87	NZ_CABDXM010000001	101994	102204	r	0	1	NCBI_PGAP	v4.6
88	NZ_CABDXM010000001	102200	102995	r	0	1	NCBI_PGAP	v4.6
89	NZ_CABDXM010000001	102987	104589	r	0	1	NCBI_PGAP	v4.6
90	NZ_CABDXM010000001	104585	106496	r	0	1	NCBI_PGAP	v4.6
91	NZ_CABDXM010000001	106990	108166	r	0	1	NCBI_PGAP	v4.6
92	NZ_CABDXM010000001	108162	109335	r	0	1	NCBI_PGAP	v4.6
93	NZ_CABDXM010000001	109335	110067	r	0	1	NCBI_PGAP	v4.6
94	NZ_CABDXM010000001	110130	111069	r	0	1	NCBI_PGAP	v4.6
95	NZ_CABDXM010000001	111265	112327	f	0	1	NCBI_PGAP	v4.6
96	NZ_CABDXM010000001	112521	113193	r	0	1	NCBI_PGAP	v4.6
