unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_AD45	K01810	2901	NC_018679	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
1	Amac_AD45	K01623	759	NC_018679	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
2	Amac_AD45	K01803	1788	NC_018679	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
3	Amac_AD45	K00134	757	NC_018679	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_AD45	K00134	2268	NC_018679	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_AD45	K00134	2261	NC_018679	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
6	Amac_AD45	K00927	758	NC_018679	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
7	Amac_AD45	K01834	306	NC_018679	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
8	Amac_AD45	K01689	852	NC_018679	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
9	Amac_AD45	K00873	2276	NC_018679	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
10	Amac_AD45	K01610	3701	NC_018679	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
11	Amac_AD45	K03841	158	NC_018679	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
12	Amac_AD45	K00163	2803	NC_018679	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
13	Amac_AD45	K00627	2802	NC_018679	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
14	Amac_AD45	K00382	2801	NC_018679	M00307,M00009,M00011,M00532,M00036,M00032	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
15	Amac_AD45	K01647	1855	NC_018679	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]
16	Amac_AD45	K01681	308	NC_018679	M00009,M00010,M00012,M00740,M00173,M00614	aconitate hydratase [EC:4.2.1.3]
17	Amac_AD45	K01682	641	NC_018679	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
18	Amac_AD45	K01682	646	NC_018679	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
19	Amac_AD45	K00030	884	NC_018679	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
20	Amac_AD45	K00164	1860	NC_018679	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
21	Amac_AD45	K00658	1861	NC_018679	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
22	Amac_AD45	K01902	1863	NC_018679	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
23	Amac_AD45	K01903	1862	NC_018679	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
24	Amac_AD45	K00239	1858	NC_018679	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
25	Amac_AD45	K00240	1859	NC_018679	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
26	Amac_AD45	K00241	1856	NC_018679	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
27	Amac_AD45	K00242	1857	NC_018679	M00009,M00011,M00173,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
28	Amac_AD45	K01676	1921	NC_018679	M00009,M00011,M00173,M00613,M00614	fumarate hydratase, class I [EC:4.2.1.2]
29	Amac_AD45	K01679	2992	NC_018679	M00009,M00011,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]
30	Amac_AD45	K00036	2274	NC_018679	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
31	Amac_AD45	K01057	2273	NC_018679	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]
32	Amac_AD45	K00033	2264	NC_018679	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
33	Amac_AD45	K01783	364	NC_018679	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
34	Amac_AD45	K01807	2791	NC_018679	M00004,M00007,M00580,M00165,M00167,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]
35	Amac_AD45	K00615	756	NC_018679	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
36	Amac_AD45	K00616	2900	NC_018679	M00004,M00007	transaldolase [EC:2.2.1.2]
37	Amac_AD45	K00948	1383	NC_018679	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
38	Amac_AD45	K01690	2272	NC_018679	M00008	phosphogluconate dehydratase [EC:4.2.1.12]
39	Amac_AD45	K01625	2297	NC_018679	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
40	Amac_AD45	K01625	2270	NC_018679	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
41	Amac_AD45	K01625	846	NC_018679	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
42	Amac_AD45	K00874	2298	NC_018679	M00308,M00631,M00061	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
43	Amac_AD45	K00012	3296	NC_018679	M00014,M00129	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
44	Amac_AD45	K01812	2295	NC_018679	M00631,M00061	glucuronate isomerase [EC:5.3.1.12]
45	Amac_AD45	K01685	2294	NC_018679	M00631	altronate hydrolase [EC:4.2.1.7]
46	Amac_AD45	K00040	2296	NC_018679	M00061	fructuronate reductase [EC:1.1.1.57]
47	Amac_AD45	K01051	2303	NC_018679	M00081	pectinesterase [EC:3.1.1.11]
48	Amac_AD45	K01785	173	NC_018679	M00632	aldose 1-epimerase [EC:5.1.3.3]
49	Amac_AD45	K00849	175	NC_018679	M00632,M00554	galactokinase [EC:2.7.1.6]
50	Amac_AD45	K00965	174	NC_018679	M00632,M00554	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
51	Amac_AD45	K01784	871	NC_018679	M00632	UDP-glucose 4-epimerase [EC:5.1.3.2]
52	Amac_AD45	K01684	598	NC_018679	M00552	galactonate dehydratase [EC:4.2.1.6]
53	Amac_AD45	K00963	882	NC_018679	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
54	Amac_AD45	K00975	1573	NC_018679	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
55	Amac_AD45	K00703	220	NC_018679	M00854,M00565	starch synthase [EC:2.4.1.21]
56	Amac_AD45	K00700	2266	NC_018679	M00854,M00565	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
57	Amac_AD45	K00688	1406	NC_018679	M00855	glycogen phosphorylase [EC:2.4.1.1]
58	Amac_AD45	K00705	2267	NC_018679	M00855	4-alpha-glucanotransferase [EC:2.4.1.25]
59	Amac_AD45	K01200	1867	NC_018679	M00855	pullulanase [EC:3.2.1.41]
60	Amac_AD45	K01835	1405	NC_018679	M00855,M00549	phosphoglucomutase [EC:5.4.2.2]
61	Amac_AD45	K00820	2772	NC_018679	M00892,M00909	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
62	Amac_AD45	K00820	3629	NC_018679	M00892,M00909	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
63	Amac_AD45	K03431	1787	NC_018679	M00909	phosphoglucosamine mutase [EC:5.4.2.10]
64	Amac_AD45	K04042	3632	NC_018679	M00909	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
65	Amac_AD45	K01637	2619	NC_018679	M00012	isocitrate lyase [EC:4.1.3.1]
