unique_id	genome_name	ko	gene_caller_id	contig	modules_with_ko	ko_definition
0	Amac_BGP6	K01810	2910	NZ_CABDWP010000001	M00001,M00004,M00892,M00909	glucose-6-phosphate isomerase [EC:5.3.1.9]
1	Amac_BGP6	K01623	787	NZ_CABDWP010000001	M00001,M00003,M00165,M00167,M00611,M00612	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
2	Amac_BGP6	K01803	1788	NZ_CABDWP010000001	M00001,M00002,M00003	triosephosphate isomerase (TIM) [EC:5.3.1.1]
3	Amac_BGP6	K00134	785	NZ_CABDWP010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
4	Amac_BGP6	K00134	2254	NZ_CABDWP010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
5	Amac_BGP6	K00134	2247	NZ_CABDWP010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
6	Amac_BGP6	K00927	786	NZ_CABDWP010000001	M00001,M00002,M00003,M00308,M00552,M00165,M00166,M00611,M00612	phosphoglycerate kinase [EC:2.7.2.3]
7	Amac_BGP6	K01834	326	NZ_CABDWP010000001	M00001,M00002,M00003	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
8	Amac_BGP6	K01689	907	NZ_CABDWP010000001	M00001,M00002,M00003,M00346	enolase [EC:4.2.1.11]
9	Amac_BGP6	K00873	2262	NZ_CABDWP010000001	M00001,M00002,M00049,M00050	pyruvate kinase [EC:2.7.1.40]
10	Amac_BGP6	K01610	3711	NZ_CABDWP010000001	M00003,M00170	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
11	Amac_BGP6	K03841	196	NZ_CABDWP010000001	M00003,M00165,M00167,M00344,M00611,M00612	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
12	Amac_BGP6	K00163	2822	NZ_CABDWP010000001	M00307	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
13	Amac_BGP6	K00627	2821	NZ_CABDWP010000001	M00307	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
14	Amac_BGP6	K00382	2820	NZ_CABDWP010000001	M00307,M00009,M00011,M00532,M00036,M00032	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
15	Amac_BGP6	K01647	1862	NZ_CABDWP010000001	M00009,M00010,M00012,M00740	citrate synthase [EC:2.3.3.1]
16	Amac_BGP6	K01681	328	NZ_CABDWP010000001	M00009,M00010,M00012,M00740,M00173,M00614	aconitate hydratase [EC:4.2.1.3]
17	Amac_BGP6	K01682	690	NZ_CABDWP010000001	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
18	Amac_BGP6	K01682	685	NZ_CABDWP010000001	M00009,M00010,M00012,M00173,M00614	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
19	Amac_BGP6	K00030	939	NZ_CABDWP010000001	M00009,M00010	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
20	Amac_BGP6	K00164	1867	NZ_CABDWP010000001	M00009,M00011	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
21	Amac_BGP6	K00658	1868	NZ_CABDWP010000001	M00009,M00011,M00032	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
22	Amac_BGP6	K01902	1870	NZ_CABDWP010000001	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
23	Amac_BGP6	K01903	1869	NZ_CABDWP010000001	M00009,M00011,M00173,M00374,M00620,M00614	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
24	Amac_BGP6	K00239	1865	NZ_CABDWP010000001	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
25	Amac_BGP6	K00240	1866	NZ_CABDWP010000001	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]
26	Amac_BGP6	K00241	1863	NZ_CABDWP010000001	M00009,M00011,M00173,M00376,M00374,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
27	Amac_BGP6	K00242	1864	NZ_CABDWP010000001	M00009,M00011,M00173,M00149,M00613,M00614	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
28	Amac_BGP6	K01676	1933	NZ_CABDWP010000001	M00009,M00011,M00173,M00613,M00614	fumarate hydratase, class I [EC:4.2.1.2]
29	Amac_BGP6	K01679	3003	NZ_CABDWP010000001	M00009,M00011,M00173,M00376,M00613,M00614	fumarate hydratase, class II [EC:4.2.1.2]
30	Amac_BGP6	K00036	2260	NZ_CABDWP010000001	M00004,M00006,M00008	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
31	Amac_BGP6	K01057	2259	NZ_CABDWP010000001	M00004,M00006,M00008	6-phosphogluconolactonase [EC:3.1.1.31]
32	Amac_BGP6	K00033	2250	NZ_CABDWP010000001	M00004,M00006	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
33	Amac_BGP6	K01783	385	NZ_CABDWP010000001	M00004,M00007	ribulose-phosphate 3-epimerase [EC:5.1.3.1]
34	Amac_BGP6	K01807	2810	NZ_CABDWP010000001	M00004,M00007,M00580,M00165,M00167,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]
35	Amac_BGP6	K00615	3760	NZ_CABDWP010000001	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
36	Amac_BGP6	K00615	784	NZ_CABDWP010000001	M00004,M00007,M00165,M00167,M00611,M00612	transketolase [EC:2.2.1.1]
37	Amac_BGP6	K00616	3763	NZ_CABDWP010000001	M00004,M00007	transaldolase [EC:2.2.1.2]
38	Amac_BGP6	K00616	2909	NZ_CABDWP010000001	M00004,M00007	transaldolase [EC:2.2.1.2]
39	Amac_BGP6	K00948	1427	NZ_CABDWP010000001	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
40	Amac_BGP6	K01690	2258	NZ_CABDWP010000001	M00008	phosphogluconate dehydratase [EC:4.2.1.12]
41	Amac_BGP6	K01625	2256	NZ_CABDWP010000001	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
42	Amac_BGP6	K01625	2285	NZ_CABDWP010000001	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
43	Amac_BGP6	K01625	901	NZ_CABDWP010000001	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
44	Amac_BGP6	K00874	2286	NZ_CABDWP010000001	M00308,M00631,M00061	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
45	Amac_BGP6	K00012	3303	NZ_CABDWP010000001	M00014,M00129	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
46	Amac_BGP6	K00854	3762	NZ_CABDWP010000001	M00014	xylulokinase [EC:2.7.1.17]
47	Amac_BGP6	K01812	2283	NZ_CABDWP010000001	M00631,M00061	glucuronate isomerase [EC:5.3.1.12]
48	Amac_BGP6	K01685	2282	NZ_CABDWP010000001	M00631	altronate hydrolase [EC:4.2.1.7]
49	Amac_BGP6	K00040	2284	NZ_CABDWP010000001	M00061	fructuronate reductase [EC:1.1.1.57]
50	Amac_BGP6	K01051	2291	NZ_CABDWP010000001	M00081	pectinesterase [EC:3.1.1.11]
