gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	NZ_CP012202	1624	2725	f	0	1	NCBI_PGAP	v4.6
1	NZ_CP012202	2850	3939	f	0	1	NCBI_PGAP	v4.6
2	NZ_CP012202	3947	6368	f	0	1	NCBI_PGAP	v4.6
3	NZ_CP012202	6539	6983	r	0	1	NCBI_PGAP	v4.6
4	NZ_CP012202	7068	9147	r	0	1	NCBI_PGAP	v4.6
5	NZ_CP012202	9149	10055	r	0	1	NCBI_PGAP	v4.6
6	NZ_CP012202	10201	10810	f	0	1	NCBI_PGAP	v4.6
7	NZ_CP012202	10922	11384	r	0	1	NCBI_PGAP	v4.6
8	NZ_CP012202	11403	11907	r	0	1	NCBI_PGAP	v4.6
9	NZ_CP012202	12034	12736	r	0	1	NCBI_PGAP	v4.6
10	NZ_CP012202	13036	13660	r	0	1	NCBI_PGAP	v4.6
11	NZ_CP012202	13834	14470	f	0	1	NCBI_PGAP	v4.6
12	NZ_CP012202	14886	17679	r	0	1	NCBI_PGAP	v4.6
13	NZ_CP012202	18100	18754	f	0	1	NCBI_PGAP	v4.6
14	NZ_CP012202	19019	20471	f	0	1	NCBI_PGAP	v4.6
15	NZ_CP012202	20586	21966	r	0	1	NCBI_PGAP	v4.6
16	NZ_CP012202	22030	23350	r	0	1	NCBI_PGAP	v4.6
17	NZ_CP012202	23352	24303	r	0	1	NCBI_PGAP	v4.6
18	NZ_CP012202	24311	24821	r	0	1	NCBI_PGAP	v4.6
19	NZ_CP012202	25037	26111	f	0	1	NCBI_PGAP	v4.6
20	NZ_CP012202	26150	27260	f	0	1	NCBI_PGAP	v4.6
21	NZ_CP012202	27261	27738	f	0	1	NCBI_PGAP	v4.6
22	NZ_CP012202	27823	28366	f	0	1	NCBI_PGAP	v4.6
23	NZ_CP012202	28411	29017	f	0	1	NCBI_PGAP	v4.6
24	NZ_CP012202	29013	29946	f	0	1	NCBI_PGAP	v4.6
25	NZ_CP012202	30180	30861	f	0	1	NCBI_PGAP	v4.6
26	NZ_CP012202	30986	31418	r	0	1	NCBI_PGAP	v4.6
27	NZ_CP012202	31416	32256	f	0	1	NCBI_PGAP	v4.6
28	NZ_CP012202	32252	32795	r	0	1	NCBI_PGAP	v4.6
29	NZ_CP012202	32971	34015	f	0	1	NCBI_PGAP	v4.6
30	NZ_CP012202	39907	40438	r	0	1	NCBI_PGAP	v4.6
31	NZ_CP012202	40574	41405	r	0	1	NCBI_PGAP	v4.6
32	NZ_CP012202	41385	42177	r	0	1	NCBI_PGAP	v4.6
33	NZ_CP012202	42318	45408	r	0	1	NCBI_PGAP	v4.6
34	NZ_CP012202	45444	46932	r	0	1	NCBI_PGAP	v4.6
35	NZ_CP012202	46931	47681	r	0	1	NCBI_PGAP	v4.6
36	NZ_CP012202	47928	48438	r	0	1	NCBI_PGAP	v4.6
37	NZ_CP012202	48440	50192	r	0	1	NCBI_PGAP	v4.6
38	NZ_CP012202	50230	50566	r	0	1	NCBI_PGAP	v4.6
39	NZ_CP012202	50754	52392	f	0	1	NCBI_PGAP	v4.6
40	NZ_CP012202	52635	53223	r	0	1	NCBI_PGAP	v4.6
41	NZ_CP012202	53338	54568	r	0	1	NCBI_PGAP	v4.6
42	NZ_CP012202	54777	55455	f	0	1	NCBI_PGAP	v4.6
43	NZ_CP012202	55547	55901	f	0	1	NCBI_PGAP	v4.6
44	NZ_CP012202	55995	56685	f	0	1	NCBI_PGAP	v4.6
45	NZ_CP012202	56684	57434	f	0	1	NCBI_PGAP	v4.6
46	NZ_CP012202	57430	59533	f	0	1	NCBI_PGAP	v4.6
47	NZ_CP012202	59870	60107	f	0	1	NCBI_PGAP	v4.6
48	NZ_CP012202	60118	60274	f	0	1	NCBI_PGAP	v4.6
49	NZ_CP012202	60540	61005	f	0	1	NCBI_PGAP	v4.6
50	NZ_CP012202	61005	61815	f	0	1	NCBI_PGAP	v4.6
51	NZ_CP012202	61833	62322	r	0	1	NCBI_PGAP	v4.6
52	NZ_CP012202	62420	63152	r	0	1	NCBI_PGAP	v4.6
53	NZ_CP012202	63631	64105	f	0	1	NCBI_PGAP	v4.6
54	NZ_CP012202	64101	65277	f	0	1	NCBI_PGAP	v4.6
55	NZ_CP012202	65286	67731	f	0	1	NCBI_PGAP	v4.6
56	NZ_CP012202	67894	69091	f	0	1	NCBI_PGAP	v4.6
57	NZ_CP012202	69087	70113	f	0	1	NCBI_PGAP	v4.6
58	NZ_CP012202	70112	70424	f	0	1	NCBI_PGAP	v4.6
59	NZ_CP012202	70564	71428	f	0	1	NCBI_PGAP	v4.6
60	NZ_CP012202	71483	71897	r	0	1	NCBI_PGAP	v4.6
61	NZ_CP012202	72045	72615	f	0	1	NCBI_PGAP	v4.6
62	NZ_CP012202	72611	73469	f	0	1	NCBI_PGAP	v4.6
63	NZ_CP012202	73570	73822	r	0	1	NCBI_PGAP	v4.6
64	NZ_CP012202	73934	75950	f	0	1	NCBI_PGAP	v4.6
